,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
65,65,65,65,76,13602,Patrick Wisdom,CHC,30,0.22,0.315,0.443,0.6659999999999999,621550,112,Luis Castillo,0.0,Great American Ball Park,8.0,622491,1.84,4.91,9.2,0.89,0.163,0.4,0.25,0.667,0.25,0.25,False
66,66,66,66,77,18564,Trent Grisham,SDP,25,0.192,0.29,0.355,0.772,663757,135,Aaron Ashby,1.0,Petco Park,31.0,676879,4.32,8.86,10.86,1.46,0.251,0.0,0.5,0.0,0.0,0.2,True
67,67,67,67,78,6184,J.D. Martinez,BOS,34,0.281,0.345,0.447,0.716,502110,111,Lucas Giolito,0.0,Guaranteed Rate Field,23.0,608337,4.91,9.99,10.16,1.5,0.283,0.8,0.333,0.5,0.8,0.0,True
68,68,68,68,79,6153,Eduardo Escobar,NYM,33,0.22,0.273,0.39,0.753,500871,121,Jakob Junis,0.0,Oracle Park,9.0,596001,3.05,7.84,7.69,1.1,0.23,0.8,0.4,0.25,0.0,0.0,True
69,69,69,69,80,15223,Adam Frazier,SEA,30,0.243,0.306,0.31,0.878,624428,136,Paul Blackburn,1.0,T-Mobile Park,27.0,621112,4.28,8.89,7.19,1.26,0.255,0.0,0.2,0.6,0.0,0.0,True
70,70,70,70,81,11265,Jonathan Schoop,DET,30,0.203,0.238,0.31,0.7559999999999999,570731,116,Dylan Bundy,0.0,Target Field,26.0,605164,5.01,9.74,7.14,1.3,0.272,0.5,0.4,0.333,0.0,0.0,False
71,71,71,71,83,19290,Randy Arozarena,TBR,27,0.256,0.317,0.416,0.7240000000000001,668227,139,Cody Poteet,1.0,Tropicana Field,21.0,547001,3.86,7.39,6.75,1.21,0.223,0.25,0.4,1.0,0.8,0.0,True
72,72,72,72,85,13301,Max Muncy,LAD,31,0.178,0.316,0.349,0.753,571970,119,Erick Fedde,0.0,Nationals Park,29.0,607200,4.95,9.32,6.8,1.54,0.269,0.0,0.2,0.0,0.0,0.25,False
73,73,73,73,86,7802,Miguel Rojas,MIA,33,0.233,0.282,0.335,0.852,500743,146,Drew Rasmussen,0.0,Tropicana Field,21.0,656876,2.96,8.08,7.39,1.17,0.238,0.0,0.0,0.333,0.75,0.0,True
74,74,74,74,89,12979,Javier Baez,DET,29,0.22,0.262,0.372,0.674,595879,116,Dylan Bundy,0.0,Target Field,26.0,605164,5.01,9.74,7.14,1.3,0.272,0.0,0.4,0.25,0.25,0.0,False
75,75,75,75,90,15679,Rowdy Tellez,MIL,27,0.238,0.323,0.475,0.797,642133,158,Yu Darvish,0.0,Petco Park,31.0,506433,3.28,7.24,8.84,1.0,0.217,0.25,0.333,0.5,0.25,0.0,True
