,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Zach Thompson,0,PNC Park,10,605507,5.08,9.66,6.18,1.47,0.269,0.0,0.5,0.0,0.0,0.333,False
1,1,1,1,1,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Zach Thompson,0,PNC Park,10,605507,5.08,9.66,6.18,1.47,0.269,0.75,0.2,0.25,0.6,0.75,True
2,2,2,2,2,3,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Ranger Suarez,0,Citizens Bank Park,16,624133,3.68,8.97,7.62,1.37,0.258,0.25,0.75,0.25,0.5,0.0,True
3,3,3,3,3,4,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Tarik Skubal,1,Progressive Field,7,669373,3.52,7.95,8.95,1.16,0.237,0.25,0.0,0.25,0.0,0.4,True
4,4,4,4,4,5,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Trevor Rogers,0,loanDepot park,20,669432,5.85,10.16,8.52,1.6,0.283,0.25,0.333,0.0,0.25,0.0,True
5,5,5,5,5,7,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Jakob Junis,0,Oracle Park,9,596001,3.05,7.84,7.69,1.1,0.23,0.4,0.25,0.25,0.0,0.0,True
6,6,6,6,6,9,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Trevor Rogers,0,loanDepot park,20,669432,5.85,10.16,8.52,1.6,0.283,0.4,0.0,0.25,0.0,0.75,False
7,7,7,7,7,10,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Ranger Suarez,0,Citizens Bank Park,16,624133,3.68,8.97,7.62,1.37,0.258,0.25,0.75,0.0,0.25,0.5,True
8,8,8,8,8,11,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Robbie Ray,1,Fenway Park,3,592662,3.96,7.63,10.34,1.19,0.229,0.2,0.667,0.75,0.25,0.75,False
9,9,9,9,9,12,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Ranger Suarez,0,Citizens Bank Park,16,624133,3.68,8.97,7.62,1.37,0.258,0.25,0.25,0.5,0.333,0.333,True
10,10,10,10,10,13,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,Robbie Ray,1,Fenway Park,3,592662,3.96,7.63,10.34,1.19,0.229,0.2,0.25,0.0,0.5,0.333,False
11,11,11,11,11,14,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Julio Urias,1,Citizens Bank Park,16,628711,2.49,6.97,8.58,0.97,0.21,0.0,0.25,0.0,0.0,0.0,True
12,12,12,12,12,16,19470,Tommy Edman,STL,27,0.258,0.322,0.367,0.821,669242,138,Zach Thompson,0,PNC Park,10,605507,5.08,9.66,6.18,1.47,0.269,0.25,0.0,0.25,0.333,0.2,True
13,13,13,13,13,17,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Martin Perez,1,Minute Maid Park,32,527048,2.85,7.94,7.81,1.18,0.235,0.8,0.25,0.25,0.25,0.4,False
14,14,14,14,14,19,13624,Corey Seager,TEX,28,0.25,0.329,0.475,0.7559999999999999,608369,140,Cristian Javier,0,Minute Maid Park,32,664299,3.14,6.19,11.84,1.05,0.191,0.25,0.333,0.5,0.25,0.333,True
15,15,15,15,15,21,14161,Byron Buxton,MIN,28,0.222,0.301,0.549,0.6890000000000001,621439,142,Daniel Lynch,0,Kauffman Stadium,5,663738,4.79,10.13,9.36,1.52,0.279,0.0,0.2,0.25,0.333,0.0,False
