,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,15640,Aaron Judge,NYY,30,0.305,0.4,0.688,0.736,592450,147,Dean Kremer,0,Oriole Park at Camden Yards,30,665152,3.69,9.66,6.96,1.31,.280,0.8,0.5,0.0,0.25,0.667,True
1,9777,Nolan Arenado,STL,31,0.303,0.37,0.57,0.812,571448,138,Tyler Mahle,0,Great American Ball Park,8,641816,3.00,6.00,8.25,0.92,.195,0.6,0.4,0.0,0.5,0.333,False
2,9218,Paul Goldschmidt,STL,34,0.331,0.414,0.619,0.768,502671,138,Tyler Mahle,0,Great American Ball Park,8,641816,3.00,6.00,8.25,0.92,.195,0.5,0.4,0.4,0.0,0.25,True
3,5361,Freddie Freeman,LAD,32,0.324,0.4,0.523,0.8270000000000001,518692,119,Alex Cobb,1,Dodger Stadium,17,502171,4.15,8.87,9.64,1.29,.253,0.333,0.5,0.5,0.5,0.25,True
5,11493,Manny Machado,SDP,29,0.296,0.365,0.519,0.7759999999999999,592518,135,Carlos Carrasco,0,Citi Field,22,471911,3.76,9.19,8.90,1.28,.266,0.25,0.0,0.0,0.333,0.25,True
6,12916,Francisco Lindor,NYM,28,0.27,0.348,0.462,0.7909999999999999,596019,121,Joe Musgrove,1,Citi Field,22,605397,2.91,7.16,8.79,1.02,.216,0.25,0.0,0.5,0.25,0.333,True
8,18314,Dansby Swanson,ATL,28,0.292,0.345,0.46,0.7070000000000001,621020,144,Reid Detmers,1,Truist Park,12,672282,3.45,6.41,8.71,1.07,.201,0.5,0.0,0.667,0.2,0.25,True
9,18360,Austin Riley,ATL,25,0.297,0.357,0.589,0.741,663586,144,Reid Detmers,1,Truist Park,12,672282,3.45,6.41,8.71,1.07,.201,0.75,0.5,0.333,0.4,0.2,True
10,13611,Mookie Betts,LAD,29,0.272,0.344,0.53,0.8640000000000001,605141,119,Alex Cobb,1,Dodger Stadium,17,502171,4.15,8.87,9.64,1.29,.253,0.5,0.4,0.25,0.25,0.0,True
12,16252,Trea Turner,LAD,29,0.309,0.348,0.503,0.758,607208,119,Alex Cobb,1,Dodger Stadium,17,502171,4.15,8.87,9.64,1.29,.253,0.25,0.25,0.4,0.5,0.25,True
13,12161,Xander Bogaerts,BOS,29,0.307,0.378,0.448,0.763,593428,111,Ross Stripling,1,Fenway Park,3,548389,3.16,8.27,7.29,1.10,.241,0.333,0.0,0.0,0.333,0.4,True
14,19950,Andres Gimenez,CLE,23,0.303,0.368,0.479,0.746,665926,114,Dylan Cease,0,Guaranteed Rate Field,23,656302,1.96,6.44,12.17,1.14,.196,0.5,0.5,0.4,0.0,0.667,True
15,9874,DJ LeMahieu,NYY,33,0.282,0.385,0.422,0.882,518934,147,Dean Kremer,0,Oriole Park at Camden Yards,30,665152,3.69,9.66,6.96,1.31,.280,0.4,0.333,1.0,0.333,0.75,True
16,13624,Corey Seager,TEX,28,0.252,0.33,0.47,0.753,608369,140,Paul Blackburn,0,Oakland Coliseum,19,621112,4.28,8.89,7.19,1.26,.255,0.333,0.0,0.4,0.5,0.25,True
17,5417,Jose Altuve,HOU,32,0.28,0.367,0.503,0.852,514888,117,Robbie Ray,0,T-Mobile Park,27,592662,3.90,7.48,10.32,1.19,.225,0.25,0.6,0.0,0.25,0.2,True
18,19470,Tommy Edman,STL,27,0.255,0.317,0.362,0.82,669242,138,Tyler Mahle,0,Great American Ball Park,8,641816,3.00,6.00,8.25,0.92,.195,0.333,0.25,0.4,0.4,0.0,False
22,15362,Jeff McNeil,NYM,30,0.306,0.36,0.446,0.853,643446,121,Joe Musgrove,1,Citi Field,22,605397,2.91,7.16,8.79,1.02,.216,0.0,0.0,0.0,0.2,0.25,False
23,12927,Brandon Nimmo,NYM,29,0.267,0.352,0.417,0.828,607043,121,Joe Musgrove,1,Citi Field,22,605397,2.91,7.16,8.79,1.02,.216,0.25,0.0,0.333,0.0,0.2,True
24,15676,Jose Abreu,CHW,35,0.296,0.373,0.46,0.79,547989,145,Shane Bieber,1,Guaranteed Rate Field,23,669456,3.21,7.86,9.16,1.09,.233,0.5,0.0,0.333,0.4,0.5,True
25,21479,Nico Hoerner,CHC,25,0.299,0.342,0.419,0.858,663538,112,Bailey Falter,0,Citizens Bank Park,16,663559,4.85,9.92,8.54,1.38,.283,0.25,0.167,0.75,0.0,0.0,False
26,19352,Sean Murphy,OAK,27,0.243,0.321,0.424,0.775,669221,133,Martin Perez,1,Oakland Coliseum,19,527048,2.85,7.94,7.81,1.18,.235,0.333,0.333,0.25,0.0,0.25,True
27,18036,Jake Cronenworth,SDP,28,0.239,0.341,0.387,0.847,630105,135,Carlos Carrasco,0,Citi Field,22,471911,3.76,9.19,8.90,1.28,.266,0.0,0.25,0.25,0.25,0.0,True
28,19251,Pete Alonso,NYM,27,0.281,0.361,0.54,0.778,624413,121,Joe Musgrove,1,Citi Field,22,605397,2.91,7.16,8.79,1.02,.216,0.75,0.333,0.25,0.25,0.0,True
29,18345,Kyle Tucker,HOU,25,0.249,0.336,0.466,0.8079999999999999,663656,117,Robbie Ray,0,T-Mobile Park,27,592662,3.90,7.48,10.32,1.19,.225,0.25,0.0,0.333,0.25,0.5,True
30,17678,Alex Bregman,HOU,28,0.255,0.364,0.43,0.861,608324,117,Robbie Ray,0,T-Mobile Park,27,592662,3.90,7.48,10.32,1.19,.225,0.0,0.25,0.5,0.5,0.0,True
31,19955,Gavin Lux,LAD,24,0.296,0.372,0.423,0.818,666158,119,Alex Cobb,1,Dodger Stadium,17,502171,4.15,8.87,9.64,1.29,.253,0.5,0.0,0.5,0.0,0.0,True
33,10815,Jurickson Profar,SDP,29,0.254,0.345,0.416,0.831,595777,135,Carlos Carrasco,0,Citi Field,22,471911,3.76,9.19,8.90,1.28,.266,0.25,0.25,0.25,0.25,0.0,False
34,15986,Willy Adames,MIL,26,0.225,0.29,0.458,0.7240000000000001,642715,158,Chad Kuhl,1,American Family Field,18,641771,5.16,9.70,6.64,1.52,.273,0.25,0.167,0.5,0.5,0.0,True
35,19918,Daulton Varsho,ARI,25,0.241,0.315,0.43,0.782,662139,109,Erick Fedde,1,Chase Field,13,607200,4.95,9.32,6.80,1.54,.269,0.0,0.75,0.0,0.0,0.333,True
36,18577,Ke'Bryan Hayes,PIT,25,0.251,0.323,0.358,0.816,663647,134,Sandy Alcantara,1,PNC Park,10,645261,2.01,6.29,7.86,0.95,.198,0.0,0.25,0.2,0.25,0.333,True
37,18568,Luis Arraez,MIN,25,0.332,0.398,0.442,0.9329999999999999,650333,142,Rony Garcia,0,Comerica Park,25,665621,4.41,7.06,8.47,1.04,.213,0.6,0.0,0.25,0.333,0.2,True
38,17919,Ian Happ,CHC,27,0.278,0.356,0.434,0.7490000000000001,664023,112,Bailey Falter,0,Citizens Bank Park,16,663559,4.85,9.92,8.54,1.38,.283,0.2,0.667,0.25,0.0,0.0,True
39,19287,Adolis Garcia,TEX,29,0.255,0.304,0.458,0.68,666969,140,Paul Blackburn,0,Oakland Coliseum,19,621112,4.28,8.89,7.19,1.26,.255,0.25,0.25,0.4,0.25,0.333,True
40,12552,Eugenio Suarez,SEA,30,0.226,0.33,0.414,0.6759999999999999,553993,136,Framber Valdez,1,T-Mobile Park,27,664285,2.73,7.04,8.11,1.13,.215,0.0,0.333,0.333,0.0,0.25,False
41,27506,Ha-seong Kim,SDP,26,0.249,0.325,0.374,0.83,673490,135,Carlos Carrasco,0,Citi Field,22,471911,3.76,9.19,8.90,1.28,.266,0.0,0.0,0.25,0.5,0.25,True
42,17548,Taylor Ward,LAA,28,0.266,0.356,0.453,0.782,621493,108,Ian Anderson,0,Truist Park,12,666120,5.00,9.27,7.82,1.51,.264,0.25,0.25,0.25,0.0,0.4,True
45,17929,Cedric Mullins II,BAL,27,0.266,0.324,0.399,0.8170000000000001,656775,110,Nestor Cortes,1,Oriole Park at Camden Yards,30,641482,2.67,6.79,9.53,1.00,.205,0.667,0.5,0.0,0.0,0.2,True
46,16472,Rhys Hoskins,PHI,29,0.248,0.338,0.484,0.7609999999999999,656555,143,Drew Smyly,1,Citizens Bank Park,16,592767,3.69,9.42,7.77,1.29,.262,0.0,0.25,0.0,0.25,0.0,True
47,17982,Ty France,SEA,27,0.294,0.363,0.455,0.8340000000000001,664034,136,Framber Valdez,1,T-Mobile Park,27,664285,2.73,7.04,8.11,1.13,.215,0.0,0.25,0.4,0.6,0.2,True
48,9241,Starling Marte,NYM,33,0.292,0.343,0.458,0.775,516782,121,Joe Musgrove,1,Citi Field,22,605397,2.91,7.16,8.79,1.02,.216,0.0,0.5,0.5,0.25,0.4,True
49,16578,Yandy Diaz,TBR,30,0.274,0.389,0.388,0.87,650490,139,Kris Bubic,0,Kauffman Stadium,5,663460,5.02,9.52,7.64,1.56,.271,0.0,0.333,0.0,0.0,0.25,True
50,13419,Christian Walker,ARI,31,0.213,0.313,0.456,0.774,572233,109,Erick Fedde,1,Chase Field,13,607200,4.95,9.32,6.80,1.54,.269,0.5,0.0,0.0,0.333,0.25,True
51,12533,Marcus Semien,TEX,31,0.24,0.3,0.407,0.809,543760,140,Paul Blackburn,0,Oakland Coliseum,19,621112,4.28,8.89,7.19,1.26,.255,0.2,0.4,0.667,0.5,0.0,True
52,3473,Anthony Rizzo,NYY,32,0.224,0.342,0.504,0.7959999999999999,519203,147,Dean Kremer,0,Oriole Park at Camden Yards,30,665152,3.69,9.66,6.96,1.31,.280,0.2,0.25,0.25,0.0,0.0,False
53,19755,Shohei Ohtani,LAA,27,0.253,0.345,0.494,0.738,660271,108,Ian Anderson,0,Truist Park,12,666120,5.00,9.27,7.82,1.51,.264,0.5,0.0,0.5,0.0,0.333,False
54,15172,Tim Anderson,CHW,29,0.301,0.339,0.395,0.795,641313,145,Shane Bieber,1,Guaranteed Rate Field,23,669456,3.21,7.86,9.16,1.09,.233,0.0,0.5,0.25,0.2,0.4,True
55,17273,Jorge Mateo,BAL,27,0.23,0.277,0.404,0.698,622761,110,Nestor Cortes,1,Oriole Park at Camden Yards,30,641482,2.67,6.79,9.53,1.00,.205,0.5,0.25,0.25,0.5,0.25,True
