,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,0,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Mauricio Llovera,0.0,Oracle Park,9.0,661440,4.41,7.71,11.02,1.35,0.219,0.5,0.25,0.0,0.25,0.25,False
1,1,1,1,1,1,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Mauricio Llovera,0.0,Oracle Park,9.0,661440,4.41,7.71,11.02,1.35,0.219,0.0,0.0,0.667,0.0,0.25,True
2,2,2,2,2,2,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Jose Berrios,1.0,Progressive Field,7.0,621244,5.19,9.92,8.16,1.35,0.275,0.0,0.0,0.333,0.0,0.667,True
3,3,3,3,3,3,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Tarik Skubal,1.0,Minute Maid Park,32.0,669373,3.52,7.95,8.95,1.16,0.237,0.333,0.333,0.333,0.0,0.333,True
4,4,4,4,4,4,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Jesus Luzardo,1.0,Petco Park,31.0,666200,3.29,4.83,11.41,0.95,0.152,0.5,0.0,0.2,0.333,0.25,True
5,5,5,5,5,5,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Aaron Nola,0.0,Citizens Bank Park,16.0,605400,3.17,7.28,9.77,0.95,0.219,0.0,0.0,0.0,0.0,0.25,True
6,6,6,6,6,6,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Shohei Ohtani,1.0,Fenway Park,3.0,660271,2.68,7.22,12.73,1.05,0.214,0.0,0.25,0.4,0.4,0.5,True
7,7,7,7,7,7,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,Shohei Ohtani,1.0,Fenway Park,3.0,660271,2.68,7.22,12.73,1.05,0.214,0.4,0.0,0.25,0.333,0.0,True
8,8,8,8,8,8,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Taijuan Walker,1.0,Citizens Bank Park,16.0,592836,3.45,8.28,6.9,1.19,0.242,0.0,0.667,0.0,0.0,0.0,True
9,9,9,9,9,9,19470,Tommy Edman,STL,27,0.258,0.322,0.367,0.821,669242,138,Mauricio Llovera,0.0,Oracle Park,9.0,661440,4.41,7.71,11.02,1.35,0.219,0.0,0.5,0.5,0.0,0.25,True
10,10,10,10,10,10,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Tarik Skubal,1.0,Minute Maid Park,32.0,669373,3.52,7.95,8.95,1.16,0.237,0.5,0.333,0.0,0.25,0.333,True
11,11,11,11,11,11,19950,Andres Gimenez,CLE,23,0.302,0.365,0.484,0.743,665926,114,Jose Berrios,1.0,Progressive Field,7.0,621244,5.19,9.92,8.16,1.35,0.275,0.5,0.0,0.4,0.25,0.75,True
12,12,12,12,12,12,12927,Brandon Nimmo,NYM,29,0.271,0.355,0.425,0.83,607043,121,Aaron Nola,0.0,Citizens Bank Park,16.0,605400,3.17,7.28,9.77,0.95,0.219,0.333,0.25,0.0,0.2,0.25,True
13,13,13,13,13,13,14161,Byron Buxton,MIN,28,0.222,0.301,0.549,0.6890000000000001,621439,142,Spenser Watkins,0.0,Oriole Park at Camden Yards,30.0,657093,4.02,9.22,5.84,1.33,0.261,0.4,0.25,0.4,0.0,0.0,True
14,14,14,14,14,14,15362,Jeff McNeil,NYM,30,0.306,0.362,0.445,0.852,643446,121,Aaron Nola,0.0,Citizens Bank Park,16.0,605400,3.17,7.28,9.77,0.95,0.219,0.0,0.5,0.0,0.333,0.8,True
15,15,15,15,15,15,18036,Jake Cronenworth,SDP,28,0.237,0.34,0.388,0.846,630105,135,Jesus Luzardo,1.0,Petco Park,31.0,666200,3.29,4.83,11.41,0.95,0.152,0.0,0.2,0.2,0.25,0.5,True
16,16,16,16,16,16,19251,Pete Alonso,NYM,27,0.278,0.357,0.541,0.777,624413,121,Aaron Nola,0.0,Citizens Bank Park,16.0,605400,3.17,7.28,9.77,0.95,0.219,0.25,0.5,0.5,0.0,0.25,True
17,17,17,17,17,17,22581,Alejandro Kirk,TOR,23,0.305,0.388,0.461,0.86,672386,141,Aaron Civale,0.0,Progressive Field,7.0,650644,6.17,10.67,8.67,1.46,0.295,0.5,0.333,0.0,0.0,0.0,True
18,18,18,18,18,18,19611,Vladimir Guerrero Jr.,TOR,23,0.287,0.359,0.504,0.7829999999999999,665489,141,Aaron Civale,0.0,Progressive Field,7.0,650644,6.17,10.67,8.67,1.46,0.295,0.25,0.5,0.333,0.0,0.0,True
19,19,19,19,19,19,17678,Alex Bregman,HOU,28,0.251,0.356,0.422,0.86,608324,117,Tarik Skubal,1.0,Minute Maid Park,32.0,669373,3.52,7.95,8.95,1.16,0.237,1.0,0.0,0.25,0.0,0.0,True
20,20,20,20,20,20,16505,Matt Chapman,TOR,29,0.242,0.322,0.474,0.735,656305,141,Aaron Civale,0.0,Progressive Field,7.0,650644,6.17,10.67,8.67,1.46,0.295,0.5,0.0,0.25,0.0,0.0,False
21,21,21,21,21,21,18345,Kyle Tucker,HOU,25,0.242,0.332,0.449,0.8059999999999999,663656,117,Tarik Skubal,1.0,Minute Maid Park,32.0,669373,3.52,7.95,8.95,1.16,0.237,0.0,0.0,0.5,0.75,0.5,True
22,22,22,22,22,22,10815,Jurickson Profar,SDP,29,0.252,0.344,0.416,0.831,595777,135,Jesus Luzardo,1.0,Petco Park,31.0,666200,3.29,4.83,11.41,0.95,0.152,0.0,0.25,0.0,0.0,0.0,False
23,23,23,23,23,23,17548,Taylor Ward,LAA,28,0.274,0.365,0.465,0.7829999999999999,621493,108,Rich Hill,0.0,Fenway Park,3.0,448179,4.75,9.39,6.84,1.35,0.266,0.5,0.0,0.25,0.5,0.25,True
24,24,24,24,24,24,16472,Rhys Hoskins,PHI,29,0.253,0.344,0.496,0.7609999999999999,656555,143,Taijuan Walker,1.0,Citizens Bank Park,16.0,592836,3.45,8.28,6.9,1.19,0.242,0.0,0.25,0.25,0.25,0.0,False
25,25,25,25,25,25,12552,Eugenio Suarez,SEA,30,0.227,0.329,0.415,0.677,553993,136,Shane McClanahan,1.0,T-Mobile Park,27.0,663556,2.24,5.89,11.29,0.83,0.184,0.333,0.0,0.0,0.0,0.0,True
26,26,26,26,26,26,17982,Ty France,SEA,27,0.298,0.368,0.463,0.838,664034,136,Shane McClanahan,1.0,T-Mobile Park,27.0,663556,2.24,5.89,11.29,0.83,0.184,0.0,0.5,0.5,0.25,0.0,True
27,27,27,27,27,28,12856,George Springer,TOR,32,0.251,0.331,0.464,0.733,543807,141,Aaron Civale,0.0,Progressive Field,7.0,650644,6.17,10.67,8.67,1.46,0.295,0.0,0.0,0.5,0.0,0.667,False
28,28,28,28,28,29,27506,Ha-seong Kim,SDP,26,0.248,0.326,0.37,0.83,673490,135,Jesus Luzardo,1.0,Petco Park,31.0,666200,3.29,4.83,11.41,0.95,0.152,0.5,0.25,0.0,0.25,0.5,False
