,Unnamed: 0,Unnamed: 0.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Framber Valdez,1.0,Yankee Stadium,6.0,664285,2.87,7.13,8.0,1.15,0.217,0.4,0.0,0.0,0.25,0.0,True
1,1,1,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Devin Smeltzer,0.0,Target Field,26.0,656970,4.02,8.47,5.31,1.21,0.25,0.25,0.2,0.25,0.25,0.8,True
2,2,2,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Alex Wood,1.0,Truist Park,12.0,622072,4.17,8.73,8.81,1.2,0.254,0.25,0.4,0.25,0.5,0.333,True
3,3,3,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Jameson Taillon,0.0,Yankee Stadium,6.0,592791,3.95,8.5,7.76,1.14,0.246,0.5,0.333,0.0,0.5,0.25,True
4,4,6,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Joe Musgrove,0.0,Petco Park,31.0,605397,2.91,7.16,8.79,1.02,0.216,0.0,0.5,0.333,0.0,0.2,True
5,5,7,9874,DJ LeMahieu,NYY,33,0.286,0.388,0.429,0.8809999999999999,518934,147,Framber Valdez,1.0,Yankee Stadium,6.0,664285,2.87,7.13,8.0,1.15,0.217,0.333,0.667,0.0,0.2,0.0,False
6,6,8,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Jameson Taillon,0.0,Yankee Stadium,6.0,592791,3.95,8.5,7.76,1.14,0.246,0.0,0.25,0.25,0.5,0.0,True
7,7,9,19950,Andres Gimenez,CLE,23,0.302,0.365,0.484,0.743,665926,114,Devin Smeltzer,0.0,Target Field,26.0,656970,4.02,8.47,5.31,1.21,0.25,0.25,0.4,0.25,0.0,0.5,True
8,8,11,15676,Jose Abreu,CHW,35,0.297,0.375,0.464,0.794,547989,145,Dean Kremer,1.0,Guaranteed Rate Field,23.0,665152,3.43,9.68,6.71,1.32,0.279,0.333,0.333,0.0,0.0,0.25,True
9,9,12,19352,Sean Murphy,OAK,27,0.245,0.32,0.43,0.775,669221,133,Robbie Ray,1.0,Oakland Coliseum,19.0,592662,3.96,7.63,10.34,1.19,0.229,0.5,0.0,0.75,0.0,0.25,False
10,10,14,11609,Willson Contreras,CHC,30,0.253,0.364,0.463,0.711,575929,112,Jose Quintana,0.0,PNC Park,10.0,500779,1.5,1.5,10.5,0.5,0.056,0.0,0.0,0.0,0.25,0.6,False
11,11,15,21479,Nico Hoerner,CHC,25,0.297,0.34,0.411,0.857,663538,112,Jose Quintana,0.0,PNC Park,10.0,500779,1.5,1.5,10.5,0.5,0.056,0.333,0.0,0.667,0.0,0.25,True
12,12,16,17678,Alex Bregman,HOU,28,0.251,0.356,0.422,0.86,608324,117,Jameson Taillon,0.0,Yankee Stadium,6.0,592791,3.95,8.5,7.76,1.14,0.246,0.667,0.667,0.25,0.333,0.333,True
13,13,17,18345,Kyle Tucker,HOU,25,0.242,0.332,0.449,0.8059999999999999,663656,117,Jameson Taillon,0.0,Yankee Stadium,6.0,592791,3.95,8.5,7.76,1.14,0.246,0.0,0.333,0.25,0.0,0.5,True
14,14,18,10815,Jurickson Profar,SDP,29,0.252,0.344,0.416,0.831,595777,135,Ranger Suarez,1.0,Petco Park,31.0,624133,3.68,8.97,7.62,1.37,0.258,1.0,0.0,0.0,0.2,0.2,False
15,15,19,15986,Willy Adames,MIL,26,0.224,0.289,0.463,0.726,642715,158,Dakota Hudson,1.0,American Family Field,18.0,641712,4.2,8.57,4.8,1.39,0.262,0.0,0.25,0.5,0.2,0.2,True
16,16,20,18577,Ke'Bryan Hayes,PIT,25,0.248,0.32,0.358,0.818,663647,134,Justin Steele,1.0,PNC Park,10.0,657006,3.67,8.66,9.13,1.41,0.247,0.25,0.0,0.0,0.4,0.25,True
17,17,21,16472,Rhys Hoskins,PHI,29,0.253,0.344,0.496,0.7609999999999999,656555,143,Joe Musgrove,0.0,Petco Park,31.0,605397,2.91,7.16,8.79,1.02,0.216,0.25,0.0,0.25,1.0,0.0,False
18,18,22,17919,Ian Happ,CHC,27,0.276,0.356,0.432,0.7490000000000001,664023,112,Jose Quintana,0.0,PNC Park,10.0,500779,1.5,1.5,10.5,0.5,0.056,0.5,0.25,0.667,0.667,0.25,True
19,19,23,12552,Eugenio Suarez,SEA,30,0.227,0.329,0.415,0.677,553993,136,Frankie Montas,0.0,Oakland Coliseum,19.0,593423,18.0,15.0,6.0,2.67,0.385,0.25,0.25,0.0,0.0,0.0,False
20,20,24,17982,Ty France,SEA,27,0.298,0.368,0.463,0.838,664034,136,Frankie Montas,0.0,Oakland Coliseum,19.0,593423,18.0,15.0,6.0,2.67,0.385,0.25,0.6,0.0,0.25,0.25,False
21,21,25,18568,Luis Arraez,MIN,25,0.329,0.394,0.436,0.932,650333,142,Zach Plesac,1.0,Target Field,26.0,668676,4.49,9.39,6.9,1.35,0.262,0.0,0.4,0.25,1.0,0.5,False
22,22,26,27506,Ha-seong Kim,SDP,26,0.248,0.326,0.37,0.83,673490,135,Ranger Suarez,1.0,Petco Park,31.0,624133,3.68,8.97,7.62,1.37,0.258,0.2,0.25,0.5,0.25,0.25,True
23,23,27,3473,Anthony Rizzo,NYY,32,0.227,0.347,0.511,0.8,519203,147,Framber Valdez,1.0,Yankee Stadium,6.0,664285,2.87,7.13,8.0,1.15,0.217,0.0,0.0,0.5,0.5,0.5,False
24,24,29,15518,Amed Rosario,CLE,26,0.29,0.324,0.417,0.8240000000000001,642708,114,Devin Smeltzer,0.0,Target Field,26.0,656970,4.02,8.47,5.31,1.21,0.25,0.8,0.2,0.0,0.333,0.2,True
25,25,30,15112,Ryan McMahon,COL,27,0.242,0.339,0.397,0.752,641857,115,Braxton Garrett,0.0,loanDepot park,20.0,666129,4.02,8.76,9.91,1.2,0.25,0.25,0.75,0.0,1.0,0.0,True
26,26,31,15172,Tim Anderson,CHW,29,0.301,0.339,0.395,0.795,641313,145,Dean Kremer,1.0,Guaranteed Rate Field,23.0,665152,3.43,9.68,6.71,1.32,0.279,0.4,0.4,0.5,0.0,0.6,True
27,27,32,17929,Cedric Mullins II,BAL,27,0.261,0.321,0.39,0.816,656775,110,Johnny Cueto,0.0,Guaranteed Rate Field,23.0,456501,2.91,8.62,6.0,1.19,0.256,0.0,0.25,0.0,0.25,0.6,True
28,28,33,14344,Matt Olson,ATL,28,0.248,0.338,0.48,0.738,621566,144,Alex Wood,1.0,Truist Park,12.0,622072,4.17,8.73,8.81,1.2,0.254,0.25,0.4,0.0,1.0,0.0,False
29,29,34,12546,C.J. Cron,COL,32,0.28,0.33,0.514,0.778,543068,115,Braxton Garrett,0.0,loanDepot park,20.0,666129,4.02,8.76,9.91,1.2,0.25,0.0,0.6,0.75,0.25,0.6,False
30,30,35,5827,Wilmer Flores,SFG,30,0.251,0.334,0.444,0.8290000000000001,527038,137,Kyle Wright,0.0,Truist Park,12.0,657140,3.22,7.83,8.67,1.17,0.234,0.0,0.667,0.0,0.0,0.4,True
31,31,37,11477,Christian Yelich,MIL,30,0.262,0.365,0.39,0.7829999999999999,592885,158,Dakota Hudson,1.0,American Family Field,18.0,641712,4.2,8.57,4.8,1.39,0.262,0.4,0.333,0.0,0.0,0.4,True
32,32,38,16426,Thairo Estrada,SFG,26,0.269,0.319,0.42,0.813,642731,137,Kyle Wright,0.0,Truist Park,12.0,657140,3.22,7.83,8.67,1.17,0.234,0.0,0.4,0.25,0.333,0.2,True
33,33,39,17273,Jorge Mateo,BAL,27,0.218,0.267,0.391,0.6970000000000001,622761,110,Johnny Cueto,0.0,Guaranteed Rate Field,23.0,456501,2.91,8.62,6.0,1.19,0.256,0.0,0.0,0.0,0.0,0.0,True
34,34,40,16478,Kyle Schwarber,PHI,29,0.207,0.31,0.499,0.72,656941,143,Joe Musgrove,0.0,Petco Park,31.0,605397,2.91,7.16,8.79,1.02,0.216,0.25,0.25,0.25,0.0,0.25,True
35,35,41,14551,Anthony Santander,BAL,27,0.262,0.342,0.463,0.805,623993,110,Johnny Cueto,0.0,Guaranteed Rate Field,23.0,456501,2.91,8.62,6.0,1.19,0.256,0.5,0.0,1.0,0.4,0.0,False
36,36,42,10231,Jose Iglesias,COL,32,0.316,0.358,0.417,0.865,578428,115,Braxton Garrett,0.0,loanDepot park,20.0,666129,4.02,8.76,9.91,1.2,0.25,0.333,0.5,0.25,0.25,0.0,True
37,37,43,14162,Carlos Correa,MIN,27,0.265,0.342,0.431,0.7829999999999999,621043,142,Zach Plesac,1.0,Target Field,26.0,668676,4.49,9.39,6.9,1.35,0.262,0.4,0.2,0.0,0.4,0.0,True
38,38,44,12144,Max Kepler,MIN,29,0.233,0.331,0.373,0.813,596146,142,Zach Plesac,1.0,Target Field,26.0,668676,4.49,9.39,6.9,1.35,0.262,0.333,0.2,0.0,0.4,0.333,False
39,39,45,17907,Brendan Rodgers,COL,25,0.284,0.334,0.432,0.785,663898,115,Braxton Garrett,0.0,loanDepot park,20.0,666129,4.02,8.76,9.91,1.2,0.25,0.25,0.25,0.2,0.0,0.0,True
40,40,46,16997,Gleyber Torres,NYY,25,0.254,0.306,0.45,0.741,650402,147,Framber Valdez,1.0,Yankee Stadium,6.0,664285,2.87,7.13,8.0,1.15,0.217,0.0,0.0,0.25,0.6,0.5,False
41,41,47,15491,J.P. Crawford,SEA,27,0.255,0.331,0.354,0.875,641487,136,Frankie Montas,0.0,Oakland Coliseum,19.0,593423,18.0,15.0,6.0,2.67,0.385,0.5,0.0,0.25,0.0,0.25,False
42,42,48,19326,Bryan Reynolds,PIT,27,0.257,0.343,0.449,0.752,668804,134,Justin Steele,1.0,PNC Park,10.0,657006,3.67,8.66,9.13,1.41,0.247,0.667,0.333,0.667,0.25,0.0,True
43,43,49,18171,Seth Brown,OAK,29,0.238,0.295,0.463,0.732,664913,133,Robbie Ray,1.0,Oakland Coliseum,19.0,592662,3.96,7.63,10.34,1.19,0.229,0.25,0.75,0.0,0.0,0.25,True
44,44,51,8709,Elvis Andrus,OAK,33,0.24,0.302,0.371,0.81,462101,133,Robbie Ray,1.0,Oakland Coliseum,19.0,592662,3.96,7.63,10.34,1.19,0.229,0.0,0.0,0.0,0.5,0.0,False
45,45,52,19363,Austin Hays,BAL,26,0.261,0.318,0.435,0.777,669720,110,Johnny Cueto,0.0,Guaranteed Rate Field,23.0,456501,2.91,8.62,6.0,1.19,0.256,1.0,0.0,0.0,0.25,0.0,True
46,46,53,21618,Alec Bohm,PHI,25,0.294,0.33,0.413,0.8009999999999999,664761,143,Joe Musgrove,0.0,Petco Park,31.0,605397,2.91,7.16,8.79,1.02,0.216,0.25,0.5,0.0,0.333,0.0,False
47,47,54,5297,Aaron Hicks,NYY,32,0.222,0.348,0.314,0.763,543305,147,Framber Valdez,1.0,Yankee Stadium,6.0,664285,2.87,7.13,8.0,1.15,0.217,0.0,0.5,0.25,0.5,0.333,True
48,48,55,15279,Garrett Cooper,MIA,31,0.275,0.348,0.424,0.7959999999999999,643265,146,Kyle Freeland,1.0,loanDepot park,20.0,607536,4.56,9.5,6.66,1.36,0.272,0.5,0.2,0.25,0.25,0.5,True
49,49,56,14854,Mike Yastrzemski,SFG,31,0.22,0.315,0.393,0.797,573262,137,Kyle Wright,0.0,Truist Park,12.0,657140,3.22,7.83,8.67,1.17,0.234,0.25,0.25,0.0,0.0,0.0,False
50,50,57,17620,Myles Straw,CLE,27,0.214,0.292,0.272,0.892,664702,114,Devin Smeltzer,0.0,Target Field,26.0,656970,4.02,8.47,5.31,1.21,0.25,0.5,0.0,0.25,0.0,0.0,False
51,51,58,13602,Patrick Wisdom,CHC,30,0.22,0.315,0.443,0.6659999999999999,621550,112,Jose Quintana,0.0,PNC Park,10.0,500779,1.5,1.5,10.5,0.5,0.056,0.5,0.667,0.0,0.0,0.0,True
52,52,59,18373,Ryan Mountcastle,BAL,25,0.258,0.3,0.441,0.722,663624,110,Johnny Cueto,0.0,Guaranteed Rate Field,23.0,456501,2.91,8.62,6.0,1.19,0.256,0.25,0.5,0.0,0.5,0.25,True
53,53,60,18564,Trent Grisham,SDP,25,0.192,0.29,0.355,0.772,663757,135,Ranger Suarez,1.0,Petco Park,31.0,624133,3.68,8.97,7.62,1.37,0.258,0.5,0.0,0.25,0.333,0.0,True
54,54,61,15223,Adam Frazier,SEA,30,0.243,0.306,0.31,0.878,624428,136,Frankie Montas,0.0,Oakland Coliseum,19.0,593423,18.0,15.0,6.0,2.67,0.385,0.0,0.0,0.0,0.0,1.0,True
