,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,15640,Aaron Judge,NYY,30,0.305,0.4,0.688,0.736,592450,147,Brady Singer,1.0,Yankee Stadium,6.0,663903,3.49,8.36,9.18,1.15,.248,0.0,0.5,0.5,0.8,0.5,True
1,5361,Freddie Freeman,LAD,32,0.324,0.4,0.523,0.8270000000000001,518692,119,Jose Urena,0.0,Coors Field,1.0,570632,5.02,10.05,5.02,1.60,.289,0.5,0.333,0.0,0.4,0.333,True
2,13510,Jose Ramirez,CLE,29,0.285,0.355,0.551,0.879,608070,114,Kutter Crawford,0.0,Fenway Park,3.0,676710,4.18,7.79,9.05,1.22,.231,0.0,0.333,0.5,0.0,0.5,True
3,19556,Yordan Alvarez,HOU,25,0.296,0.401,0.63,0.799,670541,117,Logan Gilbert,1.0,Minute Maid Park,32.0,669302,3.47,8.57,8.30,1.23,.248,0.5,0.667,0.0,0.0,0.5,True
4,13611,Mookie Betts,LAD,29,0.272,0.344,0.53,0.8640000000000001,605141,119,Jose Urena,0.0,Coors Field,1.0,570632,5.02,10.05,5.02,1.60,.289,0.667,0.2,0.0,0.25,0.5,True
6,16252,Trea Turner,LAD,29,0.309,0.348,0.503,0.758,607208,119,Jose Urena,0.0,Coors Field,1.0,570632,5.02,10.05,5.02,1.60,.289,0.25,0.5,0.5,0.2,0.25,True
7,12161,Xander Bogaerts,BOS,29,0.307,0.378,0.448,0.763,593428,111,Triston McKenzie,1.0,Fenway Park,3.0,663474,3.14,6.35,8.29,0.97,.198,0.333,0.75,0.25,0.25,0.333,True
8,19950,Andres Gimenez,CLE,23,0.303,0.368,0.479,0.746,665926,114,Kutter Crawford,0.0,Fenway Park,3.0,676710,4.18,7.79,9.05,1.22,.231,0.0,0.0,0.333,0.25,0.5,False
10,13624,Corey Seager,TEX,28,0.252,0.33,0.47,0.753,608369,140,Shohei Ohtani,0.0,Angel Stadium,4.0,660271,2.68,7.22,12.73,1.05,.214,0.0,0.0,0.0,0.333,0.333,True
11,5417,Jose Altuve,HOU,32,0.28,0.367,0.503,0.852,514888,117,Logan Gilbert,1.0,Minute Maid Park,32.0,669302,3.47,8.57,8.30,1.23,.248,0.0,0.0,0.2,0.4,0.25,True
