,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Bruce Zimmermann,1,Yankee Stadium,6,669145,5.85,11.84,6.12,1.48,0.322,0.667,0.75,0.25,0.333,0.333,False
1,1,1,1,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Kevin Gausman,1,Busch Stadium,15,592332,2.91,9.56,10.48,1.23,0.27,0.75,0.5,0.0,0.0,0.0,False
2,2,2,2,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Kevin Gausman,1,Busch Stadium,15,592332,2.91,9.56,10.48,1.23,0.27,0.2,0.8,0.25,0.75,0.2,True
3,3,3,3,3,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Josiah Gray,0,Nationals Park,29,680686,4.92,7.9,10.36,1.31,0.233,0.6,0.0,0.0,0.6,0.25,False
4,4,4,4,4,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Framber Valdez,0,Minute Maid Park,32,664285,2.87,7.13,8.0,1.15,0.217,0.4,0.0,0.5,0.25,0.0,True
5,5,5,5,5,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Kyle Gibson,1,Truist Park,12,502043,4.36,8.01,6.85,1.17,0.238,0.5,0.25,0.25,0.25,0.25,True
6,6,6,6,6,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Zach Plesac,1,Minute Maid Park,32,668676,4.49,9.39,6.9,1.35,0.262,0.0,0.25,0.5,0.0,0.0,True
7,7,7,7,7,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Corbin Burnes,1,Petco Park,31,669203,2.45,5.89,11.58,0.93,0.183,0.0,1.0,0.2,0.6,0.4,True
8,8,8,8,8,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Logan Webb,0,Oracle Park,9,657277,3.17,7.99,7.29,1.15,0.237,0.2,0.5,0.2,0.0,0.667,True
9,9,9,9,9,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Kyle Gibson,1,Truist Park,12,502043,4.36,8.01,6.85,1.17,0.238,0.5,0.0,0.0,0.0,0.4,True
10,10,10,10,10,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Josiah Gray,0,Nationals Park,29,680686,4.92,7.9,10.36,1.31,0.233,0.667,0.25,0.75,0.2,0.25,True
11,11,11,11,11,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Dylan Cease,0,Guaranteed Rate Field,23,656302,1.98,6.53,12.18,1.16,0.198,0.25,0.75,0.0,0.2,0.667,True
12,12,12,12,12,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Josiah Gray,0,Nationals Park,29,680686,4.92,7.9,10.36,1.31,0.233,0.25,0.6,0.2,0.5,0.25,True
13,13,13,13,13,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,Dylan Cease,0,Guaranteed Rate Field,23,656302,1.98,6.53,12.18,1.16,0.198,0.0,0.5,0.0,0.2,0.25,True
14,14,14,14,14,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Max Fried,0,Truist Park,12,608331,2.6,8.07,8.26,1.08,0.237,0.5,0.0,0.0,0.25,0.0,True
15,15,15,15,16,19470,Tommy Edman,STL,27,0.258,0.322,0.367,0.821,669242,138,Kevin Gausman,1,Busch Stadium,15,592332,2.91,9.56,10.48,1.23,0.27,0.0,0.5,0.4,0.4,0.25,True
16,16,16,16,17,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Zach Plesac,1,Minute Maid Park,32,668676,4.49,9.39,6.9,1.35,0.262,0.25,0.5,0.0,0.8,0.25,True
17,17,17,17,19,13624,Corey Seager,TEX,28,0.25,0.329,0.475,0.7559999999999999,608369,140,Noah Syndergaard,0,Angel Stadium,4,592789,7.2,19.8,3.6,2.2,0.44,0.0,0.5,0.25,0.25,0.333,False
18,18,18,18,20,12927,Brandon Nimmo,NYM,29,0.271,0.355,0.425,0.83,607043,121,Logan Webb,0,Oracle Park,9,657277,3.17,7.99,7.29,1.15,0.237,0.4,0.25,0.25,0.667,0.2,True
19,19,19,19,21,19197,Will Smith,LAD,27,0.275,0.361,0.477,0.8290000000000001,669257,119,Josiah Gray,0,Nationals Park,29,680686,4.92,7.9,10.36,1.31,0.233,0.25,0.25,0.333,0.25,0.25,True
20,20,20,20,22,15362,Jeff McNeil,NYM,30,0.306,0.362,0.445,0.852,643446,121,Logan Webb,0,Oracle Park,9,657277,3.17,7.99,7.29,1.15,0.237,0.5,0.25,0.4,0.0,0.25,True
21,21,21,21,23,15676,Jose Abreu,CHW,35,0.297,0.375,0.464,0.794,547989,145,Nick Pivetta,1,Guaranteed Rate Field,23,601713,4.51,8.73,8.66,1.33,0.253,0.5,0.25,0.2,0.0,0.25,True
22,22,22,22,24,18036,Jake Cronenworth,SDP,28,0.237,0.34,0.388,0.846,630105,135,Corbin Burnes,1,Petco Park,31,669203,2.45,5.89,11.58,0.93,0.183,0.25,0.4,0.0,0.25,0.25,True
23,23,23,23,25,19251,Pete Alonso,NYM,27,0.278,0.357,0.541,0.777,624413,121,Logan Webb,0,Oracle Park,9,657277,3.17,7.99,7.29,1.15,0.237,0.6,0.0,0.4,0.5,0.75,False
24,24,24,24,26,22581,Alejandro Kirk,TOR,23,0.305,0.388,0.461,0.86,672386,141,Jordan Hicks,0,Busch Stadium,15,663855,4.63,5.84,8.66,1.3,0.188,0.25,0.0,0.0,0.333,0.333,True
25,25,25,25,29,19611,Vladimir Guerrero Jr.,TOR,23,0.287,0.359,0.504,0.7829999999999999,665489,141,Jordan Hicks,0,Busch Stadium,15,663855,4.63,5.84,8.66,1.3,0.188,0.0,0.0,0.0,0.0,0.333,True
26,26,26,26,30,19955,Gavin Lux,LAD,24,0.297,0.37,0.425,0.8190000000000001,666158,119,Josiah Gray,0,Nationals Park,29,680686,4.92,7.9,10.36,1.31,0.233,0.5,0.0,0.333,0.25,0.333,False
27,27,27,27,31,17678,Alex Bregman,HOU,28,0.251,0.356,0.422,0.86,608324,117,Zach Plesac,1,Minute Maid Park,32,668676,4.49,9.39,6.9,1.35,0.262,0.25,0.5,0.0,0.5,0.0,True
28,28,28,28,32,16505,Matt Chapman,TOR,29,0.242,0.322,0.474,0.735,656305,141,Jordan Hicks,0,Busch Stadium,15,663855,4.63,5.84,8.66,1.3,0.188,0.0,0.25,0.333,0.333,0.25,True
29,29,29,29,33,18345,Kyle Tucker,HOU,25,0.242,0.332,0.449,0.8059999999999999,663656,117,Zach Plesac,1,Minute Maid Park,32,668676,4.49,9.39,6.9,1.35,0.262,0.0,0.0,0.0,0.5,0.333,True
30,30,30,30,34,10815,Jurickson Profar,SDP,29,0.252,0.344,0.416,0.831,595777,135,Corbin Burnes,1,Petco Park,31,669203,2.45,5.89,11.58,0.93,0.183,0.2,0.333,0.667,0.6,0.25,False
31,31,31,31,37,18577,Ke'Bryan Hayes,PIT,25,0.248,0.32,0.358,0.818,663647,134,Kyle Freeland,1,PNC Park,10,607536,4.56,9.5,6.66,1.36,0.272,1.0,0.0,0.2,0.25,0.2,False
32,32,32,32,38,16472,Rhys Hoskins,PHI,29,0.253,0.344,0.496,0.7609999999999999,656555,143,Max Fried,0,Truist Park,12,608331,2.6,8.07,8.26,1.08,0.237,0.25,0.0,0.25,0.0,0.5,True
33,33,33,33,39,17919,Ian Happ,CHC,27,0.276,0.356,0.432,0.7490000000000001,664023,112,Tyler Mahle,0,Great American Ball Park,8,641816,6.0,7.5,7.5,1.0,0.238,0.667,0.5,0.5,0.0,0.0,False
34,34,34,34,40,12552,Eugenio Suarez,SEA,30,0.227,0.329,0.415,0.677,553993,136,James Kaprielian,1,T-Mobile Park,27,621076,4.38,7.97,6.28,1.32,0.235,0.333,0.25,0.5,0.25,0.4,False
35,35,35,35,41,17982,Ty France,SEA,27,0.298,0.368,0.463,0.838,664034,136,James Kaprielian,1,T-Mobile Park,27,621076,4.38,7.97,6.28,1.32,0.235,0.5,0.4,0.2,0.5,0.25,True
