,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,15640,Aaron Judge,NYY,30,0.305,0.4,0.688,0.736,592450,147,Zack Greinke,1,Yankee Stadium,6,425844,4.29,10.22,5.20,1.34,.284,0.667,0.6,0.333,0.0,0.5,False
1,9777,Nolan Arenado,STL,31,0.303,0.37,0.57,0.812,571448,138,Josiah Gray,0,Nationals Park,29,680686,4.81,8.01,10.18,1.30,.235,0.333,0.0,0.0,0.6,0.4,False
2,9218,Paul Goldschmidt,STL,34,0.331,0.414,0.619,0.768,502671,138,Josiah Gray,0,Nationals Park,29,680686,4.81,8.01,10.18,1.30,.235,0.25,0.25,0.5,0.5,0.4,False
3,5361,Freddie Freeman,LAD,32,0.324,0.4,0.523,0.8270000000000001,518692,119,German Marquez,0,Coors Field,1,608566,5.08,9.66,7.33,1.42,.273,0.5,0.0,0.333,0.5,0.333,True
4,13510,Jose Ramirez,CLE,29,0.285,0.355,0.551,0.879,608070,114,Shane McClanahan,0,Tropicana Field,21,663556,2.28,6.10,11.05,0.87,.189,0.4,0.5,0.25,0.0,0.333,True
5,11493,Manny Machado,SDP,29,0.296,0.365,0.519,0.7759999999999999,592518,135,Dylan Bundy,1,Petco Park,31,605164,4.76,9.43,6.86,1.26,.265,0.2,0.25,0.0,0.4,0.0,False
6,12916,Francisco Lindor,NYM,28,0.27,0.348,0.462,0.7909999999999999,596019,121,Pablo Lopez,0,loanDepot park,20,641154,3.55,7.72,8.98,1.14,.230,0.75,0.5,0.333,0.5,0.4,True
7,18314,Dansby Swanson,ATL,28,0.292,0.345,0.46,0.7070000000000001,621020,144,Merrill Kelly,1,Truist Park,12,518876,2.95,7.47,7.54,1.14,.225,0.25,0.5,0.5,0.6,0.0,True
8,18360,Austin Riley,ATL,25,0.297,0.357,0.589,0.741,663586,144,Merrill Kelly,1,Truist Park,12,518876,2.95,7.47,7.54,1.14,.225,0.25,0.75,0.0,0.667,0.5,True
9,13611,Mookie Betts,LAD,29,0.272,0.344,0.53,0.8640000000000001,605141,119,German Marquez,0,Coors Field,1,608566,5.08,9.66,7.33,1.42,.273,0.0,0.333,0.333,0.667,0.2,True
