,Unnamed: 0,Unnamed: 0.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Kyle Gibson,1,Busch Stadium,15,502043,4.36,8.01,6.85,1.17,0.238,0.5,0.0,0.25,0.667,0.4,False
1,1,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Kyle Gibson,1,Busch Stadium,15,502043,4.36,8.01,6.85,1.17,0.238,0.5,0.25,0.667,0.333,0.25,False
2,2,3,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Marcus Stroman,1,Dodger Stadium,17,573186,4.2,8.17,8.39,1.16,0.239,0.25,0.0,0.25,0.25,0.0,True
3,3,4,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Patrick Corbin,1,Truist Park,12,571578,7.02,13.13,8.32,1.82,0.331,0.6,0.25,0.0,0.2,0.5,False
4,4,5,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Carlos Rodon,1,Petco Park,31,607074,2.95,6.87,11.29,1.07,0.209,0.333,0.25,0.2,0.0,0.0,False
5,5,6,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Braxton Garrett,1,Citi Field,22,666129,4.02,8.76,9.91,1.2,0.25,0.2,0.25,0.0,0.0,0.5,True
6,6,7,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Patrick Corbin,1,Truist Park,12,571578,7.02,13.13,8.32,1.82,0.331,0.2,0.5,0.667,0.75,0.0,True
7,7,8,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Marcus Stroman,1,Dodger Stadium,17,573186,4.2,8.17,8.39,1.16,0.239,0.0,0.667,0.0,0.25,0.25,True
8,8,10,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Marcus Stroman,1,Dodger Stadium,17,573186,4.2,8.17,8.39,1.16,0.239,0.0,0.25,0.0,0.0,0.25,True
9,9,11,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,Jordan Montgomery,1,Fenway Park,3,656756,0.0,3.6,1.8,0.6,0.125,0.0,0.0,0.0,0.333,0.0,True
