,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
63,63,63,63,63,63,73,19363,Austin Hays,BAL,26,0.261,0.318,0.435,0.777,669720,110,Corbin Burnes,1.0,Oriole Park at Camden Yards,30.0,669203,2.45,5.89,11.58,0.93,0.183,0.333,0.0,0.333,0.0,0.0,False
64,64,64,64,64,64,74,5235,Justin Turner,LAD,37,0.26,0.334,0.41,0.8220000000000001,457759,119,Chris Paddack,0.0,Target Field,26.0,663978,4.03,10.07,8.06,1.21,0.284,0.25,0.5,0.25,0.0,0.0,True
65,65,65,65,65,65,75,21618,Alec Bohm,PHI,25,0.294,0.33,0.413,0.8009999999999999,664761,143,Max Scherzer,1.0,Citizens Bank Park,16.0,453286,1.98,6.49,11.29,0.9,0.2,0.0,1.0,1.0,0.0,0.0,False
66,66,66,66,66,66,76,15998,Cody Bellinger,LAD,26,0.212,0.269,0.405,0.759,641355,119,Chris Paddack,0.0,Target Field,26.0,663978,4.03,10.07,8.06,1.21,0.284,0.0,0.667,0.0,0.0,0.0,True
67,67,67,67,67,67,77,5297,Aaron Hicks,NYY,32,0.222,0.348,0.314,0.763,543305,147,Jose Berrios,1.0,Yankee Stadium,6.0,621244,5.19,9.92,8.16,1.35,0.275,0.5,0.333,0.25,0.25,0.0,True
68,68,68,68,68,68,81,19238,Lourdes Gurriel Jr.,TOR,28,0.309,0.361,0.421,0.797,666971,141,Gerrit Cole,0.0,Yankee Stadium,6.0,543037,3.38,7.03,11.58,1.02,0.211,0.0,0.25,0.25,0.0,0.25,True
69,69,69,69,69,69,82,13602,Patrick Wisdom,CHC,30,0.22,0.315,0.443,0.6659999999999999,621550,112,Zach Thompson,0.0,PNC Park,10.0,605507,5.08,9.66,6.18,1.47,0.269,0.0,0.0,0.2,0.0,0.0,False
70,70,70,70,70,70,83,18373,Ryan Mountcastle,BAL,25,0.258,0.3,0.441,0.722,663624,110,Corbin Burnes,1.0,Oriole Park at Camden Yards,30.0,669203,2.45,5.89,11.58,0.93,0.183,0.2,0.0,0.5,0.5,0.25,True
71,71,71,71,71,71,84,18564,Trent Grisham,SDP,25,0.192,0.29,0.355,0.772,663757,135,Logan Webb,0.0,Oracle Park,9.0,657277,3.17,7.99,7.29,1.15,0.237,0.0,0.25,0.2,0.0,0.25,False
72,72,72,72,72,72,85,6184,J.D. Martinez,BOS,34,0.281,0.345,0.447,0.716,502110,111,Eduardo Rodriguez,0.0,Comerica Park,25.0,593958,4.38,8.08,7.85,1.33,0.233,0.333,0.25,0.25,0.25,0.2,True
