,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Shohei Ohtani,1.0,Yankee Stadium,6.0,660271,2.68,7.22,12.73,1.05,0.214,0.0,0.5,0.25,0.0,0.333,True
1,1,1,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Keegan Thompson,0.0,Wrigley Field,24.0,624522,3.36,8.36,7.82,1.24,0.247,0.75,0.5,0.0,0.0,0.0,True
2,2,2,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Keegan Thompson,0.0,Wrigley Field,24.0,624522,3.36,8.36,7.82,1.24,0.247,0.5,0.333,0.333,0.25,0.75,True
3,3,3,3,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Taijuan Walker,1.0,Dodger Stadium,17.0,592836,3.45,8.28,6.9,1.19,0.242,0.0,0.25,0.25,0.25,0.0,False
4,4,4,4,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Austin Gomber,0.0,Coors Field,1.0,596295,5.64,9.99,6.93,1.41,0.283,0.25,0.2,0.25,0.25,0.5,True
5,5,5,5,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Adrian Houser,0.0,American Family Field,18.0,605288,4.72,9.67,6.72,1.48,0.271,0.25,0.0,0.2,0.0,0.0,True
6,6,6,7,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Austin Gomber,0.0,Coors Field,1.0,596295,5.64,9.99,6.93,1.41,0.283,0.4,0.5,0.25,0.5,0.25,True
7,7,7,8,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Taijuan Walker,1.0,Dodger Stadium,17.0,592836,3.45,8.28,6.9,1.19,0.242,0.6,0.0,0.75,0.0,0.5,True
8,8,8,9,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Taijuan Walker,1.0,Dodger Stadium,17.0,592836,3.45,8.28,6.9,1.19,0.242,0.25,0.5,0.2,0.25,0.25,True
9,9,9,10,9874,DJ LeMahieu,NYY,33,0.286,0.388,0.429,0.8809999999999999,518934,147,Shohei Ohtani,1.0,Yankee Stadium,6.0,660271,2.68,7.22,12.73,1.05,0.214,0.5,0.25,0.25,0.0,0.0,True
