,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,9777,Nolan Arenado,STL,31,0.303,0.37,0.57,0.812,571448,138,Paolo Espino,0,Nationals Park,29,502179,4.04,9.87,6.90,1.27,.276,0.0,0.0,0.6,0.4,0.0,True
1,9218,Paul Goldschmidt,STL,34,0.331,0.414,0.619,0.768,502671,138,Paolo Espino,0,Nationals Park,29,502179,4.04,9.87,6.90,1.27,.276,0.25,0.5,0.5,0.4,0.4,True
2,5361,Freddie Freeman,LAD,32,0.324,0.4,0.523,0.8270000000000001,518692,119,Kyle Freeland,0,Coors Field,1,607536,4.84,9.89,6.50,1.41,.280,0.0,0.333,0.5,0.333,0.0,True
3,13510,Jose Ramirez,CLE,29,0.285,0.355,0.551,0.879,608070,114,Corey Kluber,0,Tropicana Field,21,446372,4.40,9.41,7.95,1.19,.268,0.5,0.25,0.0,0.333,0.5,True
4,11493,Manny Machado,SDP,29,0.296,0.365,0.519,0.7759999999999999,592518,135,Sonny Gray,1,Petco Park,31,543243,3.33,7.64,8.50,1.16,.228,0.25,0.0,0.4,0.0,0.6,True
5,12916,Francisco Lindor,NYM,28,0.27,0.348,0.462,0.7909999999999999,596019,121,Nick Neidert,0,loanDepot park,20,663734,3.60,9.00,5.40,1.00,.250,0.5,0.333,0.5,0.4,0.25,True
6,19556,Yordan Alvarez,HOU,25,0.296,0.401,0.63,0.799,670541,117,Chris Flexen,1,Minute Maid Park,32,623167,3.86,8.92,6.28,1.39,.255,1.0,0.333,0.5,0.667,0.0,False
7,18314,Dansby Swanson,ATL,28,0.292,0.345,0.46,0.7070000000000001,621020,144,Corbin Martin,1,Truist Park,12,656686,4.84,10.07,8.46,1.66,.291,0.5,0.5,0.6,0.0,0.2,True
8,18360,Austin Riley,ATL,25,0.297,0.357,0.589,0.741,663586,144,Corbin Martin,1,Truist Park,12,656686,4.84,10.07,8.46,1.66,.291,0.75,0.0,0.667,0.5,0.333,True
9,13611,Mookie Betts,LAD,29,0.272,0.344,0.53,0.8640000000000001,605141,119,Kyle Freeland,0,Coors Field,1,607536,4.84,9.89,6.50,1.41,.280,0.333,0.333,0.667,0.2,0.0,False
