,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,15640,Aaron Judge,NYY,30,0.305,0.4,0.688,0.736,592450,147,Marco Gonzales,1.0,Yankee Stadium,6.0,594835,4.18,9.88,5.15,1.41,.280,0.0,0.667,0.6,0.333,0.0,True
1,5361,Freddie Freeman,LAD,32,0.324,0.4,0.523,0.8270000000000001,518692,119,Logan Webb,0.0,Oracle Park,9.0,657277,3.00,7.86,7.44,1.13,.234,0.6,0.5,0.0,0.333,0.5,True
2,13510,Jose Ramirez,CLE,29,0.285,0.355,0.551,0.879,608070,114,Zach Davies,1.0,Progressive Field,7.0,605200,4.11,7.73,6.65,1.21,.229,0.2,0.4,0.5,0.25,0.0,False
3,11493,Manny Machado,SDP,29,0.296,0.365,0.519,0.7759999999999999,592518,135,Antonio Senzatela,1.0,Petco Park,31.0,622608,4.67,12.61,5.16,1.65,.343,0.0,0.2,0.25,0.0,0.4,True
4,12916,Francisco Lindor,NYM,28,0.27,0.348,0.462,0.7909999999999999,596019,121,Patrick Corbin,0.0,Nationals Park,29.0,571578,7.02,13.13,8.32,1.82,.331,0.6,0.75,0.5,0.333,0.5,True
5,19556,Yordan Alvarez,HOU,25,0.296,0.401,0.63,0.799,670541,117,Nathan Eovaldi,1.0,Minute Maid Park,32.0,543135,4.15,9.75,8.67,1.26,.270,0.2,0.0,1.0,0.333,0.5,False
6,13611,Mookie Betts,LAD,29,0.272,0.344,0.53,0.8640000000000001,605141,119,Logan Webb,0.0,Oracle Park,9.0,657277,3.00,7.86,7.44,1.13,.234,0.2,0.0,0.333,0.333,0.667,True
8,16252,Trea Turner,LAD,29,0.309,0.348,0.503,0.758,607208,119,Logan Webb,0.0,Oracle Park,9.0,657277,3.00,7.86,7.44,1.13,.234,0.2,0.25,0.2,0.75,0.25,True
9,12161,Xander Bogaerts,BOS,29,0.307,0.378,0.448,0.763,593428,111,Luis Garcia,0.0,Minute Maid Park,32.0,472610,3.43,8.79,9.64,1.26,.252,0.4,0.333,0.0,0.5,0.333,False
10,19950,Andres Gimenez,CLE,23,0.303,0.368,0.479,0.746,665926,114,Zach Davies,1.0,Progressive Field,7.0,605200,4.11,7.73,6.65,1.21,.229,0.0,0.5,0.25,0.0,0.0,True
11,9874,DJ LeMahieu,NYY,33,0.282,0.385,0.422,0.882,518934,147,Marco Gonzales,1.0,Yankee Stadium,6.0,594835,4.18,9.88,5.15,1.41,.280,0.4,0.6,0.0,0.5,0.0,True
12,13624,Corey Seager,TEX,28,0.252,0.33,0.47,0.753,608369,140,Spenser Watkins,1.0,Globe Life Field,14.0,657093,4.23,9.58,5.72,1.37,.268,1.0,0.0,0.0,0.0,0.333,True
13,5417,Jose Altuve,HOU,32,0.28,0.367,0.503,0.852,514888,117,Nathan Eovaldi,1.0,Minute Maid Park,32.0,543135,4.15,9.75,8.67,1.26,.270,0.667,0.25,0.0,0.25,0.0,True
15,19197,Will Smith,LAD,27,0.274,0.361,0.474,0.831,669257,119,Logan Webb,0.0,Oracle Park,9.0,657277,3.00,7.86,7.44,1.13,.234,0.2,0.25,0.667,0.4,0.0,True
16,15362,Jeff McNeil,NYM,30,0.306,0.36,0.446,0.853,643446,121,Patrick Corbin,0.0,Nationals Park,29.0,571578,7.02,13.13,8.32,1.82,.331,0.6,0.5,0.2,0.0,0.25,True
17,12927,Brandon Nimmo,NYM,29,0.267,0.352,0.417,0.828,607043,121,Patrick Corbin,0.0,Nationals Park,29.0,571578,7.02,13.13,8.32,1.82,.331,0.167,0.2,0.4,0.2,0.0,True
18,15676,Jose Abreu,CHW,35,0.296,0.373,0.46,0.79,547989,145,Daniel Lynch,1.0,Guaranteed Rate Field,23.0,663738,4.52,9.75,9.14,1.51,.271,0.5,0.333,0.25,0.25,0.0,False
19,18036,Jake Cronenworth,SDP,28,0.239,0.341,0.387,0.847,630105,135,Antonio Senzatela,1.0,Petco Park,31.0,622608,4.67,12.61,5.16,1.65,.343,0.5,0.25,0.25,0.0,0.0,False
