,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,5361,Freddie Freeman,LAD,32,0.324,0.4,0.523,0.8270000000000001,518692,119,Paolo Espino,1.0,Dodger Stadium,17.0,502179,4.04,9.87,6.90,1.27,.276,0.4,0.333,0.5,0.5,0.5,False
1,13510,Jose Ramirez,CLE,29,0.285,0.355,0.551,0.879,608070,114,Nick Pivetta,0.0,Fenway Park,3.0,601713,4.51,8.68,8.61,1.33,.252,0.0,0.5,0.2,0.5,0.333,True
2,11493,Manny Machado,SDP,29,0.296,0.365,0.519,0.7759999999999999,592518,135,Drew Hutchison,0.0,Comerica Park,25.0,571800,4.45,9.05,5.64,1.47,.263,0.6,0.25,0.0,0.0,0.333,False
3,18314,Dansby Swanson,ATL,28,0.292,0.345,0.46,0.7070000000000001,621020,144,Ranger Suarez,0.0,Citizens Bank Park,16.0,624133,3.52,8.64,7.46,1.32,.251,0.2,0.5,0.0,0.667,0.2,False
4,18360,Austin Riley,ATL,25,0.297,0.357,0.589,0.741,663586,144,Ranger Suarez,0.0,Citizens Bank Park,16.0,624133,3.52,8.64,7.46,1.32,.251,0.333,0.75,0.5,0.333,0.4,True
5,13611,Mookie Betts,LAD,29,0.272,0.344,0.53,0.8640000000000001,605141,119,Paolo Espino,1.0,Dodger Stadium,17.0,502179,4.04,9.87,6.90,1.27,.276,0.25,0.5,0.4,0.25,0.25,False
7,16252,Trea Turner,LAD,29,0.309,0.348,0.503,0.758,607208,119,Paolo Espino,1.0,Dodger Stadium,17.0,502179,4.04,9.87,6.90,1.27,.276,0.2,0.25,0.25,0.4,0.5,True
8,12161,Xander Bogaerts,BOS,29,0.307,0.378,0.448,0.763,593428,111,Zach Plesac,1.0,Fenway Park,3.0,668676,4.32,9.18,7.06,1.32,.257,0.25,0.333,0.0,0.0,0.333,True
9,19950,Andres Gimenez,CLE,23,0.303,0.368,0.479,0.746,665926,114,Nick Pivetta,0.0,Fenway Park,3.0,601713,4.51,8.68,8.61,1.33,.252,0.25,0.5,0.5,0.4,0.0,True
10,13624,Corey Seager,TEX,28,0.252,0.33,0.47,0.753,608369,140,Chris Flexen,0.0,T-Mobile Park,27.0,623167,3.86,8.92,6.28,1.39,.255,0.333,0.333,0.0,0.4,0.5,False
11,11739,J.T. Realmuto,PHI,31,0.263,0.332,0.445,0.779,592663,143,Max Fried,1.0,Citizens Bank Park,16.0,608331,2.60,8.07,8.26,1.08,.237,0.25,0.5,0.333,0.5,0.75,True
12,19197,Will Smith,LAD,27,0.274,0.361,0.474,0.831,669257,119,Paolo Espino,1.0,Dodger Stadium,17.0,502179,4.04,9.87,6.90,1.27,.276,0.333,0.0,0.0,0.0,1.0,False
13,21479,Nico Hoerner,CHC,25,0.299,0.342,0.419,0.858,663538,112,JT Brubaker,1.0,Wrigley Field,24.0,664141,4.45,9.85,9.29,1.50,.271,0.0,0.25,0.167,0.75,0.0,True
