,Unnamed: 0,Unnamed: 0.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Justin Verlander,1,Yankee Stadium,6,434378,1.73,6.09,8.79,0.85,0.188,0.4,0.4,0.0,0.0,0.25,False
1,1,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Kyle Hendricks,1,Busch Stadium,15,543294,4.8,9.07,7.04,1.29,0.26,0.5,0.5,0.5,0.0,0.0,False
2,2,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Kyle Hendricks,1,Busch Stadium,15,543294,4.8,9.07,7.04,1.29,0.26,0.5,0.333,0.0,0.25,0.4,False
3,3,3,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Ian Anderson,0,Truist Park,12,666120,5.11,9.37,7.92,1.54,0.266,0.4,0.5,0.75,0.25,0.6,True
4,4,4,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Nick Pivetta,1,Progressive Field,7,601713,4.51,8.73,8.66,1.33,0.253,0.25,0.25,0.2,0.25,0.25,True
5,5,5,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Julio Urias,1,Truist Park,12,628711,2.49,6.97,8.58,0.97,0.21,0.75,0.25,0.4,0.25,0.5,True
6,6,6,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Luis Severino,0,Yankee Stadium,6,622663,3.45,7.01,9.94,1.07,0.211,0.4,0.5,0.333,0.0,0.5,True
7,7,8,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Sandy Alcantara,0,loanDepot park,20,645261,1.88,6.14,8.01,0.93,0.195,0.5,0.0,0.2,0.25,0.25,True
8,8,9,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Julio Urias,1,Truist Park,12,628711,2.49,6.97,8.58,0.97,0.21,0.0,0.25,0.25,0.5,0.0,False
9,9,11,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Cal Quantrill,0,Progressive Field,7,615698,3.88,9.0,5.78,1.28,0.265,0.25,0.333,0.5,0.0,0.667,True
10,10,12,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Ian Anderson,0,Truist Park,12,666120,5.11,9.37,7.92,1.54,0.266,0.6,0.0,0.8,0.25,0.2,True
11,11,14,9874,DJ LeMahieu,NYY,33,0.286,0.388,0.429,0.8809999999999999,518934,147,Justin Verlander,1,Yankee Stadium,6,434378,1.73,6.09,8.79,0.85,0.188,0.0,0.333,0.667,0.0,0.2,True
12,12,15,19470,Tommy Edman,STL,27,0.258,0.322,0.367,0.821,669242,138,Kyle Hendricks,1,Busch Stadium,15,543294,4.8,9.07,7.04,1.29,0.26,0.0,0.25,0.2,0.0,0.333,True
13,13,16,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Luis Severino,0,Yankee Stadium,6,622663,3.45,7.01,9.94,1.07,0.211,0.75,0.0,0.25,0.25,0.5,False
14,14,17,19950,Andres Gimenez,CLE,23,0.302,0.365,0.484,0.743,665926,114,Nick Pivetta,1,Progressive Field,7,601713,4.51,8.73,8.66,1.33,0.253,0.333,0.25,0.4,0.25,0.0,True
15,15,18,13624,Corey Seager,TEX,28,0.25,0.329,0.475,0.7559999999999999,608369,140,Paolo Espino,1,Globe Life Field,14,502179,4.04,9.87,6.9,1.27,0.276,0.5,0.25,0.5,0.25,0.667,False
16,16,19,12927,Brandon Nimmo,NYM,29,0.271,0.355,0.425,0.83,607043,121,Sandy Alcantara,0,loanDepot park,20,645261,1.88,6.14,8.01,0.93,0.195,0.333,0.2,0.6,0.0,0.0,True
17,17,20,14161,Byron Buxton,MIN,28,0.222,0.301,0.549,0.6890000000000001,621439,142,German Marquez,1,Target Field,26,608566,5.18,9.54,7.25,1.41,0.27,0.0,0.333,0.4,0.0,0.0,False
18,18,21,19197,Will Smith,LAD,27,0.275,0.361,0.477,0.8290000000000001,669257,119,Ian Anderson,0,Truist Park,12,666120,5.11,9.37,7.92,1.54,0.266,0.2,0.6,0.5,0.667,0.2,True
19,19,23,15676,Jose Abreu,CHW,35,0.297,0.375,0.464,0.794,547989,145,Austin Voth,1,Guaranteed Rate Field,23,608723,3.19,8.84,8.84,1.28,0.25,0.5,0.333,0.333,0.0,0.0,False
20,20,24,19352,Sean Murphy,OAK,27,0.245,0.32,0.43,0.775,669221,133,Zack Greinke,0,Kauffman Stadium,5,425844,4.58,10.04,5.07,1.33,0.28,0.0,0.5,0.0,0.75,0.0,True
21,21,25,18036,Jake Cronenworth,SDP,28,0.237,0.34,0.388,0.846,630105,135,Aaron Nola,1,Petco Park,31,605400,3.17,7.28,9.77,0.95,0.219,0.0,0.0,0.333,0.4,0.5,False
22,22,26,19251,Pete Alonso,NYM,27,0.278,0.357,0.541,0.777,624413,121,Sandy Alcantara,0,loanDepot park,20,645261,1.88,6.14,8.01,0.93,0.195,0.0,1.0,0.0,0.333,0.0,False
23,23,27,22581,Alejandro Kirk,TOR,23,0.305,0.388,0.461,0.86,672386,141,Adrian Houser,0,American Family Field,18,605288,4.72,9.67,6.72,1.48,0.271,0.4,0.2,0.0,0.0,0.333,True
24,24,28,19611,Vladimir Guerrero Jr.,TOR,23,0.287,0.359,0.504,0.7829999999999999,665489,141,Adrian Houser,0,American Family Field,18,605288,4.72,9.67,6.72,1.48,0.271,0.2,0.25,0.0,0.667,0.0,True
25,25,29,19955,Gavin Lux,LAD,24,0.297,0.37,0.425,0.8190000000000001,666158,119,Ian Anderson,0,Truist Park,12,666120,5.11,9.37,7.92,1.54,0.266,0.0,0.25,0.667,0.25,0.333,True
