,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Johnny Cueto,1,Yankee Stadium,6,456501,2.91,8.62,6.0,1.19,0.256,0.333,0.333,0.0,0.8,0.0,True
1,1,1,1,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Bryse Wilson,0,PNC Park,10,669060,5.86,11.18,6.41,1.52,0.305,0.0,0.0,0.0,0.5,0.0,True
2,2,2,2,3,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Zach Eflin,0,Citizens Bank Park,16,621107,4.37,8.74,7.41,1.19,0.251,0.0,0.6,0.25,0.75,0.25,False
3,3,3,3,4,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Alex Faedo,1,Progressive Field,7,656412,5.53,10.57,7.38,1.64,0.293,0.5,0.25,0.0,0.25,0.0,False
4,4,4,4,5,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Sandy Alcantara,0,loanDepot park,20,645261,1.88,6.14,8.01,0.93,0.195,0.25,0.25,0.25,0.333,0.0,True
5,5,5,5,6,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Taylor Hearn,1,Minute Maid Park,32,621368,5.21,10.17,8.48,1.59,0.28,0.5,0.0,0.0,0.5,0.0,True
6,6,6,6,7,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Alex Wood,0,Oracle Park,9,622072,4.17,8.73,8.81,1.2,0.254,0.2,0.6,0.4,0.25,0.25,True
7,7,7,7,8,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Austin Gomber,0,Coors Field,1,596295,5.64,9.99,6.93,1.41,0.283,0.0,0.2,0.667,0.5,0.0,True
8,8,8,8,9,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Sandy Alcantara,0,loanDepot park,20,645261,1.88,6.14,8.01,0.93,0.195,0.0,0.0,0.4,0.0,0.25,False
9,9,9,9,10,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Zach Eflin,0,Citizens Bank Park,16,621107,4.37,8.74,7.41,1.19,0.251,0.75,0.2,0.25,0.0,0.75,True
10,10,10,10,11,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Logan Gilbert,1,Fenway Park,3,669302,3.47,8.57,8.3,1.23,0.248,0.75,0.0,0.2,0.667,0.75,True
11,11,11,11,12,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Zach Eflin,0,Citizens Bank Park,16,621107,4.37,8.74,7.41,1.19,0.251,0.2,0.5,0.25,0.5,0.25,True
12,12,12,12,13,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,Logan Gilbert,1,Fenway Park,3,669302,3.47,8.57,8.3,1.23,0.248,0.5,0.0,0.2,0.25,0.0,False
13,13,13,13,14,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Tony Gonsolin,1,Citizens Bank Park,16,664062,2.3,5.66,8.37,0.89,0.178,0.0,0.25,0.0,0.25,0.0,False
14,14,14,14,15,9874,DJ LeMahieu,NYY,33,0.286,0.388,0.429,0.8809999999999999,518934,147,Johnny Cueto,1,Yankee Stadium,6,456501,2.91,8.62,6.0,1.19,0.256,0.25,0.4,0.25,0.0,0.0,False
15,15,15,15,16,19470,Tommy Edman,STL,27,0.258,0.322,0.367,0.821,669242,138,Bryse Wilson,0,PNC Park,10,669060,5.86,11.18,6.41,1.52,0.305,0.4,0.4,0.25,0.0,0.333,True
16,16,16,16,17,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Taylor Hearn,1,Minute Maid Park,32,621368,5.21,10.17,8.48,1.59,0.28,0.0,0.8,0.25,0.25,0.25,True
17,17,17,17,18,19950,Andres Gimenez,CLE,23,0.302,0.365,0.484,0.743,665926,114,Alex Faedo,1,Progressive Field,7,656412,5.53,10.57,7.38,1.64,0.293,0.0,0.25,0.333,0.25,0.25,False
18,18,18,18,19,13624,Corey Seager,TEX,28,0.25,0.329,0.475,0.7559999999999999,608369,140,Jose Urquidy,0,Minute Maid Park,32,664353,3.85,8.52,7.09,1.16,0.245,0.5,0.25,0.25,0.333,0.5,False
19,19,19,19,20,12927,Brandon Nimmo,NYM,29,0.271,0.355,0.425,0.83,607043,121,Austin Gomber,0,Coors Field,1,596295,5.64,9.99,6.93,1.41,0.283,0.667,0.25,0.2,0.25,0.0,True
