,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Frankie Montas,1,Progressive Field,7,593423,18.0,15.0,6.0,2.67,0.385,0.75,0.25,0.5,0.0,0.0,True
1,1,1,1,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Zach Thompson,1,Truist Park,12,605507,5.08,9.66,6.18,1.47,0.269,0.75,0.25,0.25,0.5,0.333,True
2,2,2,2,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Braxton Garrett,1,Minute Maid Park,32,666129,4.02,8.76,9.91,1.2,0.25,0.6,0.75,0.333,0.0,0.75,False
3,3,3,3,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Ryan Feltner,1,Petco Park,31,663372,6.02,10.1,7.96,1.42,0.28,0.5,0.5,0.25,0.0,0.0,False
4,4,4,4,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Michael Lorenzen,0,Angel Stadium,4,547179,4.94,8.37,6.97,1.35,0.245,0.25,0.0,0.0,0.2,0.5,True
5,5,5,5,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Zach Thompson,1,Truist Park,12,605507,5.08,9.66,6.18,1.47,0.269,0.0,0.25,0.5,0.0,0.2,True
6,6,6,6,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Madison Bumgarner,1,Citizens Bank Park,16,518516,3.96,9.62,6.21,1.39,0.269,0.0,0.2,0.0,0.0,0.75,False
7,7,7,7,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Braxton Garrett,1,Minute Maid Park,32,666129,4.02,8.76,9.91,1.2,0.25,0.0,0.333,0.25,0.6,0.4,True
8,8,8,8,19950,Andres Gimenez,CLE,23,0.302,0.365,0.484,0.743,665926,114,Frankie Montas,1,Progressive Field,7,593423,18.0,15.0,6.0,2.67,0.385,0.0,0.25,0.5,0.5,0.0,True
9,9,9,9,13624,Corey Seager,TEX,28,0.25,0.329,0.475,0.7559999999999999,608369,140,Lucas Giolito,0,Guaranteed Rate Field,23,608337,4.91,9.99,10.16,1.5,0.283,0.25,0.0,0.0,0.25,0.0,True
10,10,10,10,12927,Brandon Nimmo,NYM,29,0.271,0.355,0.425,0.83,607043,121,Michael Lorenzen,0,Angel Stadium,4,547179,4.94,8.37,6.97,1.35,0.245,0.5,0.0,0.0,0.25,0.0,False
11,11,11,12,15362,Jeff McNeil,NYM,30,0.306,0.362,0.445,0.852,643446,121,Michael Lorenzen,0,Angel Stadium,4,547179,4.94,8.37,6.97,1.35,0.245,0.5,0.5,0.0,0.4,0.2,False
12,12,12,13,15676,Jose Abreu,CHW,35,0.297,0.375,0.464,0.794,547989,145,Martin Perez,1,Guaranteed Rate Field,23,527048,2.85,7.94,7.81,1.18,0.235,0.333,0.0,0.0,0.5,0.5,True
13,13,13,14,19352,Sean Murphy,OAK,27,0.245,0.32,0.43,0.775,669221,133,Zach Plesac,0,Progressive Field,7,668676,4.49,9.39,6.9,1.35,0.262,0.333,0.0,0.5,0.333,0.0,True
14,14,14,15,18036,Jake Cronenworth,SDP,28,0.237,0.34,0.388,0.846,630105,135,Ryan Feltner,1,Petco Park,31,663372,6.02,10.1,7.96,1.42,0.28,0.25,0.75,0.333,0.0,0.5,True
15,15,15,17,11609,Willson Contreras,CHC,30,0.253,0.364,0.463,0.711,575929,112,Jordan Montgomery,0,Yankee Stadium,6,656756,0.0,3.6,1.8,0.6,0.125,0.167,0.333,0.333,0.0,0.4,False
16,16,16,18,21479,Nico Hoerner,CHC,25,0.297,0.34,0.411,0.857,663538,112,Jordan Montgomery,0,Yankee Stadium,6,656756,0.0,3.6,1.8,0.6,0.125,0.0,0.25,0.4,0.667,0.2,True
