,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,15640,Aaron Judge,NYY,30,0.305,0.4,0.688,0.736,592450,147,Logan Gilbert,0.0,T-Mobile Park,27.0,669302,3.47,8.57,8.30,1.23,.248,0.4,0.25,0.5,0.0,0.5,True
1,11493,Manny Machado,SDP,29,0.296,0.365,0.519,0.7759999999999999,592518,135,Alex Wood,1.0,Petco Park,31.0,622072,4.17,8.73,8.81,1.20,.254,0.0,0.25,0.333,0.25,0.75,True
2,12916,Francisco Lindor,NYM,28,0.27,0.348,0.462,0.7909999999999999,596019,121,Justin Dunn,1.0,Citi Field,22.0,643290,5.79,9.64,3.86,1.50,.263,0.5,0.75,0.333,0.4,0.0,False
3,9874,DJ LeMahieu,NYY,33,0.282,0.385,0.422,0.882,518934,147,Logan Gilbert,0.0,T-Mobile Park,27.0,669302,3.47,8.57,8.30,1.23,.248,0.5,0.0,0.0,0.0,0.4,True
4,15362,Jeff McNeil,NYM,30,0.306,0.36,0.446,0.853,643446,121,Justin Dunn,1.0,Citi Field,22.0,643290,5.79,9.64,3.86,1.50,.263,0.25,0.4,0.4,0.25,0.6,True
5,12927,Brandon Nimmo,NYM,29,0.267,0.352,0.417,0.828,607043,121,Justin Dunn,1.0,Citi Field,22.0,643290,5.79,9.64,3.86,1.50,.263,0.6,0.333,0.0,0.4,0.0,False
6,21479,Nico Hoerner,CHC,25,0.299,0.342,0.419,0.858,663538,112,Anibal Sanchez,1.0,Wrigley Field,24.0,434671,7.20,10.20,6.60,1.60,.286,0.0,0.75,0.5,0.0,0.25,True
7,19352,Sean Murphy,OAK,27,0.243,0.321,0.424,0.775,669221,133,Jose Suarez,1.0,Oakland Coliseum,19.0,660761,4.04,8.52,8.81,1.38,.244,0.667,0.5,0.2,0.5,0.667,False
8,18036,Jake Cronenworth,SDP,28,0.239,0.341,0.387,0.847,630105,135,Alex Wood,1.0,Petco Park,31.0,622072,4.17,8.73,8.81,1.20,.254,0.0,0.0,0.0,0.0,0.667,False
9,19251,Pete Alonso,NYM,27,0.281,0.361,0.54,0.778,624413,121,Justin Dunn,1.0,Citi Field,22.0,643290,5.79,9.64,3.86,1.50,.263,0.333,0.25,0.75,0.25,0.5,False
10,22581,Alejandro Kirk,TOR,23,0.302,0.384,0.457,0.856,672386,141,Jordan Lyles,0.0,Oriole Park at Camden Yards,30.0,543475,4.35,10.01,7.25,1.44,.279,0.25,0.0,0.0,0.0,0.0,True
11,19611,Vladimir Guerrero Jr.,TOR,23,0.287,0.358,0.504,0.784,665489,141,Jordan Lyles,0.0,Oriole Park at Camden Yards,30.0,543475,4.35,10.01,7.25,1.44,.279,0.25,0.4,0.5,0.4,0.25,True
12,11609,Willson Contreras,CHC,30,0.25,0.362,0.457,0.711,575929,112,Anibal Sanchez,1.0,Wrigley Field,24.0,434671,7.20,10.20,6.60,1.60,.286,0.0,0.25,0.25,0.4,0.0,True
13,16505,Matt Chapman,TOR,29,0.24,0.32,0.47,0.737,656305,141,Jordan Lyles,0.0,Oriole Park at Camden Yards,30.0,543475,4.35,10.01,7.25,1.44,.279,0.25,0.0,0.25,0.0,0.0,True
14,10815,Jurickson Profar,SDP,29,0.254,0.345,0.416,0.831,595777,135,Alex Wood,1.0,Petco Park,31.0,622072,4.17,8.73,8.81,1.20,.254,0.25,0.25,0.0,0.0,0.0,False
15,19918,Daulton Varsho,ARI,25,0.241,0.315,0.43,0.782,662139,109,Tyler Beede,1.0,Chase Field,13.0,595881,3.49,7.91,6.05,1.32,.230,0.667,0.25,0.5,0.5,0.0,False
16,18577,Ke'Bryan Hayes,PIT,25,0.251,0.323,0.358,0.816,663647,134,Zac Gallen,0.0,Chase Field,13.0,668678,2.94,6.39,8.62,0.99,.197,0.2,0.25,0.333,0.2,0.5,False
17,17919,Ian Happ,CHC,27,0.278,0.356,0.434,0.7490000000000001,664023,112,Anibal Sanchez,1.0,Wrigley Field,24.0,434671,7.20,10.20,6.60,1.60,.286,0.0,0.667,0.333,0.0,0.0,True
18,12552,Eugenio Suarez,SEA,30,0.226,0.33,0.414,0.6759999999999999,553993,136,Jameson Taillon,1.0,T-Mobile Park,27.0,592791,3.95,8.50,7.76,1.14,.246,0.667,0.0,0.0,0.0,0.25,False
19,27506,Ha-seong Kim,SDP,26,0.249,0.325,0.374,0.83,673490,135,Alex Wood,1.0,Petco Park,31.0,622072,4.17,8.73,8.81,1.20,.254,0.333,0.0,0.333,0.0,0.25,True
20,17548,Taylor Ward,LAA,28,0.266,0.356,0.453,0.782,621493,108,Cole Irvin,0.0,Oakland Coliseum,19.0,608344,2.92,7.59,6.13,1.03,.226,0.25,0.2,0.5,0.25,0.2,True
