,Unnamed: 0,Unnamed: 0.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
33,33,39,16472,Rhys Hoskins,PHI,29,0.253,0.344,0.496,0.7609999999999999,656555,143,Yu Darvish,0,Petco Park,31,506433,3.28,7.24,8.84,1.0,0.217,0.0,0.333,0.0,0.25,0.0,True
34,34,40,17919,Ian Happ,CHC,27,0.276,0.356,0.432,0.7490000000000001,664023,112,Jack Flaherty,0,Busch Stadium,15,656427,5.62,9.0,6.75,2.13,0.25,0.0,0.25,0.2,0.5,0.25,False
35,35,41,12552,Eugenio Suarez,SEA,30,0.227,0.329,0.415,0.677,553993,136,Andrew Wantz,0,Angel Stadium,4,681806,2.87,7.76,8.33,1.18,0.233,0.4,0.75,0.0,0.25,0.25,True
36,36,43,18568,Luis Arraez,MIN,25,0.329,0.394,0.436,0.932,650333,142,Ryan Feltner,1,Target Field,26,663372,6.02,10.1,7.96,1.42,0.28,0.4,0.0,0.0,0.0,0.4,True
37,37,44,12856,George Springer,TOR,32,0.251,0.331,0.464,0.733,543807,141,Chi Chi Gonzalez,0,American Family Field,18,592346,6.35,9.53,6.35,1.41,0.273,0.0,0.2,0.25,0.0,0.0,True
38,38,45,27506,Ha-seong Kim,SDP,26,0.248,0.326,0.37,0.83,673490,135,Kyle Gibson,1,Petco Park,31,502043,4.36,8.01,6.85,1.17,0.238,0.0,0.333,0.333,0.2,0.25,False
39,39,46,3473,Anthony Rizzo,NYY,32,0.227,0.347,0.511,0.8,519203,147,Jose Urquidy,1,Yankee Stadium,6,664353,3.85,8.52,7.09,1.16,0.245,0.0,0.0,0.0,0.0,0.0,False
40,40,47,19755,Shohei Ohtani,LAA,27,0.256,0.348,0.501,0.741,660271,108,Marco Gonzales,1,Angel Stadium,4,594835,3.98,9.63,5.21,1.39,0.274,0.25,0.333,0.333,0.75,0.5,False
41,41,48,9241,Starling Marte,NYM,33,0.292,0.344,0.458,0.775,516782,121,Daniel Castano,0,loanDepot park,20,641447,4.04,10.6,5.05,1.43,0.292,0.4,0.0,0.333,0.0,0.25,True
42,42,49,20043,Luis Robert,CHW,24,0.298,0.334,0.453,0.755,673357,145,Jordan Lyles,1,Guaranteed Rate Field,23,543475,4.35,10.01,7.25,1.44,0.279,0.5,0.0,0.333,0.4,0.5,False
43,43,50,16578,Yandy Diaz,TBR,30,0.277,0.392,0.393,0.873,650490,139,Roansy Contreras,1,Tropicana Field,21,672710,3.78,8.46,9.0,1.38,0.244,0.0,0.0,0.0,0.25,0.0,True
44,44,51,15518,Amed Rosario,CLE,26,0.29,0.324,0.417,0.8240000000000001,642708,114,Rich Hill,1,Progressive Field,7,448179,4.75,9.39,6.84,1.35,0.266,0.25,0.4,0.333,0.8,0.2,False
45,45,52,19612,Bo Bichette,TOR,24,0.263,0.304,0.436,0.775,666182,141,Chi Chi Gonzalez,0,American Family Field,18,592346,6.35,9.53,6.35,1.41,0.273,0.25,0.0,0.4,0.2,0.2,False
46,46,53,15112,Ryan McMahon,COL,27,0.242,0.339,0.397,0.752,641857,115,Joe Ryan,0,Target Field,26,657746,3.95,7.71,8.75,1.13,0.226,0.0,0.0,0.4,0.25,0.75,False
47,47,54,13066,Teoscar Hernandez,TOR,29,0.273,0.325,0.494,0.669,606192,141,Chi Chi Gonzalez,0,American Family Field,18,592346,6.35,9.53,6.35,1.41,0.273,0.0,0.25,0.5,0.0,0.5,False
48,48,55,15172,Tim Anderson,CHW,29,0.301,0.339,0.395,0.795,641313,145,Jordan Lyles,1,Guaranteed Rate Field,23,543475,4.35,10.01,7.25,1.44,0.279,0.0,0.2,0.4,0.4,0.5,False
49,49,56,17929,Cedric Mullins II,BAL,27,0.261,0.321,0.39,0.816,656775,110,Dylan Cease,0,Guaranteed Rate Field,23,656302,1.98,6.53,12.18,1.16,0.198,0.4,0.25,0.4,0.0,0.25,True
50,50,57,14344,Matt Olson,ATL,28,0.248,0.338,0.48,0.738,621566,144,Tony Gonsolin,1,Truist Park,12,664062,2.3,5.66,8.37,0.89,0.178,0.0,0.667,0.0,0.25,0.4,True
51,51,58,12546,C.J. Cron,COL,32,0.28,0.33,0.514,0.778,543068,115,Joe Ryan,0,Target Field,26,657746,3.95,7.71,8.75,1.13,0.226,0.25,0.0,0.0,0.0,0.6,True
