,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Alek Manoah,1.0,Yankee Stadium,6.0,666201,2.56,7.16,8.15,1.02,0.217,0.4,0.0,0.4,0.0,0.0,False
1,1,1,1,1,1,3,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Carlos Hernandez,0.0,Kauffman Stadium,5.0,672578,9.09,13.9,4.81,2.14,0.359,0.75,0.25,0.25,0.0,0.0,True
2,2,2,2,2,2,4,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Josh Rogers,1.0,Truist Park,12.0,642028,5.13,8.2,4.1,1.33,0.238,0.333,0.333,0.0,0.0,0.0,False
3,3,3,3,3,3,5,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Alex Wood,0.0,Oracle Park,9.0,622072,4.17,8.73,8.81,1.2,0.254,0.25,0.5,0.2,0.0,0.0,True
4,4,4,4,4,4,6,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Ranger Suarez,0.0,Citizens Bank Park,16.0,624133,3.68,8.97,7.62,1.37,0.258,0.333,0.333,0.0,0.2,0.0,True
5,5,5,5,5,5,7,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Josh Rogers,1.0,Truist Park,12.0,642028,5.13,8.2,4.1,1.33,0.238,0.25,0.5,0.0,0.75,0.0,False
6,6,6,6,6,6,8,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Matt Manning,0.0,Comerica Park,25.0,666159,2.25,6.75,5.4,1.1,0.214,0.25,0.25,0.25,0.0,0.0,True
7,7,7,7,7,7,9,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,Matt Manning,0.0,Comerica Park,25.0,666159,2.25,6.75,5.4,1.1,0.214,0.333,0.0,0.6,0.0,0.0,False
8,8,8,8,8,8,10,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Taijuan Walker,1.0,Citizens Bank Park,16.0,592836,3.45,8.28,6.9,1.19,0.242,0.0,0.0,0.25,0.0,0.0,True
9,9,9,9,9,9,11,9874,DJ LeMahieu,NYY,33,0.286,0.388,0.429,0.8809999999999999,518934,147,Alek Manoah,1.0,Yankee Stadium,6.0,666201,2.56,7.16,8.15,1.02,0.217,0.0,0.0,0.333,0.0,0.0,False
