,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Yusei Kikuchi,1,Yankee Stadium,6,579328,5.13,8.2,10.03,1.49,0.244,0.333,0.0,0.333,0.0,0.4,True
1,1,1,1,1,1,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Bryse Wilson,0,PNC Park,10,669060,5.86,11.18,6.41,1.52,0.305,0.0,0.5,0.75,0.25,0.333,True
2,2,2,2,2,2,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Lucas Giolito,0,Guaranteed Rate Field,23,608337,4.91,9.99,10.16,1.5,0.283,0.0,0.333,0.2,0.333,0.25,True
3,3,3,3,3,3,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Garrett Whitlock,1,Truist Park,12,676477,3.13,7.39,8.81,1.01,0.219,0.667,0.0,0.333,0.667,0.25,False
4,4,4,4,4,4,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Joe Ryan,0,Target Field,26,657746,3.95,7.71,8.75,1.13,0.226,0.0,0.0,0.0,0.5,0.333,False
5,5,5,5,5,5,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Wade Miley,1,Petco Park,31,489119,2.84,7.11,5.68,1.21,0.214,0.25,0.5,0.333,0.667,0.667,True
6,6,6,6,6,6,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Patrick Corbin,0,Nationals Park,29,571578,7.02,13.13,8.32,1.82,0.331,0.25,0.2,0.2,0.0,0.0,True
7,7,7,7,7,7,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Garrett Whitlock,1,Truist Park,12,676477,3.13,7.39,8.81,1.01,0.219,0.2,0.0,0.0,0.2,0.333,False
8,8,8,8,8,8,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Bryse Wilson,0,PNC Park,10,669060,5.86,11.18,6.41,1.52,0.305,0.25,0.4,0.4,0.25,0.667,False
9,9,9,9,9,9,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Kyle Wright,0,Truist Park,12,657140,3.22,7.83,8.67,1.17,0.234,0.75,0.5,0.333,0.25,0.0,True
