,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
67,67,67,67,67,77,5038,Josh Donaldson,NYY,36,0.228,0.31,0.401,0.705,518626,147,Dallas Keuchel,0,Guaranteed Rate Field,23,572971,9.64,13.02,8.68,1.82,0.329,0.4,0.4,0.0,0.333,0.25,True
68,68,68,68,68,78,8709,Elvis Andrus,OAK,33,0.24,0.302,0.371,0.81,462101,133,Jhonathan Diaz,1,Oakland Coliseum,19,646242,2.93,7.63,6.46,1.5,0.236,0.667,0.667,0.333,0.0,0.25,False
69,69,69,69,69,80,5235,Justin Turner,LAD,37,0.26,0.334,0.41,0.8220000000000001,457759,119,Ranger Suarez,1,Dodger Stadium,17,624133,3.68,8.97,7.62,1.37,0.258,0.4,1.0,0.0,0.8,0.0,True
70,70,70,70,70,81,21618,Alec Bohm,PHI,25,0.294,0.33,0.413,0.8009999999999999,664761,143,Julio Urias,0,Dodger Stadium,17,628711,2.49,6.97,8.58,0.97,0.21,0.4,0.25,0.5,0.0,0.4,True
71,71,71,71,71,82,15998,Cody Bellinger,LAD,26,0.212,0.269,0.405,0.759,641355,119,Ranger Suarez,1,Dodger Stadium,17,624133,3.68,8.97,7.62,1.37,0.258,0.0,0.2,0.0,0.2,0.0,True
72,72,72,72,72,84,15279,Garrett Cooper,MIA,31,0.275,0.348,0.424,0.7959999999999999,643265,146,Eric Lauer,1,loanDepot park,20,641778,3.59,7.75,8.87,1.22,0.23,0.333,0.5,0.25,0.25,0.0,False
73,73,73,73,73,85,14854,Mike Yastrzemski,SFG,31,0.22,0.315,0.393,0.797,573262,137,Dakota Hudson,0,Busch Stadium,15,641712,4.2,8.57,4.8,1.39,0.262,0.5,0.0,0.2,0.2,0.5,False
74,74,74,74,74,86,19610,Keibert Ruiz,WSN,23,0.247,0.307,0.359,0.86,660688,120,Cristian Javier,1,Nationals Park,29,664299,3.14,6.19,11.84,1.05,0.191,0.0,0.0,0.5,0.333,0.0,True
75,75,75,75,75,87,19339,Nicky Lopez,KCR,27,0.248,0.305,0.294,0.838,670032,118,German Marquez,0,Coors Field,1,608566,5.18,9.54,7.25,1.41,0.27,0.2,0.0,0.25,0.0,0.333,False
76,76,76,76,76,88,17620,Myles Straw,CLE,27,0.214,0.292,0.272,0.892,664702,114,Devin Smeltzer,0,Target Field,26,656970,4.02,8.47,5.31,1.21,0.25,0.0,0.0,0.0,0.0,0.0,True
