,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Dylan Cease,0.0,Guaranteed Rate Field,23.0,656302,1.98,6.53,12.18,1.16,0.198,0.25,0.4,0.333,0.0,0.333,True
1,1,1,1,1,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Bryan Baker,1.0,Busch Stadium,15.0,641329,4.4,9.0,9.6,1.44,0.257,0.25,0.0,0.0,0.4,0.25,True
2,2,2,2,2,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Bryan Baker,1.0,Busch Stadium,15.0,641329,4.4,9.0,9.6,1.44,0.257,0.667,0.25,0.5,0.4,0.0,True
3,3,3,3,3,3,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Zack Wheeler,1.0,Dodger Stadium,17.0,554430,2.63,7.25,9.73,1.03,0.218,0.333,0.25,0.0,0.5,0.75,True
4,4,4,4,4,4,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Chris Archer,0.0,Target Field,26.0,502042,4.02,7.01,7.58,1.29,0.212,0.4,0.0,0.0,0.0,0.0,True
5,5,5,5,5,5,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Joan Adon,0.0,Nationals Park,29.0,672851,7.1,10.58,7.65,1.78,0.29,0.0,0.4,0.2,0.25,0.2,False
6,6,6,6,6,6,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Zack Wheeler,1.0,Dodger Stadium,17.0,554430,2.63,7.25,9.73,1.03,0.218,0.0,0.25,0.4,0.25,0.4,False
7,7,7,7,7,7,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Zack Wheeler,1.0,Dodger Stadium,17.0,554430,2.63,7.25,9.73,1.03,0.218,0.25,0.5,0.25,0.0,0.0,True
8,8,8,8,8,8,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Tyler Anderson,0.0,Dodger Stadium,17.0,542881,2.72,7.21,7.14,1.0,0.219,0.0,0.4,0.25,0.2,0.0,True
9,9,9,9,9,9,9874,DJ LeMahieu,NYY,33,0.286,0.388,0.429,0.8809999999999999,518934,147,Dylan Cease,0.0,Guaranteed Rate Field,23.0,656302,1.98,6.53,12.18,1.16,0.198,0.5,0.25,0.0,0.0,0.25,True
10,10,10,10,10,10,19470,Tommy Edman,STL,27,0.258,0.322,0.367,0.821,669242,138,Bryan Baker,1.0,Busch Stadium,15.0,641329,4.4,9.0,9.6,1.44,0.257,0.2,0.25,0.0,0.0,0.25,True
11,11,11,11,11,11,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Chris Archer,0.0,Target Field,26.0,502042,4.02,7.01,7.58,1.29,0.212,0.4,0.25,0.333,0.5,0.667,False
12,12,12,12,12,12,12927,Brandon Nimmo,NYM,29,0.271,0.355,0.425,0.83,607043,121,Joan Adon,0.0,Nationals Park,29.0,672851,7.1,10.58,7.65,1.78,0.29,0.6,0.25,0.667,0.333,0.2,True
13,13,13,13,13,13,14161,Byron Buxton,MIN,28,0.222,0.301,0.549,0.6890000000000001,621439,142,Jose Urquidy,1.0,Target Field,26.0,664353,3.85,8.52,7.09,1.16,0.245,0.0,0.0,0.5,0.2,0.4,False
14,14,14,14,14,14,19197,Will Smith,LAD,27,0.275,0.361,0.477,0.8290000000000001,669257,119,Zack Wheeler,1.0,Dodger Stadium,17.0,554430,2.63,7.25,9.73,1.03,0.218,0.25,0.2,0.0,0.5,0.0,True
15,15,15,15,15,15,15362,Jeff McNeil,NYM,30,0.306,0.362,0.445,0.852,643446,121,Joan Adon,0.0,Nationals Park,29.0,672851,7.1,10.58,7.65,1.78,0.29,0.25,0.667,0.0,0.0,0.667,False
16,16,16,16,16,16,15676,Jose Abreu,CHW,35,0.297,0.375,0.464,0.794,547989,145,Luis Gil,1.0,Guaranteed Rate Field,23.0,661563,9.0,11.25,11.25,1.75,0.294,0.0,0.0,0.25,0.4,0.25,False
17,17,17,17,17,17,19251,Pete Alonso,NYM,27,0.278,0.357,0.541,0.777,624413,121,Joan Adon,0.0,Nationals Park,29.0,672851,7.1,10.58,7.65,1.78,0.29,0.5,0.5,0.0,0.6,0.5,False
18,18,18,18,18,18,19955,Gavin Lux,LAD,24,0.297,0.37,0.425,0.8190000000000001,666158,119,Zack Wheeler,1.0,Dodger Stadium,17.0,554430,2.63,7.25,9.73,1.03,0.218,0.25,0.4,0.0,0.667,0.0,False
19,19,19,19,19,19,17678,Alex Bregman,HOU,28,0.251,0.356,0.422,0.86,608324,117,Chris Archer,0.0,Target Field,26.0,502042,4.02,7.01,7.58,1.29,0.212,0.5,0.667,0.333,0.0,0.0,False
20,20,20,20,20,20,18345,Kyle Tucker,HOU,25,0.242,0.332,0.449,0.8059999999999999,663656,117,Chris Archer,0.0,Target Field,26.0,502042,4.02,7.01,7.58,1.29,0.212,0.5,0.5,0.0,0.0,0.25,True
21,21,21,21,21,21,18577,Ke'Bryan Hayes,PIT,25,0.248,0.32,0.358,0.818,663647,134,Connor Overton,1.0,PNC Park,10.0,656818,1.82,5.47,3.65,0.89,0.185,0.0,0.5,0.6,0.25,0.6,True
