,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,0,0,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Huascar Ynoa,1.0,Dodger Stadium,17.0,660623,13.5,14.85,10.8,2.55,0.355,0.8,0.0,0.0,0.4,0.4,True
1,1,1,1,1,1,2,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Clayton Kershaw,0.0,Dodger Stadium,17.0,477132,2.64,7.28,9.28,0.98,0.218,0.0,0.5,0.0,0.0,0.0,False
2,2,2,2,2,2,3,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Michael Lorenzen,1.0,Minute Maid Park,32.0,547179,4.94,8.37,6.97,1.35,0.245,0.0,0.0,0.25,0.333,0.0,True
3,3,3,3,3,3,5,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Clayton Kershaw,0.0,Dodger Stadium,17.0,477132,2.64,7.28,9.28,0.98,0.218,0.0,0.0,0.4,0.0,0.667,True
4,4,4,4,4,4,6,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Huascar Ynoa,1.0,Dodger Stadium,17.0,660623,13.5,14.85,10.8,2.55,0.355,0.0,0.0,0.4,0.4,0.0,False
5,5,5,5,5,5,7,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Dylan Bundy,1.0,Fenway Park,3.0,605164,5.01,9.74,7.14,1.3,0.272,0.5,0.25,0.5,0.2,0.6,True
6,6,6,6,6,6,8,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Huascar Ynoa,1.0,Dodger Stadium,17.0,660623,13.5,14.85,10.8,2.55,0.355,0.0,0.75,0.5,0.4,0.333,True
7,7,7,7,7,7,9,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,Dylan Bundy,1.0,Fenway Park,3.0,605164,5.01,9.74,7.14,1.3,0.272,0.75,0.25,0.0,0.25,0.0,True
8,8,8,8,8,8,10,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Chad Kuhl,0.0,Coors Field,1.0,641771,5.16,9.7,6.64,1.52,0.273,0.25,0.0,1.0,0.25,0.5,True
9,9,9,9,9,9,11,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Michael Lorenzen,1.0,Minute Maid Park,32.0,547179,4.94,8.37,6.97,1.35,0.245,0.333,0.2,0.0,0.4,0.0,True
10,10,10,10,10,10,15,19197,Will Smith,LAD,27,0.275,0.361,0.477,0.8290000000000001,669257,119,Huascar Ynoa,1.0,Dodger Stadium,17.0,660623,13.5,14.85,10.8,2.55,0.355,0.333,0.25,0.5,0.2,0.0,True
11,11,11,11,11,11,18,19352,Sean Murphy,OAK,27,0.245,0.32,0.43,0.775,669221,133,Spenser Watkins,1.0,Oakland Coliseum,19.0,657093,4.02,9.22,5.84,1.33,0.261,0.333,0.5,0.25,0.5,0.667,True
12,12,12,12,12,12,20,11609,Willson Contreras,CHC,30,0.253,0.364,0.463,0.711,575929,112,Shane McClanahan,1.0,Wrigley Field,24.0,663556,2.24,5.89,11.29,0.83,0.184,0.2,0.0,0.6,0.5,0.333,False
13,13,13,13,13,13,21,21479,Nico Hoerner,CHC,25,0.297,0.34,0.411,0.857,663538,112,Shane McClanahan,1.0,Wrigley Field,24.0,663556,2.24,5.89,11.29,0.83,0.184,0.5,0.25,0.0,0.333,0.333,False
14,14,14,14,14,14,22,19955,Gavin Lux,LAD,24,0.297,0.37,0.425,0.8190000000000001,666158,119,Huascar Ynoa,1.0,Dodger Stadium,17.0,660623,13.5,14.85,10.8,2.55,0.355,0.0,0.0,0.667,0.0,0.2,False
15,15,15,15,15,15,23,17678,Alex Bregman,HOU,28,0.251,0.356,0.422,0.86,608324,117,Michael Lorenzen,1.0,Minute Maid Park,32.0,547179,4.94,8.37,6.97,1.35,0.245,0.0,0.0,0.0,0.0,0.25,True
16,16,16,16,16,16,24,18345,Kyle Tucker,HOU,25,0.242,0.332,0.449,0.8059999999999999,663656,117,Michael Lorenzen,1.0,Minute Maid Park,32.0,547179,4.94,8.37,6.97,1.35,0.245,0.0,0.25,0.0,0.0,0.0,False
17,17,17,17,17,17,25,15986,Willy Adames,MIL,26,0.224,0.289,0.463,0.726,642715,158,Zach Thompson,1.0,American Family Field,18.0,605507,5.08,9.66,6.18,1.47,0.269,0.0,0.25,0.0,0.0,0.0,True
18,18,18,18,18,18,27,17548,Taylor Ward,LAA,28,0.274,0.365,0.465,0.7829999999999999,621493,108,Luis Garcia,0.0,Minute Maid Park,32.0,472610,3.51,8.78,9.44,1.27,0.252,0.333,0.667,0.0,0.0,0.0,False
19,19,19,19,19,19,28,18577,Ke'Bryan Hayes,PIT,25,0.248,0.32,0.358,0.818,663647,134,Eric Lauer,0.0,American Family Field,18.0,641778,3.59,7.75,8.87,1.22,0.23,0.5,0.25,0.0,1.0,0.25,True
20,20,20,20,20,20,29,16472,Rhys Hoskins,PHI,29,0.253,0.344,0.496,0.7609999999999999,656555,143,Chad Kuhl,0.0,Coors Field,1.0,641771,5.16,9.7,6.64,1.52,0.273,0.0,0.333,0.667,0.0,0.0,False
21,21,21,21,21,21,30,17919,Ian Happ,CHC,27,0.276,0.356,0.432,0.7490000000000001,664023,112,Shane McClanahan,1.0,Wrigley Field,24.0,663556,2.24,5.89,11.29,0.83,0.184,0.0,0.0,0.25,0.25,0.0,True
