,Unnamed: 0,Unnamed: 0.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Spencer Strider,0.0,Truist Park,12.0,675911,3.11,6.02,13.85,1.05,0.185,0.25,0.667,0.4,0.25,0.5,False
1,1,1,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Spencer Strider,0.0,Truist Park,12.0,675911,3.11,6.02,13.85,1.05,0.185,0.667,0.333,0.25,0.0,0.5,True
2,2,2,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Mark Leiter Jr.,1.0,Dodger Stadium,17.0,643410,4.72,7.17,9.25,1.17,0.216,0.25,0.25,0.0,0.25,0.667,False
3,3,3,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Kris Bubic,1.0,Minute Maid Park,32.0,663460,5.27,9.41,7.51,1.54,0.27,0.25,0.5,0.333,0.25,0.0,True
4,4,4,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Logan Webb,1.0,Petco Park,31.0,657277,3.17,7.99,7.29,1.15,0.237,0.2,0.0,0.0,0.25,0.0,True
5,5,5,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Daniel Castano,1.0,Citi Field,22.0,641447,4.04,10.6,5.05,1.43,0.292,0.0,0.0,0.5,0.0,1.0,True
6,6,6,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Mark Leiter Jr.,1.0,Dodger Stadium,17.0,643410,4.72,7.17,9.25,1.17,0.216,0.0,0.25,0.25,0.667,0.0,True
7,7,7,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Gerrit Cole,1.0,Fenway Park,3.0,543037,3.38,7.03,11.58,1.02,0.211,0.5,0.333,0.25,0.2,0.0,True
8,8,8,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Mark Leiter Jr.,1.0,Dodger Stadium,17.0,643410,4.72,7.17,9.25,1.17,0.216,0.0,0.0,0.25,0.75,0.333,True
9,9,9,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,Gerrit Cole,1.0,Fenway Park,3.0,543037,3.38,7.03,11.58,1.02,0.211,0.0,0.333,0.0,0.0,0.25,False
10,10,10,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Joan Adon,1.0,Citizens Bank Park,16.0,672851,7.1,10.58,7.65,1.78,0.29,0.0,0.5,0.5,0.2,0.5,True
11,11,11,19470,Tommy Edman,STL,27,0.258,0.322,0.367,0.821,669242,138,Spencer Strider,0.0,Truist Park,12.0,675911,3.11,6.02,13.85,1.05,0.185,0.25,0.0,0.0,0.25,0.4,False
12,12,12,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Kris Bubic,1.0,Minute Maid Park,32.0,663460,5.27,9.41,7.51,1.54,0.27,0.25,0.2,0.6,0.75,0.333,True
13,13,13,12927,Brandon Nimmo,NYM,29,0.271,0.355,0.425,0.83,607043,121,Daniel Castano,1.0,Citi Field,22.0,641447,4.04,10.6,5.05,1.43,0.292,0.6,0.25,0.5,0.0,0.2,True
14,14,15,15362,Jeff McNeil,NYM,30,0.306,0.362,0.445,0.852,643446,121,Daniel Castano,1.0,Citi Field,22.0,641447,4.04,10.6,5.05,1.43,0.292,0.2,0.333,0.4,0.25,0.0,True
15,15,16,18036,Jake Cronenworth,SDP,28,0.237,0.34,0.388,0.846,630105,135,Logan Webb,1.0,Petco Park,31.0,657277,3.17,7.99,7.29,1.15,0.237,0.0,0.5,0.333,0.0,0.0,False
16,16,17,19251,Pete Alonso,NYM,27,0.278,0.357,0.541,0.777,624413,121,Daniel Castano,1.0,Citi Field,22.0,641447,4.04,10.6,5.05,1.43,0.292,0.8,0.0,0.25,0.0,0.0,False
17,17,18,22581,Alejandro Kirk,TOR,23,0.305,0.388,0.461,0.86,672386,141,Marco Gonzales,0.0,T-Mobile Park,27.0,594835,3.98,9.63,5.21,1.39,0.274,0.5,0.25,0.25,0.0,0.333,False
18,18,20,21479,Nico Hoerner,CHC,25,0.297,0.34,0.411,0.857,663538,112,Tony Gonsolin,0.0,Dodger Stadium,17.0,664062,2.3,5.66,8.37,0.89,0.178,0.0,0.2,0.333,0.2,0.5,True
19,19,21,19611,Vladimir Guerrero Jr.,TOR,23,0.287,0.359,0.504,0.7829999999999999,665489,141,Marco Gonzales,0.0,T-Mobile Park,27.0,594835,3.98,9.63,5.21,1.39,0.274,0.25,0.0,0.25,0.6,0.25,True
20,20,22,19955,Gavin Lux,LAD,24,0.297,0.37,0.425,0.8190000000000001,666158,119,Mark Leiter Jr.,1.0,Dodger Stadium,17.0,643410,4.72,7.17,9.25,1.17,0.216,0.667,0.5,0.5,0.0,0.25,True
21,21,23,17678,Alex Bregman,HOU,28,0.251,0.356,0.422,0.86,608324,117,Kris Bubic,1.0,Minute Maid Park,32.0,663460,5.27,9.41,7.51,1.54,0.27,0.0,0.6,0.0,0.2,0.0,False
22,22,24,16505,Matt Chapman,TOR,29,0.242,0.322,0.474,0.735,656305,141,Marco Gonzales,0.0,T-Mobile Park,27.0,594835,3.98,9.63,5.21,1.39,0.274,0.667,0.75,0.0,0.0,0.0,False
23,23,26,10815,Jurickson Profar,SDP,29,0.252,0.344,0.416,0.831,595777,135,Logan Webb,1.0,Petco Park,31.0,657277,3.17,7.99,7.29,1.15,0.237,0.25,0.0,0.25,0.0,0.5,False
