,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,15640,Aaron Judge,NYY,30,0.305,0.4,0.688,0.736,592450,147,Jordan Lyles,0,Oriole Park at Camden Yards,30,543475,4.35,10.01,7.25,1.44,.279,0.5,0.0,0.25,0.667,1.0,True
1,9777,Nolan Arenado,STL,31,0.303,0.37,0.57,0.812,571448,138,Mike Minor,0,Great American Ball Park,8,501985,6.24,10.02,7.84,1.56,.276,0.4,0.0,0.5,0.333,0.333,True
2,9218,Paul Goldschmidt,STL,34,0.331,0.414,0.619,0.768,502671,138,Mike Minor,0,Great American Ball Park,8,501985,6.24,10.02,7.84,1.56,.276,0.4,0.4,0.0,0.25,0.25,True
3,5361,Freddie Freeman,LAD,32,0.324,0.4,0.523,0.8270000000000001,518692,119,Alex Wood,1,Dodger Stadium,17,622072,4.17,8.73,8.81,1.20,.254,0.5,0.5,0.5,0.25,0.667,True
4,13510,Jose Ramirez,CLE,29,0.285,0.355,0.551,0.879,608070,114,Johnny Cueto,0,Guaranteed Rate Field,23,456501,2.91,9.00,6.00,1.23,.266,0.2,0.5,0.333,0.25,0.0,True
5,11493,Manny Machado,SDP,29,0.296,0.365,0.519,0.7759999999999999,592518,135,Chris Bassitt,0,Citi Field,22,605135,3.39,7.75,8.93,1.12,.230,0.0,0.0,0.333,0.25,0.5,True
6,12916,Francisco Lindor,NYM,28,0.27,0.348,0.462,0.7909999999999999,596019,121,Blake Snell,1,Citi Field,22,605483,3.96,7.56,11.77,1.33,.226,0.0,0.5,0.333,0.25,0.25,True
7,19556,Yordan Alvarez,HOU,25,0.296,0.401,0.63,0.799,670541,117,Logan Gilbert,0,T-Mobile Park,27,669302,3.47,8.57,8.30,1.23,.248,0.5,0.5,0.0,0.25,0.25,False
8,18314,Dansby Swanson,ATL,28,0.292,0.345,0.46,0.7070000000000001,621020,144,Patrick Sandoval,1,Truist Park,12,663776,3.42,9.00,9.54,1.49,.260,0.0,0.667,0.2,0.25,0.25,True
9,18360,Austin Riley,ATL,25,0.297,0.357,0.589,0.741,663586,144,Patrick Sandoval,1,Truist Park,12,663776,3.42,9.00,9.54,1.49,.260,0.5,0.333,0.4,0.2,0.25,True
10,13611,Mookie Betts,LAD,29,0.272,0.344,0.53,0.8640000000000001,605141,119,Alex Wood,1,Dodger Stadium,17,622072,4.17,8.73,8.81,1.20,.254,0.4,0.25,0.25,0.0,0.25,True
12,16252,Trea Turner,LAD,29,0.309,0.348,0.503,0.758,607208,119,Alex Wood,1,Dodger Stadium,17,622072,4.17,8.73,8.81,1.20,.254,0.25,0.4,0.5,0.25,0.25,True
13,12161,Xander Bogaerts,BOS,29,0.307,0.378,0.448,0.763,593428,111,Alek Manoah,1,Fenway Park,3,666201,2.56,7.16,8.15,1.02,.217,0.0,0.0,0.333,0.4,0.5,True
14,19950,Andres Gimenez,CLE,23,0.303,0.368,0.479,0.746,665926,114,Johnny Cueto,0,Guaranteed Rate Field,23,456501,2.91,9.00,6.00,1.23,.266,0.4,0.0,0.667,0.667,0.0,True
15,9874,DJ LeMahieu,NYY,33,0.282,0.385,0.422,0.882,518934,147,Jordan Lyles,0,Oriole Park at Camden Yards,30,543475,4.35,10.01,7.25,1.44,.279,0.333,1.0,0.333,0.75,0.333,True
16,13624,Corey Seager,TEX,28,0.252,0.33,0.47,0.753,608369,140,James Kaprielian,0,Oakland Coliseum,19,621076,4.38,7.97,6.28,1.32,.235,0.0,0.4,0.5,0.25,0.333,True
17,5417,Jose Altuve,HOU,32,0.28,0.367,0.503,0.852,514888,117,Logan Gilbert,0,T-Mobile Park,27,669302,3.47,8.57,8.30,1.23,.248,0.6,0.0,0.25,0.2,0.25,True
18,19470,Tommy Edman,STL,27,0.255,0.317,0.362,0.82,669242,138,Mike Minor,0,Great American Ball Park,8,501985,6.24,10.02,7.84,1.56,.276,0.25,0.4,0.4,0.0,0.4,True
20,11739,J.T. Realmuto,PHI,31,0.263,0.332,0.445,0.779,592663,143,Marcus Stroman,1,Citizens Bank Park,16,573186,4.20,8.17,8.39,1.16,.239,0.5,0.333,0.5,0.75,0.5,True
21,19197,Will Smith,LAD,27,0.274,0.361,0.474,0.831,669257,119,Alex Wood,1,Dodger Stadium,17,622072,4.17,8.73,8.81,1.20,.254,0.0,0.0,0.0,1.0,0.667,True
23,12927,Brandon Nimmo,NYM,29,0.267,0.352,0.417,0.828,607043,121,Blake Snell,1,Citi Field,22,605483,3.96,7.56,11.77,1.33,.226,0.0,0.333,0.2,0.0,0.75,True
24,15676,Jose Abreu,CHW,35,0.296,0.373,0.46,0.79,547989,145,Triston McKenzie,1,Guaranteed Rate Field,23,663474,3.14,6.35,8.29,0.97,.198,0.333,0.4,0.5,0.333,0.5,True
