,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,15640,Aaron Judge,NYY,30,0.305,0.4,0.688,0.736,592450,147,Cristian Javier,0.0,Minute Maid Park,32.0,664299,3.14,6.19,11.84,1.05,.191,0.667,1.0,0.0,0.25,0.0,True
1,5361,Freddie Freeman,LAD,32,0.324,0.4,0.523,0.8270000000000001,518692,119,Carlos Rodon,1.0,Dodger Stadium,17.0,607074,2.95,6.97,11.26,1.06,.211,0.5,0.25,0.667,1.0,0.8,True
2,19556,Yordan Alvarez,HOU,25,0.296,0.401,0.63,0.799,670541,117,Jordan Montgomery,1.0,Minute Maid Park,32.0,656756,0.00,4.91,7.36,0.82,.158,0.0,0.25,0.25,0.25,0.5,True
3,13611,Mookie Betts,LAD,29,0.272,0.344,0.53,0.8640000000000001,605141,119,Carlos Rodon,1.0,Dodger Stadium,17.0,607074,2.95,6.97,11.26,1.06,.211,0.25,0.0,0.25,0.167,0.25,True
4,16252,Trea Turner,LAD,29,0.309,0.348,0.503,0.758,607208,119,Carlos Rodon,1.0,Dodger Stadium,17.0,607074,2.95,6.97,11.26,1.06,.211,0.5,0.25,0.25,0.4,0.5,True
5,9874,DJ LeMahieu,NYY,33,0.282,0.385,0.422,0.882,518934,147,Cristian Javier,0.0,Minute Maid Park,32.0,664299,3.14,6.19,11.84,1.05,.191,0.75,0.333,0.6,0.0,0.4,True
8,19197,Will Smith,LAD,27,0.274,0.361,0.474,0.831,669257,119,Carlos Rodon,1.0,Dodger Stadium,17.0,607074,2.95,6.97,11.26,1.06,.211,0.0,1.0,0.667,0.25,0.5,False
9,19352,Sean Murphy,OAK,27,0.243,0.321,0.424,0.775,669221,133,Tarik Skubal,1.0,Oakland Coliseum,19.0,669373,3.52,7.95,8.95,1.16,.237,0.25,0.5,0.25,0.0,0.8,True
10,18345,Kyle Tucker,HOU,25,0.249,0.336,0.466,0.8079999999999999,663656,117,Jordan Montgomery,1.0,Minute Maid Park,32.0,656756,0.00,4.91,7.36,0.82,.158,0.5,0.0,0.0,0.25,0.0,True
11,17678,Alex Bregman,HOU,28,0.255,0.364,0.43,0.861,608324,117,Jordan Montgomery,1.0,Minute Maid Park,32.0,656756,0.00,4.91,7.36,0.82,.158,0.0,0.0,0.25,0.25,0.25,True
12,19955,Gavin Lux,LAD,24,0.296,0.372,0.423,0.818,666158,119,Carlos Rodon,1.0,Dodger Stadium,17.0,607074,2.95,6.97,11.26,1.06,.211,0.0,0.0,0.333,0.0,0.0,True
13,19287,Adolis Garcia,TEX,29,0.255,0.304,0.458,0.68,666969,140,Pablo Lopez,0.0,loanDepot park,20.0,641154,3.55,7.72,8.98,1.14,.230,0.25,0.333,0.0,0.25,0.0,True
