,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Wade Miley,1,Yankee Stadium,6,489119,2.84,7.11,5.68,1.21,0.214,0.25,0.0,0.4,0.2,0.333,True
1,1,1,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Luis Castillo,1,Busch Stadium,15,622491,1.84,4.91,9.2,0.89,0.163,0.333,0.0,0.2,0.333,0.0,True
2,2,2,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Luis Castillo,1,Busch Stadium,15,622491,1.84,4.91,9.2,0.89,0.163,0.0,0.333,0.25,0.4,0.0,False
3,3,3,3,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Jakob Junis,0,Oracle Park,9,596001,3.05,7.84,7.69,1.1,0.23,0.6,0.0,0.0,0.4,0.4,True
4,4,4,4,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Paul Blackburn,1,Progressive Field,7,621112,4.28,8.89,7.19,1.26,0.255,0.25,0.5,0.0,0.0,0.0,True
5,5,5,5,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Roansy Contreras,1,Truist Park,12,672710,3.78,8.46,9.0,1.38,0.244,0.25,0.25,0.5,0.333,0.0,True
6,6,6,6,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Pablo Lopez,1,Minute Maid Park,32,641154,3.57,7.79,9.1,1.16,0.232,0.75,0.333,0.0,0.75,0.5,True
7,7,7,7,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Chad Kuhl,1,Petco Park,31,641771,5.16,9.7,6.64,1.52,0.273,0.5,0.25,0.0,0.0,0.25,True
8,8,8,8,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Jhonathan Diaz,0,Angel Stadium,4,646242,2.93,7.63,6.46,1.5,0.236,0.0,0.0,0.2,0.5,0.2,True
9,9,9,9,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Roansy Contreras,1,Truist Park,12,672710,3.78,8.46,9.0,1.38,0.244,0.25,0.5,0.0,0.2,0.4,False
