,Unnamed: 0,Unnamed: 0.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Mitch White,1,Busch Stadium,15,669952,5.79,11.57,3.86,1.5,0.3,0.5,0.0,0.5,0.0,0.25,True
1,1,2,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Jordan Hicks,0,Busch Stadium,15,663855,4.63,5.84,8.66,1.3,0.188,0.8,0.25,0.25,0.0,0.25,True
2,2,3,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,David Peterson,1,Truist Park,12,656849,3.3,7.18,10.37,1.28,0.22,0.0,0.5,0.0,0.6,0.25,False
3,3,5,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Austin Gomber,0,Coors Field,1,596295,5.64,9.99,6.93,1.41,0.283,0.4,0.0,0.0,0.333,0.25,False
4,4,6,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Spencer Strider,0,Truist Park,12,675911,3.11,6.02,13.85,1.05,0.185,0.6,0.2,0.25,0.2,0.25,True
5,5,7,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,David Peterson,1,Truist Park,12,656849,3.3,7.18,10.37,1.28,0.22,0.25,0.5,0.667,0.2,0.5,True
6,6,8,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Jordan Hicks,0,Busch Stadium,15,663855,4.63,5.84,8.66,1.3,0.188,0.0,0.5,0.0,0.667,0.0,True
7,7,9,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Corey Kluber,0,Tropicana Field,21,446372,4.05,9.08,8.03,1.15,0.26,0.0,0.667,0.5,0.333,0.25,True
8,8,10,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Jordan Hicks,0,Busch Stadium,15,663855,4.63,5.84,8.66,1.3,0.188,0.4,0.25,0.0,0.25,0.0,True
9,9,11,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,Corey Kluber,0,Tropicana Field,21,446372,4.05,9.08,8.03,1.15,0.26,0.667,0.5,0.5,0.0,0.0,False
10,10,13,19470,Tommy Edman,STL,27,0.258,0.322,0.367,0.821,669242,138,Mitch White,1,Busch Stadium,15,669952,5.79,11.57,3.86,1.5,0.3,0.0,0.25,0.0,0.0,0.0,True
11,11,14,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Noah Syndergaard,0,Angel Stadium,4,592789,7.2,19.8,3.6,2.2,0.44,0.25,0.333,0.25,0.5,0.25,True
12,12,15,13624,Corey Seager,TEX,28,0.25,0.329,0.475,0.7559999999999999,608369,140,James Kaprielian,1,Globe Life Field,14,621076,4.38,7.97,6.28,1.32,0.235,0.25,0.667,0.667,0.667,0.0,True
13,13,16,12927,Brandon Nimmo,NYM,29,0.271,0.355,0.425,0.83,607043,121,Spencer Strider,0,Truist Park,12,675911,3.11,6.02,13.85,1.05,0.185,0.333,0.0,0.0,0.2,0.333,False
14,14,19,15676,Jose Abreu,CHW,35,0.297,0.375,0.464,0.794,547989,145,Shane Bieber,0,Progressive Field,7,669456,3.21,7.86,9.16,1.09,0.233,0.5,0.0,0.5,0.4,0.25,True
15,15,20,19352,Sean Murphy,OAK,27,0.245,0.32,0.43,0.775,669221,133,Glenn Otto,0,Globe Life Field,14,657248,5.31,8.19,7.38,1.41,0.247,0.25,0.25,0.5,0.25,0.0,True
16,16,21,18036,Jake Cronenworth,SDP,28,0.237,0.34,0.388,0.846,630105,135,Austin Gomber,0,Coors Field,1,596295,5.64,9.99,6.93,1.41,0.283,0.75,0.0,0.0,0.4,0.0,False
17,17,22,19251,Pete Alonso,NYM,27,0.278,0.357,0.541,0.777,624413,121,Spencer Strider,0,Truist Park,12,675911,3.11,6.02,13.85,1.05,0.185,0.2,0.25,0.25,0.0,0.0,False
18,18,23,22581,Alejandro Kirk,TOR,23,0.305,0.388,0.461,0.86,672386,141,Andrew Bellatti,1,Rogers Centre,2,571479,3.47,7.93,13.38,1.24,0.237,0.0,0.333,0.2,0.0,0.5,True
19,19,24,11609,Willson Contreras,CHC,30,0.253,0.364,0.463,0.711,575929,112,Jordan Lyles,1,Wrigley Field,24,543475,4.35,10.01,7.25,1.44,0.279,0.0,0.0,0.0,0.25,0.25,True
20,20,25,21479,Nico Hoerner,CHC,25,0.297,0.34,0.411,0.857,663538,112,Jordan Lyles,1,Wrigley Field,24,543475,4.35,10.01,7.25,1.44,0.279,0.6,0.25,0.25,0.25,0.0,True
21,21,26,19611,Vladimir Guerrero Jr.,TOR,23,0.287,0.359,0.504,0.7829999999999999,665489,141,Andrew Bellatti,1,Rogers Centre,2,571479,3.47,7.93,13.38,1.24,0.237,0.0,0.25,0.4,0.5,0.25,True
22,22,27,19955,Gavin Lux,LAD,24,0.297,0.37,0.425,0.8190000000000001,666158,119,Jordan Hicks,0,Busch Stadium,15,663855,4.63,5.84,8.66,1.3,0.188,0.667,0.5,0.333,0.333,0.667,False
23,23,28,17678,Alex Bregman,HOU,28,0.251,0.356,0.422,0.86,608324,117,Noah Syndergaard,0,Angel Stadium,4,592789,7.2,19.8,3.6,2.2,0.44,0.25,0.0,0.4,0.0,0.0,True
24,24,29,16505,Matt Chapman,TOR,29,0.242,0.322,0.474,0.735,656305,141,Andrew Bellatti,1,Rogers Centre,2,571479,3.47,7.93,13.38,1.24,0.237,0.0,0.2,0.0,0.667,0.75,True
25,25,30,18345,Kyle Tucker,HOU,25,0.242,0.332,0.449,0.8059999999999999,663656,117,Noah Syndergaard,0,Angel Stadium,4,592789,7.2,19.8,3.6,2.2,0.44,0.25,0.0,0.25,0.5,0.25,True
26,26,33,17548,Taylor Ward,LAA,28,0.274,0.365,0.465,0.7829999999999999,621493,108,Luis Garcia,1,Angel Stadium,4,472610,3.51,8.78,9.44,1.27,0.252,0.0,0.25,0.25,0.25,0.333,False
