,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Tyler Wells,1,Yankee Stadium,6,669330,3.9,7.8,6.46,1.11,0.232,0.4,0.333,0.0,0.667,0.333,True
1,1,1,1,1,1,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Carlos Carrasco,1,Busch Stadium,15,471911,3.76,9.19,8.9,1.28,0.266,0.5,0.0,0.0,0.2,0.5,True
2,2,2,2,2,2,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Carlos Carrasco,1,Busch Stadium,15,471911,3.76,9.19,8.9,1.28,0.266,0.25,0.667,0.5,0.4,0.6,True
3,3,3,3,3,3,3,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Zac Gallen,0,Chase Field,13,668678,3.12,6.62,8.67,1.02,0.203,0.333,0.4,0.25,0.0,0.5,False
4,4,4,4,4,4,4,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Shohei Ohtani,0,Angel Stadium,4,660271,2.68,7.22,12.73,1.05,0.214,0.25,0.0,0.333,0.0,0.0,True
5,5,5,5,5,5,5,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Mark Leiter Jr.,1,Truist Park,12,643410,4.72,7.17,9.25,1.17,0.216,0.333,0.0,0.5,0.5,0.0,True
6,6,6,6,6,6,6,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Glenn Otto,0,Globe Life Field,14,657248,5.31,8.19,7.38,1.41,0.247,0.667,0.25,0.2,0.0,0.0,True
7,7,7,7,7,7,7,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Vladimir Gutierrez,0,Great American Ball Park,8,661269,7.61,11.29,7.12,1.91,0.313,0.5,0.333,0.0,0.25,0.0,True
8,8,8,8,8,8,8,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Steven Matz,0,Busch Stadium,15,571927,5.7,9.91,10.76,1.31,0.269,0.0,0.0,0.4,0.333,0.25,True
9,9,9,9,9,9,9,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Mark Leiter Jr.,1,Truist Park,12,643410,4.72,7.17,9.25,1.17,0.216,0.0,0.6,0.2,0.0,0.5,True
