,Unnamed: 0,Unnamed: 0.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Jalen Beeks,1.0,Yankee Stadium,6.0,656222,2.35,7.24,10.76,1.2,0.219,0.333,0.0,0.5,0.667,0.25,False
1,1,1,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Chad Kuhl,0.0,Coors Field,1.0,641771,5.16,9.7,6.64,1.52,0.273,0.8,0.5,0.25,0.25,0.75,True
2,2,2,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Aaron Ashby,1.0,Citi Field,22.0,676879,4.32,8.86,10.86,1.46,0.251,0.0,0.25,0.0,0.2,0.25,True
3,3,3,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Paul Blackburn,1.0,Fenway Park,3.0,621112,4.28,8.89,7.19,1.26,0.255,0.333,0.2,0.333,0.333,0.25,False
4,4,4,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,Paul Blackburn,1.0,Fenway Park,3.0,621112,4.28,8.89,7.19,1.26,0.255,0.75,1.0,0.333,0.5,0.25,True
5,5,6,9874,DJ LeMahieu,NYY,33,0.286,0.388,0.429,0.8809999999999999,518934,147,Jalen Beeks,1.0,Yankee Stadium,6.0,656222,2.35,7.24,10.76,1.2,0.219,0.0,0.25,0.333,0.167,0.4,False
6,6,7,19950,Andres Gimenez,CLE,23,0.302,0.365,0.484,0.743,665926,114,Chad Kuhl,0.0,Coors Field,1.0,641771,5.16,9.7,6.64,1.52,0.273,0.25,0.333,0.0,0.25,0.5,True
7,7,8,12927,Brandon Nimmo,NYM,29,0.271,0.355,0.425,0.83,607043,121,Aaron Ashby,1.0,Citi Field,22.0,676879,4.32,8.86,10.86,1.46,0.251,0.5,0.5,0.25,0.0,0.5,False
8,8,9,15362,Jeff McNeil,NYM,30,0.306,0.362,0.445,0.852,643446,121,Aaron Ashby,1.0,Citi Field,22.0,676879,4.32,8.86,10.86,1.46,0.251,0.5,0.333,0.75,0.0,0.5,True
9,9,10,19352,Sean Murphy,OAK,27,0.245,0.32,0.43,0.775,669221,133,Rich Hill,0.0,Fenway Park,3.0,448179,4.75,9.39,6.84,1.35,0.266,0.5,0.333,0.0,0.25,0.333,True
