,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Shane McClanahan,0,Tropicana Field,21,663556,2.24,5.89,11.29,0.83,0.184,0.25,0.0,0.333,0.25,0.0,True
1,1,1,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Corbin Burnes,1,Busch Stadium,15,669203,2.45,5.89,11.58,0.93,0.183,0.75,0.25,0.5,0.667,0.2,True
2,2,2,3,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Zach Davies,0,Chase Field,13,605200,4.03,7.86,6.83,1.22,0.233,0.0,0.25,0.8,0.0,0.0,True
3,3,3,4,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Elvin Rodriguez,0,Comerica Park,25,660730,10.04,12.12,6.92,1.85,0.321,0.5,0.25,0.333,0.5,0.4,False
4,4,4,5,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Elieser Hernandez,1,Truist Park,12,622694,6.0,9.33,8.83,1.39,0.26,0.5,0.0,0.25,0.8,0.75,True
5,5,5,6,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Marco Gonzales,0,T-Mobile Park,27,594835,3.98,9.63,5.21,1.39,0.274,0.0,0.5,0.0,0.25,0.0,True
6,6,6,8,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Zack Wheeler,1,Citi Field,22,554430,2.63,7.25,9.73,1.03,0.218,0.667,0.5,0.5,0.5,0.2,False
7,7,7,9,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Elieser Hernandez,1,Truist Park,12,622694,6.0,9.33,8.83,1.39,0.26,0.25,0.25,0.25,0.5,0.5,True
8,8,8,10,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Zach Davies,0,Chase Field,13,605200,4.03,7.86,6.83,1.22,0.233,0.5,0.2,0.6,0.0,0.75,False
9,9,9,11,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Bruce Zimmermann,1,Fenway Park,3,669145,5.85,11.84,6.12,1.48,0.322,0.8,0.0,0.6,0.4,0.2,True
10,10,10,12,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Zach Davies,0,Chase Field,13,605200,4.03,7.86,6.83,1.22,0.233,0.25,0.5,0.5,0.333,0.25,True
11,11,11,13,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,Bruce Zimmermann,1,Fenway Park,3,669145,5.85,11.84,6.12,1.48,0.322,0.0,0.25,0.5,0.2,0.333,True
12,12,12,14,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Chris Bassitt,0,Citi Field,22,605135,3.39,7.75,8.93,1.12,0.23,0.667,0.0,0.333,0.5,0.333,True
13,13,13,15,9874,DJ LeMahieu,NYY,33,0.286,0.388,0.429,0.8809999999999999,518934,147,Shane McClanahan,0,Tropicana Field,21,663556,2.24,5.89,11.29,0.83,0.184,0.25,0.0,0.0,0.0,0.25,True
14,14,14,16,19470,Tommy Edman,STL,27,0.258,0.322,0.367,0.821,669242,138,Corbin Burnes,1,Busch Stadium,15,669203,2.45,5.89,11.58,0.93,0.183,0.2,0.0,0.6,0.25,0.0,True
15,15,15,17,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Marco Gonzales,0,T-Mobile Park,27,594835,3.98,9.63,5.21,1.39,0.274,0.5,0.2,0.25,0.5,0.25,False
16,16,16,18,19950,Andres Gimenez,CLE,23,0.302,0.365,0.484,0.743,665926,114,Elvin Rodriguez,0,Comerica Park,25,660730,10.04,12.12,6.92,1.85,0.321,0.25,0.25,0.0,0.0,0.0,True
17,17,17,19,13624,Corey Seager,TEX,28,0.25,0.329,0.475,0.7559999999999999,608369,140,James Kaprielian,0,Oakland Coliseum,19,621076,4.38,7.97,6.28,1.32,0.235,0.75,0.0,0.0,0.2,0.0,True
18,18,18,21,14161,Byron Buxton,MIN,28,0.222,0.301,0.549,0.6890000000000001,621439,142,Zack Greinke,1,Target Field,26,425844,4.58,10.04,5.07,1.33,0.28,0.2,0.2,0.0,0.0,0.0,True
19,19,19,22,19197,Will Smith,LAD,27,0.275,0.361,0.477,0.8290000000000001,669257,119,Zach Davies,0,Chase Field,13,605200,4.03,7.86,6.83,1.22,0.233,0.0,0.0,0.4,0.0,0.25,True
20,20,20,23,15362,Jeff McNeil,NYM,30,0.306,0.362,0.445,0.852,643446,121,Zack Wheeler,1,Citi Field,22,554430,2.63,7.25,9.73,1.03,0.218,0.333,0.25,0.0,0.75,0.5,False
21,21,21,24,15676,Jose Abreu,CHW,35,0.297,0.375,0.464,0.794,547989,145,Marcus Stroman,1,Guaranteed Rate Field,23,573186,4.2,8.17,8.39,1.16,0.239,0.333,0.5,0.5,0.667,0.25,True
22,22,22,25,19352,Sean Murphy,OAK,27,0.245,0.32,0.43,0.775,669221,133,Dane Dunning,1,Oakland Coliseum,19,641540,4.04,8.79,7.84,1.36,0.257,0.0,0.5,0.25,0.25,0.2,True
23,23,23,26,18036,Jake Cronenworth,SDP,28,0.237,0.34,0.388,0.846,630105,135,Roansy Contreras,1,Petco Park,31,672710,3.78,8.46,9.0,1.38,0.244,0.2,0.25,0.25,0.25,0.25,False
24,24,24,27,19251,Pete Alonso,NYM,27,0.278,0.357,0.541,0.777,624413,121,Zack Wheeler,1,Citi Field,22,554430,2.63,7.25,9.73,1.03,0.218,0.333,1.0,0.0,0.0,0.6,True
25,25,25,28,22581,Alejandro Kirk,TOR,23,0.305,0.388,0.461,0.86,672386,141,Patrick Sandoval,0,Angel Stadium,4,663776,3.41,9.0,9.66,1.47,0.259,1.0,0.5,0.5,0.25,0.0,True
26,26,26,29,11609,Willson Contreras,CHC,30,0.253,0.364,0.463,0.711,575929,112,Dylan Cease,0,Guaranteed Rate Field,23,656302,1.98,6.53,12.18,1.16,0.198,0.2,0.5,0.0,0.5,0.0,True
27,27,27,30,21479,Nico Hoerner,CHC,25,0.297,0.34,0.411,0.857,663538,112,Dylan Cease,0,Guaranteed Rate Field,23,656302,1.98,6.53,12.18,1.16,0.198,0.75,0.25,1.0,0.0,0.25,False
28,28,28,32,19955,Gavin Lux,LAD,24,0.297,0.37,0.425,0.8190000000000001,666158,119,Zach Davies,0,Chase Field,13,605200,4.03,7.86,6.83,1.22,0.233,0.667,0.4,0.25,0.0,0.5,True
29,29,29,33,17678,Alex Bregman,HOU,28,0.251,0.356,0.422,0.86,608324,117,Marco Gonzales,0,T-Mobile Park,27,594835,3.98,9.63,5.21,1.39,0.274,0.667,0.25,0.25,0.25,0.25,False
30,30,30,34,16505,Matt Chapman,TOR,29,0.242,0.322,0.474,0.735,656305,141,Patrick Sandoval,0,Angel Stadium,4,663776,3.41,9.0,9.66,1.47,0.259,0.5,0.5,0.0,0.333,0.0,True
31,31,31,36,10815,Jurickson Profar,SDP,29,0.252,0.344,0.416,0.831,595777,135,Roansy Contreras,1,Petco Park,31,672710,3.78,8.46,9.0,1.38,0.244,0.333,0.25,0.0,0.0,0.2,True
32,32,32,38,19918,Daulton Varsho,ARI,25,0.239,0.314,0.431,0.7809999999999999,662139,109,Tyler Anderson,1,Chase Field,13,542881,2.72,7.21,7.14,1.0,0.219,0.0,0.25,0.5,0.25,0.25,False
33,33,33,40,16472,Rhys Hoskins,PHI,29,0.253,0.344,0.496,0.7609999999999999,656555,143,Chris Bassitt,0,Citi Field,22,605135,3.39,7.75,8.93,1.12,0.23,0.0,0.25,0.25,0.0,0.2,False
34,34,34,41,17919,Ian Happ,CHC,27,0.276,0.356,0.432,0.7490000000000001,664023,112,Dylan Cease,0,Guaranteed Rate Field,23,656302,1.98,6.53,12.18,1.16,0.198,0.0,0.333,0.25,0.0,0.667,False
35,35,35,42,12552,Eugenio Suarez,SEA,30,0.227,0.329,0.415,0.677,553993,136,Luis Garcia,1,T-Mobile Park,27,472610,3.51,8.78,9.44,1.27,0.252,0.5,0.0,0.0,0.0,0.333,True
