,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Nick Martinez,1.0,Busch Stadium,15.0,607259,3.35,8.53,8.1,1.32,0.248,0.0,0.0,0.0,0.0,0.75,False
1,1,1,1,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Nick Martinez,1.0,Busch Stadium,15.0,607259,3.35,8.53,8.1,1.32,0.248,0.25,0.75,0.25,0.5,0.667,True
2,2,2,2,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Zach Thompson,1.0,Dodger Stadium,17.0,605507,5.08,9.66,6.18,1.47,0.269,0.25,0.0,0.25,0.8,0.0,True
3,3,3,3,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Zac Gallen,0.0,Chase Field,13.0,668678,3.12,6.62,8.67,1.02,0.203,0.25,0.5,0.0,0.25,0.8,True
4,4,4,4,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Paul Blackburn,0.0,Oakland Coliseum,19.0,621112,4.28,8.89,7.19,1.26,0.255,0.5,0.0,0.5,0.0,0.25,True
5,5,5,5,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Packy Naughton,0.0,Busch Stadium,15.0,676050,4.94,9.22,8.89,1.24,0.259,0.0,0.0,0.5,0.0,1.0,True
6,6,6,6,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Erick Fedde,1.0,Citi Field,22.0,607200,4.95,9.32,6.8,1.54,0.269,0.0,0.667,0.5,0.5,0.5,True
7,7,7,7,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Zac Gallen,0.0,Chase Field,13.0,668678,3.12,6.62,8.67,1.02,0.203,0.5,0.25,0.25,0.25,0.5,True
8,8,8,8,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Zach Thompson,1.0,Dodger Stadium,17.0,605507,5.08,9.66,6.18,1.47,0.269,0.0,0.5,0.2,0.6,0.0,True
9,9,9,9,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Tyler Wells,1.0,Fenway Park,3.0,669330,3.9,7.8,6.46,1.11,0.232,0.25,0.8,0.0,0.6,0.4,False
10,10,10,10,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Zach Thompson,1.0,Dodger Stadium,17.0,605507,5.08,9.66,6.18,1.47,0.269,0.25,0.25,0.5,0.5,0.333,True
11,11,11,11,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,Tyler Wells,1.0,Fenway Park,3.0,669330,3.9,7.8,6.46,1.11,0.232,0.6,0.25,0.0,0.5,0.2,True
12,12,12,13,19470,Tommy Edman,STL,27,0.258,0.322,0.367,0.821,669242,138,Nick Martinez,1.0,Busch Stadium,15.0,607259,3.35,8.53,8.1,1.32,0.248,0.25,0.2,0.0,0.6,0.25,True
13,13,13,14,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Paul Blackburn,0.0,Oakland Coliseum,19.0,621112,4.28,8.89,7.19,1.26,0.255,0.0,0.5,0.2,0.25,0.5,True
14,14,14,15,13624,Corey Seager,TEX,28,0.25,0.329,0.475,0.7559999999999999,608369,140,Drew Rasmussen,1.0,Globe Life Field,14.0,656876,2.96,8.08,7.39,1.17,0.238,0.25,0.75,0.0,0.0,0.2,False
15,15,15,17,19197,Will Smith,LAD,27,0.275,0.361,0.477,0.8290000000000001,669257,119,Zach Thompson,1.0,Dodger Stadium,17.0,605507,5.08,9.66,6.18,1.47,0.269,0.333,0.0,0.0,0.4,0.0,False
16,16,16,18,15362,Jeff McNeil,NYM,30,0.306,0.362,0.445,0.852,643446,121,Erick Fedde,1.0,Citi Field,22.0,607200,4.95,9.32,6.8,1.54,0.269,0.0,0.333,0.25,0.0,0.75,False
17,17,17,19,19352,Sean Murphy,OAK,27,0.245,0.32,0.43,0.775,669221,133,Framber Valdez,1.0,Oakland Coliseum,19.0,664285,2.87,7.13,8.0,1.15,0.217,0.333,0.0,0.5,0.25,0.25,False
18,18,18,20,18036,Jake Cronenworth,SDP,28,0.237,0.34,0.388,0.846,630105,135,Packy Naughton,0.0,Busch Stadium,15.0,676050,4.94,9.22,8.89,1.24,0.259,0.0,0.2,0.25,0.25,0.25,True
19,19,19,21,19251,Pete Alonso,NYM,27,0.278,0.357,0.541,0.777,624413,121,Erick Fedde,1.0,Citi Field,22.0,607200,4.95,9.32,6.8,1.54,0.269,0.5,0.333,1.0,0.0,0.0,True
20,20,20,22,19955,Gavin Lux,LAD,24,0.297,0.37,0.425,0.8190000000000001,666158,119,Zach Thompson,1.0,Dodger Stadium,17.0,605507,5.08,9.66,6.18,1.47,0.269,0.333,0.667,0.4,0.25,0.0,False
21,21,21,23,17678,Alex Bregman,HOU,28,0.251,0.356,0.422,0.86,608324,117,Paul Blackburn,0.0,Oakland Coliseum,19.0,621112,4.28,8.89,7.19,1.26,0.255,0.0,0.667,0.25,0.25,0.25,False
22,22,22,25,10815,Jurickson Profar,SDP,29,0.252,0.344,0.416,0.831,595777,135,Packy Naughton,0.0,Busch Stadium,15.0,676050,4.94,9.22,8.89,1.24,0.259,0.5,0.333,0.25,0.0,0.0,True
23,23,23,26,19918,Daulton Varsho,ARI,25,0.239,0.314,0.431,0.7809999999999999,662139,109,Spencer Strider,1.0,Chase Field,13.0,675911,3.11,6.02,13.85,1.05,0.185,0.0,0.0,0.25,0.5,0.25,False
24,24,24,27,18577,Ke'Bryan Hayes,PIT,25,0.248,0.32,0.358,0.818,663647,134,Walker Buehler,0.0,Dodger Stadium,17.0,621111,4.02,9.28,8.03,1.29,0.263,0.333,0.6,0.0,0.0,1.0,True
25,25,25,28,16472,Rhys Hoskins,PHI,29,0.253,0.344,0.496,0.7609999999999999,656555,143,Logan Webb,1.0,Citizens Bank Park,16.0,657277,3.17,7.99,7.29,1.15,0.237,0.0,0.0,0.25,0.25,0.0,True
26,26,26,30,27506,Ha-seong Kim,SDP,26,0.248,0.326,0.37,0.83,673490,135,Packy Naughton,0.0,Busch Stadium,15.0,676050,4.94,9.22,8.89,1.24,0.259,0.25,0.4,0.0,0.25,0.25,True
27,27,27,31,9241,Starling Marte,NYM,33,0.292,0.344,0.458,0.775,516782,121,Erick Fedde,1.0,Citi Field,22.0,607200,4.95,9.32,6.8,1.54,0.269,0.4,0.333,0.4,0.0,0.5,True
28,28,28,33,15112,Ryan McMahon,COL,27,0.242,0.339,0.397,0.752,641857,115,Pablo Lopez,1.0,Coors Field,1.0,641154,3.57,7.79,9.1,1.16,0.232,0.25,0.0,0.0,0.667,0.25,False
29,29,29,34,12533,Marcus Semien,TEX,31,0.239,0.298,0.403,0.8079999999999999,543760,140,Drew Rasmussen,1.0,Globe Life Field,14.0,656876,2.96,8.08,7.39,1.17,0.238,0.25,0.25,0.6,0.0,0.5,True
30,30,30,37,14344,Matt Olson,ATL,28,0.248,0.338,0.48,0.738,621566,144,Zac Gallen,0.0,Chase Field,13.0,668678,3.12,6.62,8.67,1.02,0.203,0.5,0.0,0.0,0.667,0.25,True
31,31,31,38,12546,C.J. Cron,COL,32,0.28,0.33,0.514,0.778,543068,115,Pablo Lopez,1.0,Coors Field,1.0,641154,3.57,7.79,9.1,1.16,0.232,0.0,0.4,0.667,0.0,0.4,True
32,32,32,39,5827,Wilmer Flores,SFG,30,0.251,0.334,0.444,0.8290000000000001,527038,137,Kyle Gibson,0.0,Citizens Bank Park,16.0,502043,4.36,8.01,6.85,1.17,0.238,0.0,0.5,0.25,0.5,0.5,True
33,33,33,42,17273,Jorge Mateo,BAL,27,0.218,0.267,0.391,0.6970000000000001,622761,110,Rich Hill,0.0,Fenway Park,3.0,448179,4.75,9.39,6.84,1.35,0.266,0.5,0.25,0.2,0.0,0.25,True
34,34,34,43,16478,Kyle Schwarber,PHI,29,0.207,0.31,0.499,0.72,656941,143,Logan Webb,1.0,Citizens Bank Park,16.0,657277,3.17,7.99,7.29,1.15,0.237,0.0,0.0,0.0,0.0,0.0,True
35,35,35,44,13613,Ketel Marte,ARI,28,0.261,0.346,0.445,0.804,606466,109,Spencer Strider,1.0,Chase Field,13.0,675911,3.11,6.02,13.85,1.05,0.185,0.25,0.25,0.2,0.25,0.5,True
36,36,36,45,14551,Anthony Santander,BAL,27,0.262,0.342,0.463,0.805,623993,110,Rich Hill,0.0,Fenway Park,3.0,448179,4.75,9.39,6.84,1.35,0.266,0.0,0.25,0.0,0.5,0.0,True
37,37,37,47,11445,Mark Canha,NYM,33,0.266,0.366,0.37,0.7909999999999999,592192,121,Erick Fedde,1.0,Citi Field,22.0,607200,4.95,9.32,6.8,1.54,0.269,0.0,0.25,0.25,0.4,0.4,True
38,38,38,48,17907,Brendan Rodgers,COL,25,0.284,0.334,0.432,0.785,663898,115,Pablo Lopez,1.0,Coors Field,1.0,641154,3.57,7.79,9.1,1.16,0.232,0.5,0.2,0.333,0.25,0.25,True
39,39,39,49,19326,Bryan Reynolds,PIT,27,0.257,0.343,0.449,0.752,668804,134,Walker Buehler,0.0,Dodger Stadium,17.0,621111,4.02,9.28,8.03,1.29,0.263,0.0,0.25,0.25,0.25,0.0,True
40,40,40,50,18171,Seth Brown,OAK,29,0.238,0.295,0.463,0.732,664913,133,Framber Valdez,1.0,Oakland Coliseum,19.0,664285,2.87,7.13,8.0,1.15,0.217,0.333,0.333,0.0,0.667,0.2,False
41,41,41,51,8709,Elvis Andrus,OAK,33,0.24,0.302,0.371,0.81,462101,133,Framber Valdez,1.0,Oakland Coliseum,19.0,664285,2.87,7.13,8.0,1.15,0.217,0.4,0.25,0.0,0.333,0.5,False
42,42,42,52,19363,Austin Hays,BAL,26,0.261,0.318,0.435,0.777,669720,110,Rich Hill,0.0,Fenway Park,3.0,448179,4.75,9.39,6.84,1.35,0.266,0.25,0.4,0.5,0.25,0.2,True
43,43,43,53,5235,Justin Turner,LAD,37,0.26,0.334,0.41,0.8220000000000001,457759,119,Zach Thompson,1.0,Dodger Stadium,17.0,605507,5.08,9.66,6.18,1.47,0.269,1.0,0.0,0.333,0.25,0.0,True
44,44,44,54,21618,Alec Bohm,PHI,25,0.294,0.33,0.413,0.8009999999999999,664761,143,Logan Webb,1.0,Citizens Bank Park,16.0,657277,3.17,7.99,7.29,1.15,0.237,0.0,0.0,0.4,0.0,0.4,False
45,45,45,56,15279,Garrett Cooper,MIA,31,0.275,0.348,0.424,0.7959999999999999,643265,146,Ryan Feltner,0.0,Coors Field,1.0,663372,6.02,10.1,7.96,1.42,0.28,0.0,0.5,0.5,0.25,0.5,True
46,46,46,57,14854,Mike Yastrzemski,SFG,31,0.22,0.315,0.393,0.797,573262,137,Kyle Gibson,0.0,Citizens Bank Park,16.0,502043,4.36,8.01,6.85,1.17,0.238,0.0,0.5,0.0,0.333,0.667,True
47,47,47,58,19610,Keibert Ruiz,WSN,23,0.247,0.307,0.359,0.86,660688,120,David Peterson,0.0,Citi Field,22.0,656849,3.3,7.18,10.37,1.28,0.22,0.25,0.25,0.4,0.0,0.2,True
48,48,48,59,19339,Nicky Lopez,KCR,27,0.248,0.305,0.294,0.838,670032,118,Zach Plesac,0.0,Progressive Field,7.0,668676,4.49,9.39,6.9,1.35,0.262,0.333,0.0,0.75,0.0,0.0,True
49,49,49,60,18373,Ryan Mountcastle,BAL,25,0.258,0.3,0.441,0.722,663624,110,Rich Hill,0.0,Fenway Park,3.0,448179,4.75,9.39,6.84,1.35,0.266,0.25,0.0,0.25,0.25,0.0,True
50,50,50,62,6184,J.D. Martinez,BOS,34,0.281,0.345,0.447,0.716,502110,111,Tyler Wells,1.0,Fenway Park,3.0,669330,3.9,7.8,6.46,1.11,0.232,0.5,0.25,0.333,0.6,0.667,False
51,51,51,63,6153,Eduardo Escobar,NYM,33,0.22,0.273,0.39,0.753,500871,121,Erick Fedde,1.0,Citi Field,22.0,607200,4.95,9.32,6.8,1.54,0.269,0.2,0.25,0.0,0.25,0.8,True
52,52,52,64,11265,Jonathan Schoop,DET,30,0.203,0.238,0.31,0.7559999999999999,570731,116,Dylan Bundy,1.0,Comerica Park,25.0,605164,5.01,9.74,7.14,1.3,0.272,0.0,0.25,0.333,0.0,0.5,True
53,53,53,65,19566,Nathaniel Lowe,TEX,26,0.282,0.332,0.461,0.775,663993,140,Drew Rasmussen,1.0,Globe Life Field,14.0,656876,2.96,8.08,7.39,1.17,0.238,0.25,0.5,0.75,0.333,0.0,False
54,54,54,66,19290,Randy Arozarena,TBR,27,0.256,0.317,0.416,0.7240000000000001,668227,139,Glenn Otto,0.0,Globe Life Field,14.0,657248,5.31,8.19,7.38,1.41,0.247,0.25,0.333,0.0,0.25,0.25,True
55,55,55,67,17027,Alex Verdugo,BOS,26,0.272,0.312,0.389,0.863,657077,111,Tyler Wells,1.0,Fenway Park,3.0,669330,3.9,7.8,6.46,1.11,0.232,0.0,0.25,0.4,0.667,0.25,False
56,56,56,69,7802,Miguel Rojas,MIA,33,0.233,0.282,0.335,0.852,500743,146,Ryan Feltner,0.0,Coors Field,1.0,663372,6.02,10.1,7.96,1.42,0.28,0.333,0.75,0.0,0.25,0.0,False
57,57,57,70,12979,Javier Baez,DET,29,0.22,0.262,0.372,0.674,595879,116,Dylan Bundy,1.0,Comerica Park,25.0,605164,5.01,9.74,7.14,1.3,0.272,0.0,0.0,0.333,0.0,0.0,True
