,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Bruce Zimmermann,1.0,Yankee Stadium,6.0,669145,5.85,11.84,6.12,1.48,0.322,0.5,0.4,0.333,0.0,0.667,True
1,1,1,1,1,1,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Humberto Castellanos,1.0,Busch Stadium,15.0,528748,5.68,10.15,6.5,1.4,0.289,1.0,0.5,0.0,0.0,0.2,True
2,2,2,2,2,2,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Humberto Castellanos,1.0,Busch Stadium,15.0,528748,5.68,10.15,6.5,1.4,0.289,0.4,0.25,0.667,0.5,0.4,True
3,3,3,3,3,3,3,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Reid Detmers,0.0,Angel Stadium,4.0,672282,3.44,6.27,8.29,1.04,0.196,0.5,0.25,0.0,0.333,0.0,True
4,4,4,4,4,4,4,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Drew Smyly,1.0,Truist Park,12.0,592767,3.97,9.59,7.13,1.29,0.266,0.333,0.333,0.0,0.5,0.5,True
5,5,5,5,5,5,5,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Martin Perez,0.0,Globe Life Field,14.0,527048,2.85,7.94,7.81,1.18,0.235,1.0,0.667,0.25,0.2,0.0,True
6,6,6,6,6,6,6,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Tyler Mahle,0.0,Great American Ball Park,8.0,641816,6.0,7.5,7.5,1.0,0.238,0.6,0.5,0.333,0.0,0.25,True
7,7,7,7,7,7,7,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Drew Smyly,1.0,Truist Park,12.0,592767,3.97,9.59,7.13,1.29,0.266,0.25,0.0,0.6,0.2,0.0,True
8,8,8,8,8,8,8,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Alek Manoah,0.0,Rogers Centre,2.0,666201,2.56,7.16,8.15,1.02,0.217,0.4,0.5,0.25,0.25,0.0,True
9,9,9,9,9,9,9,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,Alek Manoah,0.0,Rogers Centre,2.0,666201,2.56,7.16,8.15,1.02,0.217,1.0,0.6,0.25,0.25,0.0,False
