,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Jon Gray,1.0,Yankee Stadium,6.0,592351,3.83,7.58,10.1,1.17,0.224,0.0,0.333,0.0,0.4,0.25,True
1,1,1,1,1,1,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Jose Quintana,0.0,PNC Park,10.0,500779,1.5,1.5,10.5,0.5,0.056,0.5,0.75,0.25,0.333,0.0,False
2,2,2,2,2,2,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Michael Kopech,0.0,Guaranteed Rate Field,23.0,656629,3.38,6.66,7.75,1.23,0.204,0.333,0.2,0.333,0.25,0.0,False
3,3,3,3,3,3,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Kyle Hendricks,1.0,Petco Park,31.0,543294,4.8,9.07,7.04,1.29,0.26,0.5,0.333,0.667,0.667,0.0,True
4,4,4,4,4,4,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Jose Quintana,0.0,PNC Park,10.0,500779,1.5,1.5,10.5,0.5,0.056,0.4,0.25,0.4,0.667,0.25,True
5,5,5,5,5,5,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Jose Quintana,0.0,PNC Park,10.0,500779,1.5,1.5,10.5,0.5,0.056,0.0,0.667,0.0,0.25,0.25,True
6,6,6,6,6,6,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Chris Flexen,0.0,T-Mobile Park,27.0,623167,3.92,9.0,6.23,1.37,0.257,0.25,0.2,0.0,0.667,0.0,True
7,7,7,7,7,7,9874,DJ LeMahieu,NYY,33,0.286,0.388,0.429,0.8809999999999999,518934,147,Jon Gray,1.0,Yankee Stadium,6.0,592351,3.83,7.58,10.1,1.17,0.224,0.0,0.25,0.25,0.25,0.25,False
8,8,8,8,8,8,19950,Andres Gimenez,CLE,23,0.302,0.365,0.484,0.743,665926,114,Michael Kopech,0.0,Guaranteed Rate Field,23.0,656629,3.38,6.66,7.75,1.23,0.204,0.333,0.0,0.5,0.5,0.5,True
9,9,9,9,9,9,13624,Corey Seager,TEX,28,0.25,0.329,0.475,0.7559999999999999,608369,140,Nestor Cortes,0.0,Yankee Stadium,6.0,641482,2.57,6.91,9.24,1.02,0.208,0.0,0.0,0.0,0.25,0.667,False
10,10,10,10,10,11,15676,Jose Abreu,CHW,35,0.297,0.375,0.464,0.794,547989,145,Zach Plesac,1.0,Guaranteed Rate Field,23.0,668676,4.49,9.39,6.9,1.35,0.262,0.25,0.4,0.25,0.5,0.0,False
11,11,11,11,11,13,18036,Jake Cronenworth,SDP,28,0.237,0.34,0.388,0.846,630105,135,Kyle Hendricks,1.0,Petco Park,31.0,543294,4.8,9.07,7.04,1.29,0.26,0.333,0.25,0.0,0.25,0.0,False
12,12,12,12,12,14,19955,Gavin Lux,LAD,24,0.297,0.37,0.425,0.8190000000000001,666158,119,Jose Quintana,0.0,PNC Park,10.0,500779,1.5,1.5,10.5,0.5,0.056,0.667,0.0,0.0,0.5,0.333,False
13,13,13,13,13,15,10815,Jurickson Profar,SDP,29,0.252,0.344,0.416,0.831,595777,135,Kyle Hendricks,1.0,Petco Park,31.0,543294,4.8,9.07,7.04,1.29,0.26,0.25,0.333,0.0,0.0,0.0,False
14,14,14,14,14,16,15986,Willy Adames,MIL,26,0.224,0.289,0.463,0.726,642715,158,Luis Castillo,0.0,Great American Ball Park,8.0,622491,1.84,4.91,9.2,0.89,0.163,0.0,0.25,0.25,0.5,0.0,False
15,15,15,15,15,17,19918,Daulton Varsho,ARI,25,0.239,0.314,0.431,0.7809999999999999,662139,109,Elieser Hernandez,1.0,Chase Field,13.0,622694,6.0,9.33,8.83,1.39,0.26,0.25,0.25,0.5,0.25,0.5,True
16,16,16,16,16,19,18577,Ke'Bryan Hayes,PIT,25,0.248,0.32,0.358,0.818,663647,134,Julio Urias,1.0,PNC Park,10.0,628711,2.49,6.97,8.58,0.97,0.21,0.25,0.6,0.0,0.0,0.333,True
17,17,17,17,17,20,16472,Rhys Hoskins,PHI,29,0.253,0.344,0.496,0.7609999999999999,656555,143,Chris Flexen,0.0,T-Mobile Park,27.0,623167,3.92,9.0,6.23,1.37,0.257,0.25,0.0,0.0,0.25,0.25,True
18,18,18,18,18,21,12552,Eugenio Suarez,SEA,30,0.227,0.329,0.415,0.677,553993,136,Ranger Suarez,1.0,T-Mobile Park,27.0,624133,3.68,8.97,7.62,1.37,0.258,0.0,0.0,0.667,0.25,0.333,False
19,19,19,19,19,22,17982,Ty France,SEA,27,0.298,0.368,0.463,0.838,664034,136,Ranger Suarez,1.0,T-Mobile Park,27.0,624133,3.68,8.97,7.62,1.37,0.258,0.2,0.25,0.25,0.25,0.0,False
20,20,20,20,20,23,19287,Adolis Garcia,TEX,29,0.248,0.298,0.456,0.677,666969,140,Nestor Cortes,0.0,Yankee Stadium,6.0,641482,2.57,6.91,9.24,1.02,0.208,0.5,0.25,0.0,0.0,0.6,False
21,21,21,21,21,24,27506,Ha-seong Kim,SDP,26,0.248,0.326,0.37,0.83,673490,135,Kyle Hendricks,1.0,Petco Park,31.0,543294,4.8,9.07,7.04,1.29,0.26,0.0,0.0,0.0,0.0,0.25,False
22,22,22,22,22,25,3473,Anthony Rizzo,NYY,32,0.227,0.347,0.511,0.8,519203,147,Jon Gray,1.0,Yankee Stadium,6.0,592351,3.83,7.58,10.1,1.17,0.224,0.333,0.0,0.0,0.2,0.0,True
23,23,23,23,23,26,19755,Shohei Ohtani,LAA,27,0.256,0.348,0.501,0.741,660271,108,Jeffrey Springs,1.0,Angel Stadium,4.0,605488,2.5,7.94,9.42,1.08,0.233,0.25,0.25,0.0,0.5,0.0,True
24,24,24,24,24,27,20043,Luis Robert,CHW,24,0.298,0.334,0.453,0.755,673357,145,Zach Plesac,1.0,Guaranteed Rate Field,23.0,668676,4.49,9.39,6.9,1.35,0.262,0.25,0.4,0.25,0.667,0.75,True
25,25,25,25,25,28,16578,Yandy Diaz,TBR,30,0.277,0.392,0.393,0.873,650490,139,Noah Syndergaard,0.0,Angel Stadium,4.0,592789,7.2,19.8,3.6,2.2,0.44,0.0,0.0,0.4,0.333,0.0,True
26,26,26,26,26,29,15518,Amed Rosario,CLE,26,0.29,0.324,0.417,0.8240000000000001,642708,114,Michael Kopech,0.0,Guaranteed Rate Field,23.0,656629,3.38,6.66,7.75,1.23,0.204,0.0,0.25,0.0,0.2,0.333,True
27,27,27,27,27,30,15112,Ryan McMahon,COL,27,0.242,0.339,0.397,0.752,641857,115,Carlos Rodon,0.0,Oracle Park,9.0,607074,2.95,6.87,11.29,1.07,0.209,0.0,0.5,0.25,0.333,0.5,True
28,28,28,28,28,31,12533,Marcus Semien,TEX,31,0.239,0.298,0.403,0.8079999999999999,543760,140,Nestor Cortes,0.0,Yankee Stadium,6.0,641482,2.57,6.91,9.24,1.02,0.208,0.5,0.0,0.667,0.4,0.0,False
29,29,29,29,29,32,13419,Christian Walker,ARI,31,0.21,0.31,0.459,0.7709999999999999,572233,109,Elieser Hernandez,1.0,Chase Field,13.0,622694,6.0,9.33,8.83,1.39,0.26,0.0,0.667,0.0,0.0,0.4,True
30,30,30,30,30,33,15172,Tim Anderson,CHW,29,0.301,0.339,0.395,0.795,641313,145,Zach Plesac,1.0,Guaranteed Rate Field,23.0,668676,4.49,9.39,6.9,1.35,0.262,0.5,0.6,0.0,0.333,0.25,True
31,31,31,31,31,34,17929,Cedric Mullins II,BAL,27,0.261,0.321,0.39,0.816,656775,110,Carlos Hernandez,1.0,Oriole Park at Camden Yards,30.0,672578,9.09,13.9,4.81,2.14,0.359,0.4,0.2,0.667,0.4,0.2,False
32,32,32,32,32,35,12546,C.J. Cron,COL,32,0.28,0.33,0.514,0.778,543068,115,Carlos Rodon,0.0,Oracle Park,9.0,607074,2.95,6.87,11.29,1.07,0.209,0.0,0.667,0.25,0.5,0.25,False
33,33,33,33,33,36,5827,Wilmer Flores,SFG,30,0.251,0.334,0.444,0.8290000000000001,527038,137,Austin Gomber,1.0,Oracle Park,9.0,596295,5.64,9.99,6.93,1.41,0.283,0.333,0.333,0.0,0.5,0.25,True
34,34,34,34,34,37,11477,Christian Yelich,MIL,30,0.262,0.365,0.39,0.7829999999999999,592885,158,Luis Castillo,0.0,Great American Ball Park,8.0,622491,1.84,4.91,9.2,0.89,0.163,0.0,0.25,0.4,0.6,0.5,False
35,35,35,35,35,38,16426,Thairo Estrada,SFG,26,0.269,0.319,0.42,0.813,642731,137,Austin Gomber,1.0,Oracle Park,9.0,596295,5.64,9.99,6.93,1.41,0.283,0.0,0.25,0.5,0.0,0.0,True
36,36,36,36,36,39,17273,Jorge Mateo,BAL,27,0.218,0.267,0.391,0.6970000000000001,622761,110,Carlos Hernandez,1.0,Oriole Park at Camden Yards,30.0,672578,9.09,13.9,4.81,2.14,0.359,0.25,0.25,0.667,0.25,0.0,True
37,37,37,37,37,40,16478,Kyle Schwarber,PHI,29,0.207,0.31,0.499,0.72,656941,143,Chris Flexen,0.0,T-Mobile Park,27.0,623167,3.92,9.0,6.23,1.37,0.257,0.5,0.25,0.25,0.333,0.0,False
38,38,38,38,38,41,13613,Ketel Marte,ARI,28,0.261,0.346,0.445,0.804,606466,109,Elieser Hernandez,1.0,Chase Field,13.0,622694,6.0,9.33,8.83,1.39,0.26,0.75,0.333,0.333,1.0,0.25,True
