,Unnamed: 0,Unnamed: 0.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Luis Garcia,0.0,Minute Maid Park,32.0,472610,3.51,8.78,9.44,1.27,0.252,0.333,0.0,0.25,0.25,0.0,False
1,1,1,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Joe Musgrove,1.0,Dodger Stadium,17.0,605397,2.91,7.16,8.79,1.02,0.216,0.5,0.4,0.25,0.4,0.25,False
2,2,2,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Chris Archer,1.0,Progressive Field,7.0,502042,4.02,7.01,7.58,1.29,0.212,0.2,0.25,0.25,0.0,0.75,True
3,3,3,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Aaron Nola,0.0,Citizens Bank Park,16.0,605400,3.17,7.28,9.77,0.95,0.219,0.0,0.0,0.167,0.5,0.5,False
4,4,5,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Mitch White,0.0,Dodger Stadium,17.0,669952,5.79,11.57,3.86,1.5,0.3,0.0,0.5,0.25,0.6,0.75,True
5,5,6,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Aaron Nola,0.0,Citizens Bank Park,16.0,605400,3.17,7.28,9.77,0.95,0.219,0.0,0.25,0.0,0.5,0.0,True
6,6,8,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Joe Musgrove,1.0,Dodger Stadium,17.0,605397,2.91,7.16,8.79,1.02,0.216,0.2,0.2,0.0,0.167,0.5,False
7,7,9,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Ian Anderson,1.0,Citizens Bank Park,16.0,666120,5.11,9.37,7.92,1.54,0.266,0.0,0.25,0.333,0.0,0.25,True
8,8,11,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Luis Severino,1.0,Minute Maid Park,32.0,622663,3.45,7.01,9.94,1.07,0.211,0.0,0.0,0.333,0.333,0.0,False
9,9,12,19950,Andres Gimenez,CLE,23,0.302,0.365,0.484,0.743,665926,114,Chris Archer,1.0,Progressive Field,7.0,502042,4.02,7.01,7.58,1.29,0.212,0.25,0.0,0.0,0.333,0.667,True
10,10,13,14161,Byron Buxton,MIN,28,0.222,0.301,0.549,0.6890000000000001,621439,142,Shane Bieber,0.0,Progressive Field,7.0,669456,3.21,7.86,9.16,1.09,0.233,0.0,0.0,0.4,0.0,1.0,False
11,11,14,19197,Will Smith,LAD,27,0.275,0.361,0.477,0.8290000000000001,669257,119,Joe Musgrove,1.0,Dodger Stadium,17.0,605397,2.91,7.16,8.79,1.02,0.216,0.4,0.0,0.333,0.25,0.4,False
12,12,15,19352,Sean Murphy,OAK,27,0.245,0.32,0.43,0.775,669221,133,Logan Gilbert,0.0,T-Mobile Park,27.0,669302,3.47,8.57,8.3,1.23,0.248,0.0,0.0,0.4,0.5,0.0,True
13,13,16,18036,Jake Cronenworth,SDP,28,0.237,0.34,0.388,0.846,630105,135,Mitch White,0.0,Dodger Stadium,17.0,669952,5.79,11.57,3.86,1.5,0.3,0.6,0.0,0.0,0.0,0.0,True
14,14,17,22581,Alejandro Kirk,TOR,23,0.305,0.388,0.461,0.86,672386,141,Matt Wisler,1.0,Rogers Centre,2.0,605538,2.36,6.21,7.29,1.02,0.192,0.0,1.0,0.333,0.5,0.0,True
15,15,18,19611,Vladimir Guerrero Jr.,TOR,23,0.287,0.359,0.504,0.7829999999999999,665489,141,Matt Wisler,1.0,Rogers Centre,2.0,605538,2.36,6.21,7.29,1.02,0.192,0.0,0.5,0.25,0.5,0.25,False
16,16,19,19955,Gavin Lux,LAD,24,0.297,0.37,0.425,0.8190000000000001,666158,119,Joe Musgrove,1.0,Dodger Stadium,17.0,605397,2.91,7.16,8.79,1.02,0.216,0.667,0.25,0.667,0.4,0.25,False
17,17,20,17678,Alex Bregman,HOU,28,0.251,0.356,0.422,0.86,608324,117,Luis Severino,1.0,Minute Maid Park,32.0,622663,3.45,7.01,9.94,1.07,0.211,0.25,0.6,0.333,0.0,0.333,True
18,18,21,16505,Matt Chapman,TOR,29,0.242,0.322,0.474,0.735,656305,141,Matt Wisler,1.0,Rogers Centre,2.0,605538,2.36,6.21,7.29,1.02,0.192,0.4,0.25,0.25,0.0,0.75,False
19,19,22,18345,Kyle Tucker,HOU,25,0.242,0.332,0.449,0.8059999999999999,663656,117,Luis Severino,1.0,Minute Maid Park,32.0,622663,3.45,7.01,9.94,1.07,0.211,0.333,0.333,0.0,0.0,0.25,False
20,20,23,10815,Jurickson Profar,SDP,29,0.252,0.344,0.416,0.831,595777,135,Mitch White,0.0,Dodger Stadium,17.0,669952,5.79,11.57,3.86,1.5,0.3,0.0,0.25,0.0,0.25,0.25,True
21,21,24,15986,Willy Adames,MIL,26,0.224,0.289,0.463,0.726,642715,158,JT Brubaker,0.0,PNC Park,10.0,664141,4.49,10.05,9.22,1.52,0.275,0.0,0.333,0.6,0.25,0.0,True
22,22,25,18577,Ke'Bryan Hayes,PIT,25,0.248,0.32,0.358,0.818,663647,134,Adrian Houser,1.0,PNC Park,10.0,605288,4.72,9.67,6.72,1.48,0.271,0.2,0.5,0.0,0.25,0.2,False
23,23,26,16472,Rhys Hoskins,PHI,29,0.253,0.344,0.496,0.7609999999999999,656555,143,Ian Anderson,1.0,Citizens Bank Park,16.0,666120,5.11,9.37,7.92,1.54,0.266,0.5,0.333,0.2,0.0,0.333,True
24,24,27,12552,Eugenio Suarez,SEA,30,0.227,0.329,0.415,0.677,553993,136,Adrian Martinez,1.0,T-Mobile Park,27.0,661309,6.08,10.27,7.23,1.44,0.284,0.25,0.333,0.25,0.25,0.4,False
25,25,29,18568,Luis Arraez,MIN,25,0.329,0.394,0.436,0.932,650333,142,Shane Bieber,0.0,Progressive Field,7.0,669456,3.21,7.86,9.16,1.09,0.233,0.0,0.2,0.5,0.0,0.5,True
26,26,30,12856,George Springer,TOR,32,0.251,0.331,0.464,0.733,543807,141,Matt Wisler,1.0,Rogers Centre,2.0,605538,2.36,6.21,7.29,1.02,0.192,0.2,0.25,0.25,0.25,0.0,True
27,27,31,27506,Ha-seong Kim,SDP,26,0.248,0.326,0.37,0.83,673490,135,Mitch White,0.0,Dodger Stadium,17.0,669952,5.79,11.57,3.86,1.5,0.3,0.5,0.5,0.0,0.0,0.333,False
