,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,9777,Nolan Arenado,STL,31,0.303,0.37,0.57,0.812,571448,138,Marcus Stroman,1.0,Busch Stadium,15.0,573186,4.20,8.17,8.39,1.16,.239,0.5,0.0,0.333,0.0,0.0,True
1,9218,Paul Goldschmidt,STL,34,0.331,0.414,0.619,0.768,502671,138,Marcus Stroman,1.0,Busch Stadium,15.0,573186,4.20,8.17,8.39,1.16,.239,0.667,0.0,0.25,0.25,0.5,True
2,5361,Freddie Freeman,LAD,32,0.324,0.4,0.523,0.8270000000000001,518692,119,Jakob Junis,0.0,Oracle Park,9.0,596001,3.78,8.53,7.83,1.20,.245,0.0,0.2,0.6,0.6,0.5,True
3,13510,Jose Ramirez,CLE,29,0.285,0.355,0.551,0.879,608070,114,Justin Verlander,1.0,Progressive Field,7.0,434378,1.85,6.15,8.87,0.86,.190,0.333,0.25,0.0,0.2,0.4,False
4,11493,Manny Machado,SDP,29,0.296,0.365,0.519,0.7759999999999999,592518,135,Kyle Freeland,1.0,Petco Park,31.0,607536,4.84,9.89,6.50,1.41,.280,0.75,0.0,0.0,0.25,0.0,True
5,12916,Francisco Lindor,NYM,28,0.27,0.348,0.462,0.7909999999999999,596019,121,Kyle Wright,1.0,Citi Field,22.0,657140,3.14,7.89,8.62,1.17,.235,0.333,0.333,0.2,0.6,0.75,False
6,19556,Yordan Alvarez,HOU,25,0.296,0.401,0.63,0.799,670541,117,Zach Plesac,0.0,Progressive Field,7.0,668676,4.32,9.18,7.06,1.32,.257,0.0,0.25,0.0,0.2,0.0,True
7,18314,Dansby Swanson,ATL,28,0.292,0.345,0.46,0.7070000000000001,621020,144,Carlos Carrasco,0.0,Citi Field,22.0,471911,3.76,9.19,8.90,1.28,.266,0.25,0.75,0.25,0.25,0.5,False
8,18360,Austin Riley,ATL,25,0.297,0.357,0.589,0.741,663586,144,Carlos Carrasco,0.0,Citi Field,22.0,471911,3.76,9.19,8.90,1.28,.266,0.25,0.25,0.5,0.25,0.75,False
9,13611,Mookie Betts,LAD,29,0.272,0.344,0.53,0.8640000000000001,605141,119,Jakob Junis,0.0,Oracle Park,9.0,596001,3.78,8.53,7.83,1.20,.245,0.0,0.6,0.2,0.2,0.0,True
10,17350,Rafael Devers,BOS,25,0.307,0.364,0.577,0.733,646240,111,Kris Bubic,0.0,Kauffman Stadium,5.0,663460,5.02,9.52,7.64,1.56,.271,0.0,0.5,0.333,0.0,0.333,True
11,16252,Trea Turner,LAD,29,0.309,0.348,0.503,0.758,607208,119,Jakob Junis,0.0,Oracle Park,9.0,596001,3.78,8.53,7.83,1.20,.245,0.0,0.25,0.333,0.2,0.25,True
12,12161,Xander Bogaerts,BOS,29,0.307,0.378,0.448,0.763,593428,111,Kris Bubic,0.0,Kauffman Stadium,5.0,663460,5.02,9.52,7.64,1.56,.271,0.25,0.0,0.4,0.333,0.0,False
13,19950,Andres Gimenez,CLE,23,0.303,0.368,0.479,0.746,665926,114,Justin Verlander,1.0,Progressive Field,7.0,434378,1.85,6.15,8.87,0.86,.190,0.0,0.5,0.8,0.0,0.5,False
14,13624,Corey Seager,TEX,28,0.252,0.33,0.47,0.753,608369,140,Johnny Cueto,1.0,Globe Life Field,14.0,456501,2.91,9.00,6.00,1.23,.266,0.0,0.2,0.25,1.0,0.0,True
15,5417,Jose Altuve,HOU,32,0.28,0.367,0.503,0.852,514888,117,Zach Plesac,0.0,Progressive Field,7.0,668676,4.32,9.18,7.06,1.32,.257,1.0,0.4,0.25,0.667,0.25,True
16,19470,Tommy Edman,STL,27,0.255,0.317,0.362,0.82,669242,138,Marcus Stroman,1.0,Busch Stadium,15.0,573186,4.20,8.17,8.39,1.16,.239,0.5,0.0,0.333,0.0,0.5,True
17,14161,Byron Buxton,MIN,28,0.223,0.303,0.545,0.685,621439,142,Alek Manoah,1.0,Target Field,26.0,666201,2.56,7.16,8.15,1.02,.217,0.333,0.0,0.667,0.333,0.0,False
18,11739,J.T. Realmuto,PHI,31,0.263,0.332,0.445,0.779,592663,143,Paolo Espino,1.0,Citizens Bank Park,16.0,502179,4.04,9.87,6.90,1.27,.276,0.0,0.0,0.6,1.0,0.0,False
19,19197,Will Smith,LAD,27,0.274,0.361,0.474,0.831,669257,119,Jakob Junis,0.0,Oracle Park,9.0,596001,3.78,8.53,7.83,1.20,.245,0.2,0.4,0.2,0.25,0.667,True
20,15362,Jeff McNeil,NYM,30,0.306,0.36,0.446,0.853,643446,121,Kyle Wright,1.0,Citi Field,22.0,657140,3.14,7.89,8.62,1.17,.235,0.6,0.25,0.667,0.6,0.5,True
21,12927,Brandon Nimmo,NYM,29,0.267,0.352,0.417,0.828,607043,121,Kyle Wright,1.0,Citi Field,22.0,657140,3.14,7.89,8.62,1.17,.235,0.75,0.0,0.8,0.167,0.2,False
22,21479,Nico Hoerner,CHC,25,0.299,0.342,0.419,0.858,663538,112,Miles Mikolas,0.0,Busch Stadium,15.0,571945,3.50,8.09,6.88,1.09,.239,0.25,0.0,0.0,0.0,0.0,True
23,19352,Sean Murphy,OAK,27,0.243,0.321,0.424,0.775,669221,133,Janson Junk,0.0,Angel Stadium,4.0,676083,6.48,10.80,11.88,1.56,.294,0.5,0.667,0.0,0.25,0.0,True
