,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Ryan Yarbrough,0.0,Tropicana Field,21.0,642232,5.08,9.85,6.35,1.36,0.277,0.25,0.0,0.667,0.75,0.25,True
1,1,1,1,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Eric Lauer,1.0,Busch Stadium,15.0,641778,3.59,7.75,8.87,1.22,0.23,0.0,0.75,0.5,0.0,0.0,False
2,2,2,2,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Eric Lauer,1.0,Busch Stadium,15.0,641778,3.59,7.75,8.87,1.22,0.23,0.667,0.2,0.8,0.25,0.75,True
3,3,3,3,3,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Humberto Castellanos,0.0,Chase Field,13.0,528748,5.68,10.15,6.5,1.4,0.289,0.0,0.0,0.6,0.0,0.0,True
4,4,4,4,4,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Tarik Skubal,0.0,Comerica Park,25.0,669373,3.52,7.95,8.95,1.16,0.237,0.333,0.5,0.4,0.0,0.5,True
5,5,5,5,5,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Aaron Nola,1.0,Truist Park,12.0,605400,3.17,7.28,9.77,0.95,0.219,0.8,0.75,0.5,0.25,0.25,True
6,6,6,6,6,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Aaron Nola,1.0,Truist Park,12.0,605400,3.17,7.28,9.77,0.95,0.219,0.5,0.5,0.5,0.0,0.0,True
7,7,7,7,7,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Humberto Castellanos,0.0,Chase Field,13.0,528748,5.68,10.15,6.5,1.4,0.289,0.0,0.75,0.667,0.25,0.75,True
8,8,8,8,8,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Dallas Keuchel,0.0,Guaranteed Rate Field,23.0,572971,9.64,13.02,8.68,1.82,0.329,0.2,0.4,0.25,0.75,0.0,True
9,9,9,9,9,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Humberto Castellanos,0.0,Chase Field,13.0,528748,5.68,10.15,6.5,1.4,0.289,0.333,0.25,0.25,0.6,0.2,True
