,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,15640,Aaron Judge,NYY,30,0.305,0.4,0.688,0.736,592450,147,Kris Bubic,1,Yankee Stadium,6,663460,5.02,9.52,7.64,1.56,.271,0.333,0.0,0.5,0.5,0.8,True
1,9777,Nolan Arenado,STL,31,0.303,0.37,0.57,0.812,571448,138,Anibal Sanchez,0,Nationals Park,29,434671,7.20,10.20,6.60,1.60,.286,0.0,0.6,0.4,0.0,0.5,False
2,9218,Paul Goldschmidt,STL,34,0.331,0.414,0.619,0.768,502671,138,Anibal Sanchez,0,Nationals Park,29,434671,7.20,10.20,6.60,1.60,.286,0.5,0.5,0.4,0.4,0.0,True
3,5361,Freddie Freeman,LAD,32,0.324,0.4,0.523,0.8270000000000001,518692,119,Chad Kuhl,0,Coors Field,1,641771,5.16,9.70,6.64,1.52,.273,0.333,0.5,0.333,0.0,0.4,False
4,13510,Jose Ramirez,CLE,29,0.285,0.355,0.551,0.879,608070,114,Jeffrey Springs,0,Tropicana Field,21,605488,2.56,7.90,9.71,1.09,.232,0.25,0.0,0.333,0.5,0.5,True
5,11493,Manny Machado,SDP,29,0.296,0.365,0.519,0.7759999999999999,592518,135,Joe Ryan,1,Petco Park,31,657746,3.95,7.71,8.75,1.13,.226,0.0,0.4,0.0,0.6,0.25,True
6,12916,Francisco Lindor,NYM,28,0.27,0.348,0.462,0.7909999999999999,596019,121,Sandy Alcantara,0,loanDepot park,20,645261,2.01,6.29,7.86,0.95,.198,0.333,0.5,0.4,0.25,0.0,True
7,19556,Yordan Alvarez,HOU,25,0.296,0.401,0.63,0.799,670541,117,Robbie Ray,1,Minute Maid Park,32,592662,3.90,7.48,10.32,1.19,.225,0.333,0.5,0.667,0.0,0.0,True
8,18314,Dansby Swanson,ATL,28,0.292,0.345,0.46,0.7070000000000001,621020,144,Madison Bumgarner,1,Truist Park,12,518516,4.13,9.74,6.49,1.40,.272,0.5,0.6,0.0,0.2,0.5,True
9,18360,Austin Riley,ATL,25,0.297,0.357,0.589,0.741,663586,144,Madison Bumgarner,1,Truist Park,12,518516,4.13,9.74,6.49,1.40,.272,0.0,0.667,0.5,0.333,0.75,True
10,13611,Mookie Betts,LAD,29,0.272,0.344,0.53,0.8640000000000001,605141,119,Chad Kuhl,0,Coors Field,1,641771,5.16,9.70,6.64,1.52,.273,0.333,0.667,0.2,0.0,0.25,True
12,16252,Trea Turner,LAD,29,0.309,0.348,0.503,0.758,607208,119,Chad Kuhl,0,Coors Field,1,641771,5.16,9.70,6.64,1.52,.273,0.75,0.25,0.5,0.5,0.2,True
13,12161,Xander Bogaerts,BOS,29,0.307,0.378,0.448,0.763,593428,111,Brandon Woodruff,1,Fenway Park,3,605540,3.52,7.63,10.66,1.14,.226,0.5,0.333,0.75,0.25,0.25,False
14,19950,Andres Gimenez,CLE,23,0.303,0.368,0.479,0.746,665926,114,Jeffrey Springs,0,Tropicana Field,21,605488,2.56,7.90,9.71,1.09,.232,0.0,0.0,0.0,0.333,0.25,True
15,9874,DJ LeMahieu,NYY,33,0.282,0.385,0.422,0.882,518934,147,Kris Bubic,1,Yankee Stadium,6,663460,5.02,9.52,7.64,1.56,.271,0.5,0.0,0.2,0.4,0.333,False
17,5417,Jose Altuve,HOU,32,0.28,0.367,0.503,0.852,514888,117,Robbie Ray,1,Minute Maid Park,32,592662,3.90,7.48,10.32,1.19,.225,0.25,0.0,0.0,0.2,0.4,False
18,19470,Tommy Edman,STL,27,0.255,0.317,0.362,0.82,669242,138,Anibal Sanchez,0,Nationals Park,29,434671,7.20,10.20,6.60,1.60,.286,0.0,0.5,0.0,0.333,0.25,True
19,14161,Byron Buxton,MIN,28,0.223,0.303,0.545,0.685,621439,142,Blake Snell,0,Petco Park,31,605483,3.96,7.56,11.77,1.33,.226,0.0,0.4,0.0,0.25,0.667,True
