,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Dylan Bundy,0.0,Target Field,26.0,605164,5.01,9.74,7.14,1.3,0.272,0.0,0.4,0.2,0.333,0.8,True
1,1,1,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Shane McClanahan,0.0,Tropicana Field,21.0,663556,2.24,5.89,11.29,0.83,0.184,0.0,0.2,0.0,0.333,0.5,True
2,2,2,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Shane McClanahan,0.0,Tropicana Field,21.0,663556,2.24,5.89,11.29,0.83,0.184,0.333,0.25,0.4,0.2,0.0,False
3,3,3,3,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Dylan Cease,0.0,Guaranteed Rate Field,23.0,656302,1.98,6.53,12.18,1.16,0.198,0.0,0.0,0.4,0.4,0.25,True
4,4,4,4,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,James Kaprielian,1.0,Progressive Field,7.0,621076,4.38,7.97,6.28,1.32,0.235,0.5,0.0,0.0,0.0,0.5,True
5,5,5,5,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,JT Brubaker,1.0,Truist Park,12.0,664141,4.49,10.05,9.22,1.52,0.275,0.25,0.5,0.333,0.0,0.75,True
6,6,6,6,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,JT Brubaker,1.0,Truist Park,12.0,664141,4.49,10.05,9.22,1.52,0.275,0.5,0.0,0.2,0.4,0.0,True
7,7,7,7,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Dylan Cease,0.0,Guaranteed Rate Field,23.0,656302,1.98,6.53,12.18,1.16,0.198,0.0,0.25,0.0,0.4,0.25,False
8,8,8,8,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Shohei Ohtani,0.0,Angel Stadium,4.0,660271,2.68,7.22,12.73,1.05,0.214,0.5,0.25,0.667,0.25,0.2,False
9,9,9,9,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Dylan Cease,0.0,Guaranteed Rate Field,23.0,656302,1.98,6.53,12.18,1.16,0.198,0.5,0.333,0.5,0.0,0.5,True
10,10,10,11,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Corbin Burnes,0.0,American Family Field,18.0,669203,2.45,5.89,11.58,0.93,0.183,0.2,0.0,0.0,0.75,0.333,False
11,11,11,12,9874,DJ LeMahieu,NYY,33,0.286,0.388,0.429,0.8809999999999999,518934,147,Dylan Bundy,0.0,Target Field,26.0,605164,5.01,9.74,7.14,1.3,0.272,0.0,0.75,0.0,0.5,0.25,True
12,12,12,13,19470,Tommy Edman,STL,27,0.258,0.322,0.367,0.821,669242,138,Shane McClanahan,0.0,Tropicana Field,21.0,663556,2.24,5.89,11.29,0.83,0.184,0.333,0.2,0.25,0.333,0.25,False
13,13,13,14,19950,Andres Gimenez,CLE,23,0.302,0.365,0.484,0.743,665926,114,James Kaprielian,1.0,Progressive Field,7.0,621076,4.38,7.97,6.28,1.32,0.235,0.5,0.0,0.5,0.25,0.5,True
14,14,14,15,14161,Byron Buxton,MIN,28,0.222,0.301,0.549,0.6890000000000001,621439,142,Gerrit Cole,1.0,Target Field,26.0,543037,3.38,7.03,11.58,1.02,0.211,0.5,0.25,0.0,0.6,0.333,True
15,15,15,16,19197,Will Smith,LAD,27,0.275,0.361,0.477,0.8290000000000001,669257,119,Dylan Cease,0.0,Guaranteed Rate Field,23.0,656302,1.98,6.53,12.18,1.16,0.198,0.5,0.25,0.2,1.0,0.0,True
16,16,16,17,15676,Jose Abreu,CHW,35,0.297,0.375,0.464,0.794,547989,145,Tyler Anderson,1.0,Guaranteed Rate Field,23.0,542881,2.72,7.21,7.14,1.0,0.219,0.0,0.5,0.5,0.0,0.5,False
