,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Noah Syndergaard,1,Yankee Stadium,6,592789,7.2,19.8,3.6,2.2,0.44,0.667,0.5,0.25,0.0,0.333,0.25,False
1,1,1,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Blake Snell,1,Busch Stadium,15,605483,3.96,7.56,11.77,1.33,0.226,0.0,0.0,0.0,0.0,0.0,0.0,True
2,2,2,2,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Mitch Keller,1,Dodger Stadium,17,656605,4.21,9.59,7.4,1.42,0.274,1.0,0.25,0.25,0.0,0.25,0.8,True
3,3,3,3,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Daniel Lynch,1,Progressive Field,7,663738,4.79,10.13,9.36,1.52,0.279,0.4,0.5,0.0,0.5,0.25,0.333,True
4,4,4,4,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Frankie Montas,0,Oakland Coliseum,19,593423,18.0,15.0,6.0,2.67,0.385,0.0,0.5,0.5,0.0,0.5,0.0,True
5,5,5,5,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Adam Wainwright,0,Busch Stadium,15,425794,3.42,8.64,7.24,1.24,0.253,0.286,0.2,0.0,0.0,0.5,0.0,False
6,6,6,6,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Patrick Corbin,1,Citi Field,22,571578,7.02,13.13,8.32,1.82,0.331,0.3,0.6,0.0,0.667,0.5,0.5,True
7,7,7,7,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Mitch Keller,1,Dodger Stadium,17,656605,4.21,9.59,7.4,1.42,0.274,1.0,0.75,0.0,0.5,0.2,0.6,False
8,8,8,8,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Jakob Junis,1,Citizens Bank Park,16,596001,3.05,7.84,7.69,1.1,0.23,0.0,0.25,0.667,0.0,0.333,0.5,True
9,9,9,9,9874,DJ LeMahieu,NYY,33,0.286,0.388,0.429,0.8809999999999999,518934,147,Noah Syndergaard,1,Yankee Stadium,6,592789,7.2,19.8,3.6,2.2,0.44,0.2,0.25,0.25,0.0,0.0,0.0,True
10,10,10,10,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Frankie Montas,0,Oakland Coliseum,19,593423,18.0,15.0,6.0,2.67,0.385,0.3,0.5,0.0,0.5,0.2,0.25,False
11,11,11,12,14161,Byron Buxton,MIN,28,0.222,0.301,0.549,0.6890000000000001,621439,142,Rony Garcia,0,Comerica Park,25,665621,4.41,7.06,8.47,1.04,0.213,0.333,0.0,0.333,0.2,0.2,0.0,True
12,12,12,13,15362,Jeff McNeil,NYM,30,0.306,0.362,0.445,0.852,643446,121,Patrick Corbin,1,Citi Field,22,571578,7.02,13.13,8.32,1.82,0.331,0.227,0.0,0.0,0.333,0.25,0.0,True
13,13,13,14,15676,Jose Abreu,CHW,35,0.297,0.375,0.464,0.794,547989,145,Kevin Gausman,0,Rogers Centre,2,592332,2.91,9.56,10.48,1.23,0.27,0.333,0.2,0.333,0.5,0.5,0.667,True
14,14,14,15,19352,Sean Murphy,OAK,27,0.245,0.32,0.43,0.775,669221,133,Cristian Javier,1,Oakland Coliseum,19,664299,3.14,6.19,11.84,1.05,0.191,0.143,0.0,0.333,0.0,0.5,0.25,False
15,15,15,16,18036,Jake Cronenworth,SDP,28,0.237,0.34,0.388,0.846,630105,135,Adam Wainwright,0,Busch Stadium,15,425794,3.42,8.64,7.24,1.24,0.253,0.6,0.5,0.0,0.2,0.25,0.25,False
16,16,16,17,19251,Pete Alonso,NYM,27,0.278,0.357,0.541,0.777,624413,121,Patrick Corbin,1,Citi Field,22,571578,7.02,13.13,8.32,1.82,0.331,0.344,0.25,0.5,0.333,1.0,0.0,True
17,17,17,18,22581,Alejandro Kirk,TOR,23,0.305,0.388,0.461,0.86,672386,141,Lucas Giolito,1,Rogers Centre,2,608337,4.91,9.99,10.16,1.5,0.283,0.0,0.5,1.0,0.5,0.5,0.25,True
