,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Jeffrey Springs,0.0,Tropicana Field,21.0,605488,2.5,7.94,9.42,1.08,0.233,1.0,0.333,0.25,0.0,0.667,0.25,False
1,1,1,1,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Brandon Woodruff,1.0,Busch Stadium,15.0,605540,3.49,7.84,11.01,1.19,0.231,0.188,0.0,0.0,0.75,0.5,0.0,False
2,2,2,2,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Brandon Woodruff,1.0,Busch Stadium,15.0,605540,3.49,7.84,11.01,1.19,0.231,0.222,0.5,0.667,0.2,0.8,0.25,True
3,3,3,3,3,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Madison Bumgarner,0.0,Chase Field,13.0,518516,3.96,9.62,6.21,1.39,0.269,0.231,0.8,0.0,0.0,0.6,0.0,True
4,4,4,4,5,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Trevor Rogers,1.0,Truist Park,12.0,669432,5.85,10.16,8.52,1.6,0.283,0.556,0.25,0.8,0.75,0.5,0.25,False
5,5,5,5,6,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Chris Flexen,0.0,T-Mobile Park,27.0,623167,3.92,9.0,6.23,1.37,0.257,0.429,0.0,0.25,0.0,0.25,0.5,True
6,6,6,6,7,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Jose Quintana,1.0,Petco Park,31.0,500779,1.5,1.5,10.5,0.5,0.056,0.238,0.0,0.5,0.0,1.0,0.2,False
7,7,7,7,8,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Trevor Rogers,1.0,Truist Park,12.0,669432,5.85,10.16,8.52,1.6,0.283,0.167,0.25,0.5,0.5,0.5,0.0,True
8,8,8,8,9,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Madison Bumgarner,0.0,Chase Field,13.0,518516,3.96,9.62,6.21,1.39,0.269,0.333,0.6,0.0,0.75,0.667,0.25,True
9,9,9,9,10,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Madison Bumgarner,0.0,Chase Field,13.0,518516,3.96,9.62,6.21,1.39,0.269,0.25,0.5,0.333,0.25,0.25,0.6,True
