,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,15640,Aaron Judge,NYY,30,0.305,0.4,0.688,0.736,592450,147,Tyler Wells,0.0,Oriole Park at Camden Yards,30.0,669330,3.90,7.80,6.46,1.11,.232,0.364,0.0,0.25,0.667,1.0,0.0,True
1,5361,Freddie Freeman,LAD,32,0.324,0.4,0.523,0.8270000000000001,518692,119,Logan Webb,1.0,Dodger Stadium,17.0,657277,3.00,7.86,7.44,1.13,.234,0.444,0.5,0.5,0.25,0.667,1.0,True
2,13510,Jose Ramirez,CLE,29,0.285,0.355,0.551,0.879,608070,114,Lucas Giolito,0.0,Guaranteed Rate Field,23.0,608337,4.92,10.01,10.09,1.49,.284,0.258,0.5,0.333,0.25,0.0,0.333,True
3,11493,Manny Machado,SDP,29,0.296,0.365,0.519,0.7759999999999999,592518,135,Max Scherzer,0.0,Citi Field,22.0,453286,1.93,6.84,11.05,0.93,.209,0.17,0.0,0.333,0.25,0.5,0.25,False
4,12916,Francisco Lindor,NYM,28,0.27,0.348,0.462,0.7909999999999999,596019,121,Yu Darvish,1.0,Citi Field,22.0,506433,3.40,7.38,9.04,1.01,.220,0.385,0.5,0.333,0.25,0.25,0.2,False
5,19556,Yordan Alvarez,HOU,25,0.296,0.401,0.63,0.799,670541,117,Marco Gonzales,0.0,T-Mobile Park,27.0,594835,4.18,9.88,5.15,1.41,.280,0.4,0.5,0.0,0.25,0.25,0.25,True
6,13611,Mookie Betts,LAD,29,0.272,0.344,0.53,0.8640000000000001,605141,119,Logan Webb,1.0,Dodger Stadium,17.0,657277,3.00,7.86,7.44,1.13,.234,0.0,0.25,0.25,0.0,0.25,0.167,True
7,17350,Rafael Devers,BOS,25,0.307,0.364,0.577,0.733,646240,111,Kevin Gausman,1.0,Fenway Park,3.0,592332,2.91,9.56,10.48,1.23,.270,0.143,0.0,0.333,0.25,0.5,0.25,True
8,16252,Trea Turner,LAD,29,0.309,0.348,0.503,0.758,607208,119,Logan Webb,1.0,Dodger Stadium,17.0,657277,3.00,7.86,7.44,1.13,.234,0.0,0.4,0.5,0.25,0.25,0.4,True
9,12161,Xander Bogaerts,BOS,29,0.307,0.378,0.448,0.763,593428,111,Kevin Gausman,1.0,Fenway Park,3.0,592332,2.91,9.56,10.48,1.23,.270,0.333,0.0,0.333,0.4,0.5,0.667,False
10,19950,Andres Gimenez,CLE,23,0.303,0.368,0.479,0.746,665926,114,Lucas Giolito,0.0,Guaranteed Rate Field,23.0,608337,4.92,10.01,10.09,1.49,.284,0.0,0.0,0.667,0.667,0.0,0.333,True
11,9874,DJ LeMahieu,NYY,33,0.282,0.385,0.422,0.882,518934,147,Tyler Wells,0.0,Oriole Park at Camden Yards,30.0,669330,3.90,7.80,6.46,1.11,.232,0.0,1.0,0.333,0.75,0.333,0.6,True
12,13624,Corey Seager,TEX,28,0.252,0.33,0.47,0.753,608369,140,Cole Irvin,0.0,Oakland Coliseum,19.0,608344,2.92,7.59,6.13,1.03,.226,0.0,0.4,0.5,0.25,0.333,0.333,False
14,19197,Will Smith,LAD,27,0.274,0.361,0.474,0.831,669257,119,Logan Webb,1.0,Dodger Stadium,17.0,657277,3.00,7.86,7.44,1.13,.234,0.0,0.0,0.0,1.0,0.667,0.25,False
15,15362,Jeff McNeil,NYM,30,0.306,0.36,0.446,0.853,643446,121,Yu Darvish,1.0,Citi Field,22.0,506433,3.40,7.38,9.04,1.01,.220,0.111,0.0,0.2,0.0,0.25,0.0,False
16,12927,Brandon Nimmo,NYM,29,0.267,0.352,0.417,0.828,607043,121,Yu Darvish,1.0,Citi Field,22.0,506433,3.40,7.38,9.04,1.01,.220,0.0,0.333,0.0,0.2,0.75,0.4,False
17,15676,Jose Abreu,CHW,35,0.296,0.373,0.46,0.79,547989,145,Cal Quantrill,1.0,Guaranteed Rate Field,23.0,615698,3.67,8.58,5.95,1.22,.255,0.25,0.4,0.5,0.333,0.5,0.5,True
18,19352,Sean Murphy,OAK,27,0.243,0.321,0.424,0.775,669221,133,Spencer Howard,1.0,Oakland Coliseum,19.0,675921,7.41,11.95,7.65,1.73,.309,0.5,0.0,0.25,0.25,0.5,0.25,True
19,18036,Jake Cronenworth,SDP,28,0.239,0.341,0.387,0.847,630105,135,Max Scherzer,0.0,Citi Field,22.0,453286,1.93,6.84,11.05,0.93,.209,0.0,0.25,0.25,0.0,0.333,0.667,True
20,19251,Pete Alonso,NYM,27,0.281,0.361,0.54,0.778,624413,121,Yu Darvish,1.0,Citi Field,22.0,506433,3.40,7.38,9.04,1.01,.220,0.143,0.25,0.0,0.25,0.25,0.2,True
21,18345,Kyle Tucker,HOU,25,0.249,0.336,0.466,0.8079999999999999,663656,117,Marco Gonzales,0.0,T-Mobile Park,27.0,594835,4.18,9.88,5.15,1.41,.280,0.4,0.333,0.25,0.5,0.0,0.0,False
