,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Carlos Carrasco,1.0,Petco Park,31.0,471911,3.76,9.19,8.9,1.28,0.266,0.286,0.0,0.25,0.25,0.4,0.25,False
1,1,1,1,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Blake Snell,0.0,Petco Park,31.0,605483,3.96,7.56,11.77,1.33,0.226,0.1,0.5,0.2,0.0,0.333,0.2,True
2,2,2,2,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Noah Syndergaard,0.0,Angel Stadium,4.0,592789,7.2,19.8,3.6,2.2,0.44,0.143,0.667,0.25,0.2,0.25,0.5,True
3,3,3,3,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,Noah Syndergaard,0.0,Angel Stadium,4.0,592789,7.2,19.8,3.6,2.2,0.44,0.25,0.0,0.667,0.4,0.5,0.0,True
4,4,4,4,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Robbie Ray,1.0,Minute Maid Park,32.0,592662,3.96,7.63,10.34,1.19,0.229,0.429,0.4,0.0,0.0,0.25,0.0,True
5,5,5,6,12927,Brandon Nimmo,NYM,29,0.271,0.355,0.425,0.83,607043,121,Blake Snell,0.0,Petco Park,31.0,605483,3.96,7.56,11.77,1.33,0.226,0.333,0.0,0.5,0.0,0.0,0.0,True
6,6,6,7,15362,Jeff McNeil,NYM,30,0.306,0.362,0.445,0.852,643446,121,Blake Snell,0.0,Petco Park,31.0,605483,3.96,7.56,11.77,1.33,0.226,0.667,0.2,0.0,0.5,0.75,0.0,True
7,7,7,8,19251,Pete Alonso,NYM,27,0.278,0.357,0.541,0.777,624413,121,Blake Snell,0.0,Petco Park,31.0,605483,3.96,7.56,11.77,1.33,0.226,0.2,0.2,0.6,0.25,0.0,0.0,True
8,8,8,9,22581,Alejandro Kirk,TOR,23,0.305,0.388,0.461,0.86,672386,141,Daniel Lynch,0.0,Kauffman Stadium,5.0,663738,4.79,10.13,9.36,1.52,0.279,0.0,0.333,0.5,0.667,0.0,0.75,True
9,9,9,10,19611,Vladimir Guerrero Jr.,TOR,23,0.287,0.359,0.504,0.7829999999999999,665489,141,Daniel Lynch,0.0,Kauffman Stadium,5.0,663738,4.79,10.13,9.36,1.52,0.279,0.333,0.333,0.2,0.25,0.25,0.4,True
10,10,10,11,17678,Alex Bregman,HOU,28,0.251,0.356,0.422,0.86,608324,117,Robbie Ray,1.0,Minute Maid Park,32.0,592662,3.96,7.63,10.34,1.19,0.229,0.2,0.2,0.25,0.0,0.0,0.0,False
11,11,11,12,18345,Kyle Tucker,HOU,25,0.242,0.332,0.449,0.8059999999999999,663656,117,Robbie Ray,1.0,Minute Maid Park,32.0,592662,3.96,7.63,10.34,1.19,0.229,0.5,0.667,0.333,0.2,0.25,0.5,True
12,12,12,13,10815,Jurickson Profar,SDP,29,0.252,0.344,0.416,0.831,595777,135,Carlos Carrasco,1.0,Petco Park,31.0,471911,3.76,9.19,8.9,1.28,0.266,0.6,0.4,0.0,0.6,0.0,0.25,True
13,13,13,15,12552,Eugenio Suarez,SEA,30,0.227,0.329,0.415,0.677,553993,136,Cristian Javier,0.0,Minute Maid Park,32.0,664299,3.14,6.19,11.84,1.05,0.191,0.0,0.75,0.5,0.333,0.2,0.25,False
14,14,14,16,17982,Ty France,SEA,27,0.298,0.368,0.463,0.838,664034,136,Cristian Javier,0.0,Minute Maid Park,32.0,664299,3.14,6.19,11.84,1.05,0.191,0.143,0.2,0.0,0.0,0.0,0.75,False
15,15,15,17,12856,George Springer,TOR,32,0.251,0.331,0.464,0.733,543807,141,Daniel Lynch,0.0,Kauffman Stadium,5.0,663738,4.79,10.13,9.36,1.52,0.279,0.667,0.4,0.25,0.25,0.4,0.333,False
16,16,16,18,19755,Shohei Ohtani,LAA,27,0.256,0.348,0.501,0.741,660271,108,Michael Wacha,1.0,Angel Stadium,4.0,608379,2.69,7.17,6.4,1.11,0.215,0.5,0.2,0.5,0.0,0.2,0.0,True
17,17,17,19,9241,Starling Marte,NYM,33,0.292,0.344,0.458,0.775,516782,121,Blake Snell,0.0,Petco Park,31.0,605483,3.96,7.56,11.77,1.33,0.226,0.333,0.2,0.4,0.0,0.0,0.25,True
18,18,18,21,19612,Bo Bichette,TOR,24,0.263,0.304,0.436,0.775,666182,141,Daniel Lynch,0.0,Kauffman Stadium,5.0,663738,4.79,10.13,9.36,1.52,0.279,0.333,0.0,0.4,0.25,0.2,0.0,True
