,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Dylan Bundy,0.0,Target Field,26.0,605164,5.01,9.74,7.14,1.3,0.272,0.263,0.0,0.4,0.2,0.333,0.8,True
1,1,1,1,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,JT Brubaker,1.0,Truist Park,12.0,664141,4.49,10.05,9.22,1.52,0.275,0.333,0.25,0.5,0.333,0.0,0.75,True
2,2,2,2,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,JT Brubaker,1.0,Truist Park,12.0,664141,4.49,10.05,9.22,1.52,0.275,0.667,0.5,0.0,0.2,0.4,0.0,True
3,3,3,3,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Shohei Ohtani,0.0,Angel Stadium,4.0,660271,2.68,7.22,12.73,1.05,0.214,0.286,0.5,0.25,0.667,0.25,0.2,False
4,4,4,5,9874,DJ LeMahieu,NYY,33,0.286,0.388,0.429,0.8809999999999999,518934,147,Dylan Bundy,0.0,Target Field,26.0,605164,5.01,9.74,7.14,1.3,0.272,0.222,0.0,0.75,0.0,0.5,0.25,True
5,5,5,6,19950,Andres Gimenez,CLE,23,0.302,0.365,0.484,0.743,665926,114,James Kaprielian,1.0,Progressive Field,7.0,621076,4.38,7.97,6.28,1.32,0.235,1.0,0.5,0.0,0.5,0.25,0.5,True
6,6,6,7,14161,Byron Buxton,MIN,28,0.222,0.301,0.549,0.6890000000000001,621439,142,Gerrit Cole,1.0,Target Field,26.0,543037,3.38,7.03,11.58,1.02,0.211,0.0,0.5,0.25,0.0,0.6,0.333,True
7,7,7,8,15676,Jose Abreu,CHW,35,0.297,0.375,0.464,0.794,547989,145,Tyler Anderson,1.0,Guaranteed Rate Field,23.0,542881,2.72,7.21,7.14,1.0,0.219,0.333,0.0,0.5,0.5,0.0,0.5,False
8,8,8,10,18577,Ke'Bryan Hayes,PIT,25,0.248,0.32,0.358,0.818,663647,134,Max Fried,0.0,Truist Park,12.0,608331,2.6,8.07,8.26,1.08,0.237,0.0,0.0,0.333,0.333,0.0,0.4,True
9,9,9,11,16472,Rhys Hoskins,PHI,29,0.253,0.344,0.496,0.7609999999999999,656555,143,Corbin Burnes,0.0,American Family Field,18.0,669203,2.45,5.89,11.58,0.93,0.183,0.0,0.2,0.4,0.0,0.0,0.25,True
