,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Michael Pineda,0.0,Comerica Park,25.0,501381,5.27,10.97,4.85,1.36,0.301,0.0,0.25,0.2,0.0,0.333,0.0,True
1,1,1,1,1,1,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Pablo Lopez,0.0,loanDepot park,20.0,641154,3.57,7.79,9.1,1.16,0.232,0.333,0.25,0.0,0.5,0.333,0.667,True
2,2,2,2,2,2,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Pablo Lopez,0.0,loanDepot park,20.0,641154,3.57,7.79,9.1,1.16,0.232,0.0,0.0,0.4,0.0,0.0,0.2,False
3,3,3,3,3,3,3,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Dylan Cease,1.0,Progressive Field,7.0,656302,1.98,6.53,12.18,1.16,0.198,0.222,0.333,0.25,0.25,0.667,0.333,True
4,4,4,4,4,4,4,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Anthony DeSclafani,1.0,Citi Field,22.0,543101,6.63,16.11,8.05,2.0,0.4,0.417,0.0,0.5,0.4,0.333,0.0,True
5,5,5,5,5,5,5,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Kevin Gausman,1.0,Fenway Park,3.0,592332,2.91,9.56,10.48,1.23,0.27,0.125,0.2,0.0,0.2,0.5,0.25,False
6,6,6,6,6,6,6,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,Kevin Gausman,1.0,Fenway Park,3.0,592332,2.91,9.56,10.48,1.23,0.27,0.3,0.5,0.0,0.6,0.75,0.25,True
7,7,7,7,7,7,7,9874,DJ LeMahieu,NYY,33,0.286,0.388,0.429,0.8809999999999999,518934,147,Michael Pineda,0.0,Comerica Park,25.0,501381,5.27,10.97,4.85,1.36,0.301,0.5,0.25,0.25,0.667,0.25,0.25,True
8,8,8,8,8,8,8,19470,Tommy Edman,STL,27,0.258,0.322,0.367,0.821,669242,138,Pablo Lopez,0.0,loanDepot park,20.0,641154,3.57,7.79,9.1,1.16,0.232,0.333,0.5,0.5,0.25,0.25,0.25,False
9,9,9,9,9,9,9,13624,Corey Seager,TEX,28,0.25,0.329,0.475,0.7559999999999999,608369,140,Marco Gonzales,0.0,T-Mobile Park,27.0,594835,3.98,9.63,5.21,1.39,0.274,0.333,0.5,0.25,0.0,0.25,0.5,False
