,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,15640,Aaron Judge,NYY,30,0.305,0.4,0.688,0.736,592450,147,Brady Singer,1.0,Yankee Stadium,6.0,663903,3.49,8.36,9.18,1.15,.248,0.6,0.0,0.5,0.5,0.8,0.5,True
1,5361,Freddie Freeman,LAD,32,0.324,0.4,0.523,0.8270000000000001,518692,119,Jose Urena,0.0,Coors Field,1.0,570632,5.02,10.05,5.02,1.60,.289,0.412,0.5,0.333,0.0,0.4,0.333,True
2,19556,Yordan Alvarez,HOU,25,0.296,0.401,0.63,0.799,670541,117,Logan Gilbert,1.0,Minute Maid Park,32.0,669302,3.47,8.57,8.30,1.23,.248,0.267,0.5,0.667,0.0,0.0,0.5,True
3,13611,Mookie Betts,LAD,29,0.272,0.344,0.53,0.8640000000000001,605141,119,Jose Urena,0.0,Coors Field,1.0,570632,5.02,10.05,5.02,1.60,.289,0.2,0.667,0.2,0.0,0.25,0.5,True
4,16252,Trea Turner,LAD,29,0.309,0.348,0.503,0.758,607208,119,Jose Urena,0.0,Coors Field,1.0,570632,5.02,10.05,5.02,1.60,.289,0.0,0.25,0.5,0.5,0.2,0.25,True
5,19950,Andres Gimenez,CLE,23,0.303,0.368,0.479,0.746,665926,114,Kutter Crawford,0.0,Fenway Park,3.0,676710,4.18,7.79,9.05,1.22,.231,0.0,0.0,0.0,0.333,0.25,0.5,False
7,13624,Corey Seager,TEX,28,0.252,0.33,0.47,0.753,608369,140,Shohei Ohtani,0.0,Angel Stadium,4.0,660271,2.68,7.22,12.73,1.05,.214,0.0,0.0,0.0,0.0,0.333,0.333,True
8,5417,Jose Altuve,HOU,32,0.28,0.367,0.503,0.852,514888,117,Logan Gilbert,1.0,Minute Maid Park,32.0,669302,3.47,8.57,8.30,1.23,.248,0.438,0.0,0.0,0.2,0.4,0.25,True
10,18345,Kyle Tucker,HOU,25,0.249,0.336,0.466,0.8079999999999999,663656,117,Logan Gilbert,1.0,Minute Maid Park,32.0,669302,3.47,8.57,8.30,1.23,.248,0.364,0.0,0.5,0.2,0.25,0.0,False
11,17678,Alex Bregman,HOU,28,0.255,0.364,0.43,0.861,608324,117,Logan Gilbert,1.0,Minute Maid Park,32.0,669302,3.47,8.57,8.30,1.23,.248,0.429,0.25,0.0,0.2,0.0,0.25,True
12,22581,Alejandro Kirk,TOR,23,0.302,0.384,0.457,0.856,672386,141,Tyler Alexander,1.0,Rogers Centre,2.0,641302,3.83,8.94,4.74,1.20,.262,0.667,0.0,0.2,0.333,0.5,0.25,True
13,19955,Gavin Lux,LAD,24,0.296,0.372,0.423,0.818,666158,119,Jose Urena,0.0,Coors Field,1.0,570632,5.02,10.05,5.02,1.60,.289,0.5,0.75,0.0,0.5,0.5,0.5,True
14,19611,Vladimir Guerrero Jr.,TOR,23,0.287,0.358,0.504,0.784,665489,141,Tyler Alexander,1.0,Rogers Centre,2.0,641302,3.83,8.94,4.74,1.20,.262,0.143,0.5,0.2,0.8,0.25,0.5,True
15,11609,Willson Contreras,CHC,30,0.25,0.362,0.457,0.711,575929,112,Alex Wood,0.0,Oracle Park,9.0,622072,4.17,8.73,8.81,1.20,.254,0.286,0.25,0.333,0.25,0.667,0.25,False
16,16505,Matt Chapman,TOR,29,0.24,0.32,0.47,0.737,656305,141,Tyler Alexander,1.0,Rogers Centre,2.0,641302,3.83,8.94,4.74,1.20,.262,0.0,0.333,0.667,0.5,0.333,0.5,True
17,17919,Ian Happ,CHC,27,0.278,0.356,0.434,0.7490000000000001,664023,112,Alex Wood,0.0,Oracle Park,9.0,622072,4.17,8.73,8.81,1.20,.254,0.286,0.25,0.5,0.25,0.2,0.667,True
18,19287,Adolis Garcia,TEX,29,0.255,0.304,0.458,0.68,666969,140,Shohei Ohtani,0.0,Angel Stadium,4.0,660271,2.68,7.22,12.73,1.05,.214,0.167,0.333,0.5,0.333,1.0,0.25,False
19,12552,Eugenio Suarez,SEA,30,0.226,0.33,0.414,0.6759999999999999,553993,136,Jose Urquidy,0.0,Minute Maid Park,32.0,664353,3.85,8.52,7.09,1.16,.245,0.444,0.0,0.333,0.333,0.0,0.0,False
20,12856,George Springer,TOR,32,0.251,0.331,0.464,0.733,543807,141,Tyler Alexander,1.0,Rogers Centre,2.0,641302,3.83,8.94,4.74,1.20,.262,1.0,0.0,0.6,0.333,0.333,0.2,True
21,15112,Ryan McMahon,COL,27,0.243,0.339,0.401,0.753,641857,115,Tyler Anderson,1.0,Coors Field,1.0,542881,2.72,7.21,7.14,1.00,.219,0.125,0.5,0.333,0.0,0.0,0.0,False
23,16472,Rhys Hoskins,PHI,29,0.248,0.338,0.484,0.7609999999999999,656555,143,Zach Thompson,0.0,PNC Park,10.0,605507,5.08,9.66,6.18,1.47,.269,1.0,0.333,0.25,0.0,0.5,0.0,True
24,17982,Ty France,SEA,27,0.294,0.363,0.455,0.8340000000000001,664034,136,Jose Urquidy,0.0,Minute Maid Park,32.0,664353,3.85,8.52,7.09,1.16,.245,0.429,0.0,1.0,0.4,0.0,0.25,True
26,19612,Bo Bichette,TOR,24,0.262,0.302,0.433,0.7759999999999999,666182,141,Tyler Alexander,1.0,Rogers Centre,2.0,641302,3.83,8.94,4.74,1.20,.262,0.0,0.25,0.5,0.0,0.0,0.6,True
27,12533,Marcus Semien,TEX,31,0.24,0.3,0.407,0.809,543760,140,Shohei Ohtani,0.0,Angel Stadium,4.0,660271,2.68,7.22,12.73,1.05,.214,0.2,0.0,0.0,0.0,0.25,0.2,True
28,3473,Anthony Rizzo,NYY,32,0.224,0.342,0.504,0.7959999999999999,519203,147,Brady Singer,1.0,Yankee Stadium,6.0,663903,3.49,8.36,9.18,1.15,.248,0.333,0.0,0.5,0.0,0.2,0.25,False
29,19755,Shohei Ohtani,LAA,27,0.253,0.345,0.494,0.738,660271,108,Spencer Howard,1.0,Angel Stadium,4.0,675921,7.41,11.95,7.65,1.73,.309,0.0,0.333,0.333,0.25,0.0,0.5,False
30,13066,Teoscar Hernandez,TOR,29,0.271,0.322,0.489,0.672,606192,141,Tyler Alexander,1.0,Rogers Centre,2.0,641302,3.83,8.94,4.74,1.20,.262,0.0,0.0,0.667,0.5,0.25,0.75,False
31,17273,Jorge Mateo,BAL,27,0.23,0.277,0.404,0.698,622761,110,Ryan Yarbrough,1.0,Oriole Park at Camden Yards,30.0,642232,5.08,9.85,6.35,1.36,.277,0.286,0.5,0.333,0.25,0.5,0.25,False
32,15518,Amed Rosario,CLE,26,0.284,0.318,0.407,0.823,642708,114,Kutter Crawford,0.0,Fenway Park,3.0,676710,4.18,7.79,9.05,1.22,.231,0.5,0.4,0.4,0.0,0.4,0.4,False
