,Unnamed: 0,Unnamed: 0.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Ross Stripling,0,Rogers Centre,2,548389,3.16,8.27,7.29,1.1,0.241,0.375,0.0,0.333,0.0,0.5,0.667,True
1,1,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Michael Wacha,0,Fenway Park,3,608379,2.69,7.17,6.4,1.11,0.215,0.462,0.25,0.0,0.0,0.2,0.667,True
2,2,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Michael Wacha,0,Fenway Park,3,608379,2.69,7.17,6.4,1.11,0.215,0.182,0.25,1.0,0.5,0.75,0.0,True
3,3,3,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Clayton Kershaw,0,Dodger Stadium,17,477132,2.64,7.28,9.28,0.98,0.218,0.0,0.25,0.8,0.5,0.25,0.25,True
4,4,4,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Keegan Thompson,0,Wrigley Field,24,624522,3.36,8.36,7.82,1.24,0.247,0.0,0.5,0.25,0.4,0.25,0.5,False
5,5,5,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Lucas Giolito,1,Minute Maid Park,32,608337,4.91,9.99,10.16,1.5,0.283,0.0,0.25,0.0,0.5,0.75,0.0,True
6,6,6,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Kyle Freeland,0,Coors Field,1,607536,4.56,9.5,6.66,1.36,0.272,0.31,0.6,0.75,0.0,0.25,0.5,True
7,7,7,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Pablo Lopez,1,Citi Field,22,641154,3.57,7.79,9.1,1.16,0.232,0.167,0.25,0.0,0.25,0.0,0.2,True
8,8,8,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Keegan Thompson,0,Wrigley Field,24,624522,3.36,8.36,7.82,1.24,0.247,1.0,0.6,0.0,0.0,0.0,0.5,False
9,9,10,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Zach Plesac,1,Dodger Stadium,17,668676,4.49,9.39,6.9,1.35,0.262,0.0,0.333,0.25,0.25,0.2,0.25,True
