,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Tyler Wells,1.0,Yankee Stadium,6.0,669330,3.9,7.8,6.46,1.11,0.232,0.375,0.0,0.667,0.25,0.75,0.333,True
1,1,1,1,1,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Erick Fedde,0.0,Nationals Park,29.0,607200,4.95,9.32,6.8,1.54,0.269,0.333,0.0,0.6,0.0,0.0,0.6,False
2,2,2,2,2,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Ranger Suarez,1.0,Truist Park,12.0,624133,3.68,8.97,7.62,1.37,0.258,0.0,0.75,0.5,0.25,0.25,0.25,True
3,3,3,3,3,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Jakob Junis,0.0,Oracle Park,9.0,596001,3.05,7.84,7.69,1.1,0.23,0.5,0.5,0.2,0.5,0.0,0.2,True
4,4,4,4,4,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Ranger Suarez,1.0,Truist Park,12.0,624133,3.68,8.97,7.62,1.37,0.258,0.5,0.5,0.5,0.0,0.0,0.0,True
5,5,5,5,5,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Erick Fedde,0.0,Nationals Park,29.0,607200,4.95,9.32,6.8,1.54,0.269,1.0,0.75,0.667,0.25,0.75,0.2,False
6,6,6,6,6,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Lucas Giolito,0.0,Guaranteed Rate Field,23.0,608337,4.91,9.99,10.16,1.5,0.283,0.2,0.4,0.25,0.75,0.0,0.2,True
7,7,7,7,7,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,Lucas Giolito,0.0,Guaranteed Rate Field,23.0,608337,4.91,9.99,10.16,1.5,0.283,0.25,0.25,0.0,0.5,0.0,0.2,True
8,8,8,8,8,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Charlie Morton,0.0,Truist Park,12.0,450203,4.26,7.63,10.35,1.21,0.23,0.333,0.333,0.5,0.0,0.0,0.25,True
9,9,9,9,10,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Cal Quantrill,1.0,Minute Maid Park,32.0,615698,3.88,9.0,5.78,1.28,0.265,0.4,0.5,0.25,0.5,0.0,0.8,True
10,10,10,10,11,13624,Corey Seager,TEX,28,0.25,0.329,0.475,0.7559999999999999,608369,140,Reid Detmers,0.0,Angel Stadium,4.0,672282,3.44,6.27,8.29,1.04,0.196,0.333,0.0,0.0,0.5,0.25,0.25,True
11,11,11,11,12,14161,Byron Buxton,MIN,28,0.222,0.301,0.549,0.6890000000000001,621439,142,Rony Garcia,1.0,Target Field,26.0,665621,4.41,7.06,8.47,1.04,0.213,1.0,0.0,0.0,0.0,0.0,0.0,False
12,12,12,12,13,15676,Jose Abreu,CHW,35,0.297,0.375,0.464,0.794,547989,145,Rich Hill,1.0,Guaranteed Rate Field,23.0,448179,4.75,9.39,6.84,1.35,0.266,0.333,0.667,0.25,0.5,0.2,0.0,True
13,13,13,13,15,19251,Pete Alonso,NYM,27,0.278,0.357,0.541,0.777,624413,121,Jakob Junis,0.0,Oracle Park,9.0,596001,3.05,7.84,7.69,1.1,0.23,0.333,0.0,0.6,0.0,0.5,0.4,False
14,14,14,14,16,11609,Willson Contreras,CHC,30,0.253,0.364,0.463,0.711,575929,112,Luis Castillo,0.0,Great American Ball Park,8.0,622491,1.84,4.91,9.2,0.89,0.163,0.467,0.5,0.0,0.0,0.0,0.0,False
15,15,15,15,17,21479,Nico Hoerner,CHC,25,0.297,0.34,0.411,0.857,663538,112,Luis Castillo,0.0,Great American Ball Park,8.0,622491,1.84,4.91,9.2,0.89,0.163,0.667,0.0,0.25,0.0,0.25,0.25,True
16,16,16,16,20,16472,Rhys Hoskins,PHI,29,0.253,0.344,0.496,0.7609999999999999,656555,143,Charlie Morton,0.0,Truist Park,12.0,450203,4.26,7.63,10.35,1.21,0.23,0.111,0.2,0.25,0.0,0.25,0.0,False
17,17,17,17,21,17919,Ian Happ,CHC,27,0.276,0.356,0.432,0.7490000000000001,664023,112,Luis Castillo,0.0,Great American Ball Park,8.0,622491,1.84,4.91,9.2,0.89,0.163,0.35,0.0,0.667,0.5,0.5,0.0,True
18,18,18,18,22,17982,Ty France,SEA,27,0.298,0.368,0.463,0.838,664034,136,Paul Blackburn,1.0,T-Mobile Park,27.0,621112,4.28,8.89,7.19,1.26,0.255,0.125,0.333,0.5,0.4,0.2,0.5,True
19,19,19,19,23,18568,Luis Arraez,MIN,25,0.329,0.394,0.436,0.932,650333,142,Rony Garcia,1.0,Target Field,26.0,665621,4.41,7.06,8.47,1.04,0.213,1.0,0.5,1.0,0.6,0.667,0.0,True
20,20,20,20,24,19287,Adolis Garcia,TEX,29,0.248,0.298,0.456,0.677,666969,140,Reid Detmers,0.0,Angel Stadium,4.0,672282,3.44,6.27,8.29,1.04,0.196,0.333,0.5,0.0,0.5,0.0,0.25,False
21,21,21,21,25,3473,Anthony Rizzo,NYY,32,0.227,0.347,0.511,0.8,519203,147,Tyler Wells,1.0,Yankee Stadium,6.0,669330,3.9,7.8,6.46,1.11,0.232,0.0,0.333,0.333,0.5,0.0,0.0,False
22,22,22,22,26,19755,Shohei Ohtani,LAA,27,0.256,0.348,0.501,0.741,660271,108,Glenn Otto,1.0,Angel Stadium,4.0,657248,5.31,8.19,7.38,1.41,0.247,0.25,0.0,0.4,0.5,0.0,0.0,False
23,23,23,23,28,15518,Amed Rosario,CLE,26,0.29,0.324,0.417,0.8240000000000001,642708,114,Cristian Javier,0.0,Minute Maid Park,32.0,664299,3.14,6.19,11.84,1.05,0.191,0.0,0.0,0.25,0.25,0.5,0.333,True
24,24,24,24,29,12533,Marcus Semien,TEX,31,0.239,0.298,0.403,0.8079999999999999,543760,140,Reid Detmers,0.0,Angel Stadium,4.0,672282,3.44,6.27,8.29,1.04,0.196,0.333,0.0,0.25,0.25,0.333,0.25,True
25,25,25,25,30,15172,Tim Anderson,CHW,29,0.301,0.339,0.395,0.795,641313,145,Rich Hill,1.0,Guaranteed Rate Field,23.0,448179,4.75,9.39,6.84,1.35,0.266,0.0,0.667,0.6,0.5,0.667,0.6,False
26,26,26,26,32,11477,Christian Yelich,MIL,30,0.262,0.365,0.39,0.7829999999999999,592885,158,Yu Darvish,0.0,Petco Park,31.0,506433,3.28,7.24,8.84,1.0,0.217,0.25,0.25,0.25,0.0,0.4,0.5,False
27,27,27,27,33,16478,Kyle Schwarber,PHI,29,0.207,0.31,0.499,0.72,656941,143,Charlie Morton,0.0,Truist Park,12.0,450203,4.26,7.63,10.35,1.21,0.23,0.333,0.333,0.0,0.333,0.25,0.5,False
28,28,28,28,35,16997,Gleyber Torres,NYY,25,0.254,0.306,0.45,0.741,650402,147,Tyler Wells,1.0,Yankee Stadium,6.0,669330,3.9,7.8,6.46,1.11,0.232,0.125,0.4,0.25,0.0,0.0,0.25,True
29,29,29,29,36,15491,J.P. Crawford,SEA,27,0.255,0.331,0.354,0.875,641487,136,Paul Blackburn,1.0,T-Mobile Park,27.0,621112,4.28,8.89,7.19,1.26,0.255,0.375,0.5,0.0,0.0,0.5,0.0,True
30,30,30,30,38,8709,Elvis Andrus,OAK,33,0.24,0.302,0.371,0.81,462101,133,Robbie Ray,0.0,T-Mobile Park,27.0,592662,3.96,7.63,10.34,1.19,0.229,0.118,0.5,0.333,0.0,0.0,0.0,True
31,31,31,31,39,21618,Alec Bohm,PHI,25,0.294,0.33,0.413,0.8009999999999999,664761,143,Charlie Morton,0.0,Truist Park,12.0,450203,4.26,7.63,10.35,1.21,0.23,0.333,0.25,0.5,0.2,0.25,0.0,True
32,32,32,32,40,5297,Aaron Hicks,NYY,32,0.222,0.348,0.314,0.763,543305,147,Tyler Wells,1.0,Yankee Stadium,6.0,669330,3.9,7.8,6.46,1.11,0.232,0.5,0.4,0.0,0.5,0.333,0.0,False
33,33,33,33,41,13602,Patrick Wisdom,CHC,30,0.22,0.315,0.443,0.6659999999999999,621550,112,Luis Castillo,0.0,Great American Ball Park,8.0,622491,1.84,4.91,9.2,0.89,0.163,0.333,0.4,0.25,0.667,0.25,0.25,False
34,34,34,34,42,6184,J.D. Martinez,BOS,34,0.281,0.345,0.447,0.716,502110,111,Lucas Giolito,0.0,Guaranteed Rate Field,23.0,608337,4.91,9.99,10.16,1.5,0.283,0.5,0.8,0.333,0.5,0.8,0.0,True
35,35,35,35,43,6153,Eduardo Escobar,NYM,33,0.22,0.273,0.39,0.753,500871,121,Jakob Junis,0.0,Oracle Park,9.0,596001,3.05,7.84,7.69,1.1,0.23,0.167,0.8,0.4,0.25,0.0,0.0,True
36,36,36,36,44,11265,Jonathan Schoop,DET,30,0.203,0.238,0.31,0.7559999999999999,570731,116,Dylan Bundy,0.0,Target Field,26.0,605164,5.01,9.74,7.14,1.3,0.272,0.333,0.5,0.4,0.333,0.0,0.0,False
37,37,37,37,47,7802,Miguel Rojas,MIA,33,0.233,0.282,0.335,0.852,500743,146,Drew Rasmussen,0.0,Tropicana Field,21.0,656876,2.96,8.08,7.39,1.17,0.238,0.0,0.0,0.0,0.333,0.75,0.0,True
38,38,38,38,49,16512,Isiah Kiner-Falefa,NYY,27,0.268,0.312,0.315,0.892,643396,147,Tyler Wells,1.0,Yankee Stadium,6.0,669330,3.9,7.8,6.46,1.11,0.232,0.0,0.4,0.0,0.25,0.0,0.25,False
39,39,39,39,50,9847,Andrew McCutchen,MIL,35,0.255,0.325,0.4,0.804,457705,158,Yu Darvish,0.0,Petco Park,31.0,506433,3.28,7.24,8.84,1.0,0.217,0.222,0.0,0.2,0.25,0.6,0.0,True
40,40,40,40,51,11342,Jesus Aguilar,MIA,32,0.241,0.287,0.391,0.745,542583,146,Drew Rasmussen,0.0,Tropicana Field,21.0,656876,2.96,8.08,7.39,1.17,0.238,0.0,0.25,0.5,0.0,0.4,0.0,False
41,41,41,41,52,10556,Cesar Hernandez,WSN,32,0.238,0.302,0.303,0.8109999999999999,514917,120,Julio Urias,1.0,Nationals Park,29.0,628711,2.49,6.97,8.58,0.97,0.21,0.0,0.2,0.333,0.5,0.25,0.0,True
