,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Nick Martinez,1.0,Busch Stadium,15.0,607259,3.35,8.53,8.1,1.32,0.248,0.5,0.0,0.0,0.0,0.0,0.75,False
1,1,1,1,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Nick Martinez,1.0,Busch Stadium,15.0,607259,3.35,8.53,8.1,1.32,0.248,0.5,0.25,0.75,0.25,0.5,0.667,True
2,2,2,2,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Zach Thompson,1.0,Dodger Stadium,17.0,605507,5.08,9.66,6.18,1.47,0.269,0.4,0.25,0.0,0.25,0.8,0.0,True
3,3,3,3,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Zac Gallen,0.0,Chase Field,13.0,668678,3.12,6.62,8.67,1.02,0.203,0.0,0.25,0.5,0.0,0.25,0.8,True
4,4,4,4,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Paul Blackburn,0.0,Oakland Coliseum,19.0,621112,4.28,8.89,7.19,1.26,0.255,0.286,0.5,0.0,0.5,0.0,0.25,True
5,5,5,5,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Packy Naughton,0.0,Busch Stadium,15.0,676050,4.94,9.22,8.89,1.24,0.259,0.333,0.0,0.0,0.5,0.0,1.0,True
6,6,6,6,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Erick Fedde,1.0,Citi Field,22.0,607200,4.95,9.32,6.8,1.54,0.269,0.25,0.0,0.667,0.5,0.5,0.5,True
7,7,7,7,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Zac Gallen,0.0,Chase Field,13.0,668678,3.12,6.62,8.67,1.02,0.203,0.0,0.5,0.25,0.25,0.25,0.5,True
8,8,8,8,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Tyler Wells,1.0,Fenway Park,3.0,669330,3.9,7.8,6.46,1.11,0.232,0.0,0.25,0.8,0.0,0.6,0.4,False
9,9,9,9,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Zach Thompson,1.0,Dodger Stadium,17.0,605507,5.08,9.66,6.18,1.47,0.269,0.0,0.25,0.25,0.5,0.5,0.333,True
10,10,10,10,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,Tyler Wells,1.0,Fenway Park,3.0,669330,3.9,7.8,6.46,1.11,0.232,0.333,0.6,0.25,0.0,0.5,0.2,True
11,11,11,12,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Paul Blackburn,0.0,Oakland Coliseum,19.0,621112,4.28,8.89,7.19,1.26,0.255,0.571,0.0,0.5,0.2,0.25,0.5,True
12,12,12,14,15362,Jeff McNeil,NYM,30,0.306,0.362,0.445,0.852,643446,121,Erick Fedde,1.0,Citi Field,22.0,607200,4.95,9.32,6.8,1.54,0.269,0.429,0.0,0.333,0.25,0.0,0.75,False
13,13,13,15,19352,Sean Murphy,OAK,27,0.245,0.32,0.43,0.775,669221,133,Framber Valdez,1.0,Oakland Coliseum,19.0,664285,2.87,7.13,8.0,1.15,0.217,0.0,0.333,0.0,0.5,0.25,0.25,False
14,14,14,16,18036,Jake Cronenworth,SDP,28,0.237,0.34,0.388,0.846,630105,135,Packy Naughton,0.0,Busch Stadium,15.0,676050,4.94,9.22,8.89,1.24,0.259,0.4,0.0,0.2,0.25,0.25,0.25,True
15,15,15,17,19251,Pete Alonso,NYM,27,0.278,0.357,0.541,0.777,624413,121,Erick Fedde,1.0,Citi Field,22.0,607200,4.95,9.32,6.8,1.54,0.269,0.429,0.5,0.333,1.0,0.0,0.0,True
16,16,16,18,17678,Alex Bregman,HOU,28,0.251,0.356,0.422,0.86,608324,117,Paul Blackburn,0.0,Oakland Coliseum,19.0,621112,4.28,8.89,7.19,1.26,0.255,0.0,0.0,0.667,0.25,0.25,0.25,False
