,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Nick Pivetta,1,Yankee Stadium,6,601713,4.51,8.73,8.66,1.33,0.253,0.0,0.4,0.0,0.0,0.0,0.0,False
1,1,1,1,1,1,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Mitch Keller,1,Busch Stadium,15,656605,4.21,9.59,7.4,1.42,0.274,0.167,0.25,0.0,0.0,0.0,0.0,True
2,2,2,2,2,2,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Mitch Keller,1,Busch Stadium,15,656605,4.21,9.59,7.4,1.42,0.274,0.091,1.0,0.0,0.0,0.0,0.0,True
3,3,3,3,3,3,3,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,German Marquez,0,Coors Field,1,608566,5.18,9.54,7.25,1.41,0.27,0.3,0.333,0.0,0.0,0.0,0.0,False
4,4,4,4,4,4,4,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Brad Keller,0,Kauffman Stadium,5,641745,4.45,8.97,6.03,1.37,0.259,0.2,0.25,0.0,0.0,0.0,0.0,True
5,5,5,5,5,5,5,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Vladimir Gutierrez,1,Truist Park,12,661269,7.61,11.29,7.12,1.91,0.313,0.8,0.0,0.0,0.0,0.0,0.0,True
6,6,6,6,6,6,6,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Zach Davies,0,Chase Field,13,605200,4.03,7.86,6.83,1.22,0.233,0.167,0.2,0.0,0.0,0.0,0.0,True
7,7,7,7,7,7,7,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Vladimir Gutierrez,1,Truist Park,12,661269,7.61,11.29,7.12,1.91,0.313,0.2,0.0,0.75,0.0,0.0,0.0,True
8,8,8,8,8,8,8,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,German Marquez,0,Coors Field,1,608566,5.18,9.54,7.25,1.41,0.27,0.455,0.2,0.0,0.0,0.0,0.0,True
9,9,9,9,9,9,9,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Luis Severino,0,Yankee Stadium,6,622663,3.45,7.01,9.94,1.07,0.211,0.0,0.25,0.0,0.0,0.0,0.0,True
10,10,10,10,10,10,10,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,German Marquez,0,Coors Field,1,608566,5.18,9.54,7.25,1.41,0.27,0.6,0.2,0.0,0.0,0.0,0.0,True
11,11,11,11,11,11,11,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,Luis Severino,0,Yankee Stadium,6,622663,3.45,7.01,9.94,1.07,0.211,0.08,0.6,0.0,0.0,0.0,0.0,False
12,12,12,12,12,12,12,9874,DJ LeMahieu,NYY,33,0.286,0.388,0.429,0.8809999999999999,518934,147,Nick Pivetta,1,Yankee Stadium,6,601713,4.51,8.73,8.66,1.33,0.253,0.25,0.333,0.0,0.0,0.0,0.0,False
13,13,13,13,13,13,13,19470,Tommy Edman,STL,27,0.258,0.322,0.367,0.821,669242,138,Mitch Keller,1,Busch Stadium,15,656605,4.21,9.59,7.4,1.42,0.274,0.444,0.25,0.0,0.0,0.0,0.0,True
14,14,14,14,14,14,14,13624,Corey Seager,TEX,28,0.25,0.329,0.475,0.7559999999999999,608369,140,Kevin Gausman,0,Rogers Centre,2,592332,2.91,9.56,10.48,1.23,0.27,0.429,0.5,0.0,0.0,0.0,0.0,True
15,15,15,15,15,15,16,15676,Jose Abreu,CHW,35,0.297,0.375,0.464,0.794,547989,145,Casey Mize,0,Comerica Park,25,663554,5.4,11.7,3.6,1.5,0.302,0.091,0.0,0.0,0.0,0.0,0.0,True
16,16,16,16,16,16,17,19352,Sean Murphy,OAK,27,0.245,0.32,0.43,0.775,669221,133,Kyle Gibson,0,Citizens Bank Park,16,502043,4.36,8.01,6.85,1.17,0.238,0.5,0.25,0.0,0.0,0.0,0.0,False
17,17,17,17,17,17,18,18036,Jake Cronenworth,SDP,28,0.237,0.34,0.388,0.846,630105,135,Zach Davies,0,Chase Field,13,605200,4.03,7.86,6.83,1.22,0.233,0.0,0.333,0.0,0.0,0.0,0.0,True
18,18,18,18,18,18,19,22581,Alejandro Kirk,TOR,23,0.305,0.388,0.461,0.86,672386,141,Dane Dunning,1,Rogers Centre,2,641540,4.04,8.79,7.84,1.36,0.257,0.0,0.0,0.0,0.0,0.0,0.0,True
19,19,19,19,19,19,20,11609,Willson Contreras,CHC,30,0.253,0.364,0.463,0.711,575929,112,Brandon Woodruff,1,Wrigley Field,24,605540,3.49,7.84,11.01,1.19,0.231,0.154,0.0,0.0,0.0,0.0,0.0,True
20,20,20,20,20,20,21,21479,Nico Hoerner,CHC,25,0.297,0.34,0.411,0.857,663538,112,Brandon Woodruff,1,Wrigley Field,24,605540,3.49,7.84,11.01,1.19,0.231,0.167,0.333,0.0,0.0,0.0,0.0,False
21,21,21,21,21,21,22,19611,Vladimir Guerrero Jr.,TOR,23,0.287,0.359,0.504,0.7829999999999999,665489,141,Dane Dunning,1,Rogers Centre,2,641540,4.04,8.79,7.84,1.36,0.257,0.0,0.5,0.0,0.0,0.0,0.0,True
22,22,22,22,22,22,23,19955,Gavin Lux,LAD,24,0.297,0.37,0.425,0.8190000000000001,666158,119,German Marquez,0,Coors Field,1,608566,5.18,9.54,7.25,1.41,0.27,0.333,0.5,0.0,0.0,0.0,0.0,True
23,23,23,23,23,23,24,16505,Matt Chapman,TOR,29,0.242,0.322,0.474,0.735,656305,141,Dane Dunning,1,Rogers Centre,2,641540,4.04,8.79,7.84,1.36,0.257,0.0,0.0,0.0,0.0,0.0,0.0,False
