,Unnamed: 0,Unnamed: 0.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Alek Manoah,0,Rogers Centre,2,666201,2.56,7.16,8.15,1.02,0.217,0.091,0.4,0.0,0.333,0.0,0.5,False
1,1,1,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Cal Quantrill,1,Dodger Stadium,17,615698,3.88,9.0,5.78,1.28,0.265,0.333,0.25,0.333,0.0,0.0,0.4,True
2,2,2,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Justin Steele,0,Wrigley Field,24,657006,3.67,8.66,9.13,1.41,0.247,0.0,0.0,0.5,0.25,0.4,0.25,True
3,3,3,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,German Marquez,0,Coors Field,1,608566,5.18,9.54,7.25,1.41,0.27,0.36,0.25,0.6,0.75,0.0,0.25,True
4,4,6,9874,DJ LeMahieu,NYY,33,0.286,0.388,0.429,0.8809999999999999,518934,147,Alek Manoah,0,Rogers Centre,2,666201,2.56,7.16,8.15,1.02,0.217,0.0,0.6,0.0,0.0,0.25,0.333,False
5,5,7,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Johnny Cueto,1,Minute Maid Park,32,456501,2.91,8.62,6.0,1.19,0.256,0.167,0.0,0.0,0.2,0.25,0.6,True
6,6,8,19197,Will Smith,LAD,27,0.275,0.361,0.477,0.8290000000000001,669257,119,Cal Quantrill,1,Dodger Stadium,17,615698,3.88,9.0,5.78,1.28,0.265,0.2,0.0,0.25,0.0,0.333,0.6,True
7,7,9,15676,Jose Abreu,CHW,35,0.297,0.375,0.464,0.794,547989,145,Justin Verlander,0,Minute Maid Park,32,434378,1.73,6.09,8.79,0.85,0.188,0.364,0.0,0.8,0.25,0.75,0.2,True
8,8,10,18036,Jake Cronenworth,SDP,28,0.237,0.34,0.388,0.846,630105,135,German Marquez,0,Coors Field,1,608566,5.18,9.54,7.25,1.41,0.27,0.286,0.667,0.333,0.5,0.75,0.75,True
9,9,11,19251,Pete Alonso,NYM,27,0.278,0.357,0.541,0.777,624413,121,Braxton Garrett,1,Citi Field,22,666129,4.02,8.76,9.91,1.2,0.25,0.0,0.5,0.0,0.0,0.667,0.5,False
