,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,0,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,JT Brubaker,1.0,Busch Stadium,15.0,664141,4.49,10.05,9.22,1.52,0.275,0.455,0.0,0.0,0.0,0.0,0.0,True
1,1,1,1,1,1,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,JT Brubaker,1.0,Busch Stadium,15.0,664141,4.49,10.05,9.22,1.52,0.275,0.25,0.0,0.0,0.0,0.0,0.0,True
2,2,2,2,2,2,3,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Zack Greinke,0.0,Kauffman Stadium,5.0,425844,4.58,10.04,5.07,1.33,0.28,0.167,0.0,0.0,0.0,0.0,0.0,True
3,3,3,3,3,3,4,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Tyler Mahle,1.0,Truist Park,12.0,641816,6.0,7.5,7.5,1.0,0.238,0.167,0.0,0.0,0.0,0.0,0.0,False
4,4,4,4,4,4,5,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Shohei Ohtani,0.0,Angel Stadium,4.0,660271,2.68,7.22,12.73,1.05,0.214,0.4,0.0,0.0,0.0,0.0,0.0,True
5,5,5,5,5,5,6,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Madison Bumgarner,0.0,Chase Field,13.0,518516,3.96,9.62,6.21,1.39,0.269,0.212,0.0,0.0,0.0,0.0,0.0,False
6,6,6,6,6,6,7,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Patrick Corbin,0.0,Nationals Park,29.0,571578,7.02,13.13,8.32,1.82,0.331,0.333,0.0,0.0,0.0,0.0,0.0,True
7,7,7,7,7,7,8,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Tyler Mahle,1.0,Truist Park,12.0,641816,6.0,7.5,7.5,1.0,0.238,0.667,0.0,0.0,0.0,0.0,0.0,True
8,8,8,8,8,8,12,19470,Tommy Edman,STL,27,0.258,0.322,0.367,0.821,669242,138,JT Brubaker,1.0,Busch Stadium,15.0,664141,4.49,10.05,9.22,1.52,0.275,0.308,0.0,0.0,0.0,0.0,0.0,True
9,9,9,9,9,9,13,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Shohei Ohtani,0.0,Angel Stadium,4.0,660271,2.68,7.22,12.73,1.05,0.214,0.333,0.0,0.0,0.0,0.0,0.0,False
