,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Bruce Zimmermann,1.0,Yankee Stadium,6.0,669145,5.85,11.84,6.12,1.48,0.322,0.5,0.5,0.4,0.333,0.0,0.667,True
1,1,1,1,1,1,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Humberto Castellanos,1.0,Busch Stadium,15.0,528748,5.68,10.15,6.5,1.4,0.289,0.0,1.0,0.5,0.0,0.0,0.2,True
2,2,2,2,2,2,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Humberto Castellanos,1.0,Busch Stadium,15.0,528748,5.68,10.15,6.5,1.4,0.289,1.0,0.4,0.25,0.667,0.5,0.4,True
3,3,3,3,3,3,3,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Reid Detmers,0.0,Angel Stadium,4.0,672282,3.44,6.27,8.29,1.04,0.196,1.0,0.5,0.25,0.0,0.333,0.0,True
4,4,4,4,4,4,4,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Drew Smyly,1.0,Truist Park,12.0,592767,3.97,9.59,7.13,1.29,0.266,0.0,0.333,0.333,0.0,0.5,0.5,True
5,5,5,5,5,5,5,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Martin Perez,0.0,Globe Life Field,14.0,527048,2.85,7.94,7.81,1.18,0.235,0.0,1.0,0.667,0.25,0.2,0.0,True
6,6,6,6,6,6,6,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Tyler Mahle,0.0,Great American Ball Park,8.0,641816,6.0,7.5,7.5,1.0,0.238,0.333,0.6,0.5,0.333,0.0,0.25,True
7,7,7,7,7,7,7,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Drew Smyly,1.0,Truist Park,12.0,592767,3.97,9.59,7.13,1.29,0.266,0.0,0.25,0.0,0.6,0.2,0.0,True
8,8,8,8,8,8,8,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Alek Manoah,0.0,Rogers Centre,2.0,666201,2.56,7.16,8.15,1.02,0.217,0.333,0.4,0.5,0.25,0.25,0.0,True
9,9,9,9,9,9,9,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,Alek Manoah,0.0,Rogers Centre,2.0,666201,2.56,7.16,8.15,1.02,0.217,0.0,1.0,0.6,0.25,0.25,0.0,False
10,10,10,10,10,10,10,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Austin Gomber,1.0,Citizens Bank Park,16.0,596295,5.64,9.99,6.93,1.41,0.283,0.0,0.25,0.5,0.25,0.0,0.667,False
11,11,11,11,11,11,11,9874,DJ LeMahieu,NYY,33,0.286,0.388,0.429,0.8809999999999999,518934,147,Bruce Zimmermann,1.0,Yankee Stadium,6.0,669145,5.85,11.84,6.12,1.48,0.322,0.667,0.0,0.4,0.75,0.25,0.333,True
12,12,12,12,12,12,12,19470,Tommy Edman,STL,27,0.258,0.322,0.367,0.821,669242,138,Humberto Castellanos,1.0,Busch Stadium,15.0,528748,5.68,10.15,6.5,1.4,0.289,1.0,0.6,0.0,0.0,0.0,0.333,True
13,13,13,13,13,13,14,13624,Corey Seager,TEX,28,0.25,0.329,0.475,0.7559999999999999,608369,140,Justin Verlander,1.0,Globe Life Field,14.0,434378,1.73,6.09,8.79,0.85,0.188,0.0,0.0,0.25,0.5,0.0,0.0,True
14,14,14,14,14,14,16,15676,Jose Abreu,CHW,35,0.297,0.375,0.464,0.794,547989,145,Brad Keller,1.0,Guaranteed Rate Field,23.0,641745,4.45,8.97,6.03,1.37,0.259,0.188,0.0,0.25,0.333,0.25,0.0,True
15,15,15,15,15,15,17,22581,Alejandro Kirk,TOR,23,0.305,0.388,0.461,0.86,672386,141,Garrett Whitlock,1.0,Rogers Centre,2.0,676477,3.13,7.39,8.81,1.01,0.219,0.0,1.0,0.0,0.0,0.333,0.0,True
16,16,16,16,16,16,18,11609,Willson Contreras,CHC,30,0.253,0.364,0.463,0.711,575929,112,Kyle Wright,0.0,Truist Park,12.0,657140,3.22,7.83,8.67,1.17,0.234,0.5,0.25,0.25,0.2,0.6,0.0,False
17,17,17,17,17,17,20,17678,Alex Bregman,HOU,28,0.251,0.356,0.422,0.86,608324,117,Martin Perez,0.0,Globe Life Field,14.0,527048,2.85,7.94,7.81,1.18,0.235,0.167,0.0,0.333,0.0,0.667,0.25,False
18,18,18,18,18,18,21,16505,Matt Chapman,TOR,29,0.242,0.322,0.474,0.735,656305,141,Garrett Whitlock,1.0,Rogers Centre,2.0,676477,3.13,7.39,8.81,1.01,0.219,0.0,0.0,0.0,0.25,0.0,0.25,True
19,19,19,19,19,19,22,18345,Kyle Tucker,HOU,25,0.242,0.332,0.449,0.8059999999999999,663656,117,Martin Perez,0.0,Globe Life Field,14.0,527048,2.85,7.94,7.81,1.18,0.235,0.5,0.25,0.25,0.75,0.0,0.75,True
20,20,20,20,20,20,23,10815,Jurickson Profar,SDP,29,0.252,0.344,0.416,0.831,595777,135,Tyler Mahle,0.0,Great American Ball Park,8.0,641816,6.0,7.5,7.5,1.0,0.238,0.5,0.333,0.2,0.0,0.25,0.0,False
21,21,21,21,21,21,24,15986,Willy Adames,MIL,26,0.224,0.289,0.463,0.726,642715,158,Jose Quintana,0.0,PNC Park,10.0,500779,1.5,1.5,10.5,0.5,0.056,1.0,0.0,0.8,0.25,0.0,0.5,False
22,22,22,22,22,22,25,18577,Ke'Bryan Hayes,PIT,25,0.248,0.32,0.358,0.818,663647,134,Freddy Peralta,1.0,PNC Park,10.0,642547,4.37,7.42,10.84,1.14,0.219,0.0,0.0,1.0,0.25,0.333,0.5,False
23,23,23,23,23,23,26,17919,Ian Happ,CHC,27,0.276,0.356,0.432,0.7490000000000001,664023,112,Kyle Wright,0.0,Truist Park,12.0,657140,3.22,7.83,8.67,1.17,0.234,0.5,0.5,0.333,0.333,0.5,0.0,True
24,24,24,24,24,24,28,12856,George Springer,TOR,32,0.251,0.331,0.464,0.733,543807,141,Garrett Whitlock,1.0,Rogers Centre,2.0,676477,3.13,7.39,8.81,1.01,0.219,0.0,0.5,0.4,0.5,0.25,0.25,False
25,25,25,25,25,25,31,16578,Yandy Diaz,TBR,30,0.277,0.392,0.393,0.873,650490,139,Chris Flexen,1.0,Tropicana Field,21.0,623167,3.92,9.0,6.23,1.37,0.257,0.333,0.25,0.0,0.5,0.5,0.333,True
26,26,26,26,26,26,32,15518,Amed Rosario,CLE,26,0.29,0.324,0.417,0.8240000000000001,642708,114,Reid Detmers,0.0,Angel Stadium,4.0,672282,3.44,6.27,8.29,1.04,0.196,1.0,0.2,0.0,0.25,0.0,0.0,False
27,27,27,27,27,27,33,19612,Bo Bichette,TOR,24,0.263,0.304,0.436,0.775,666182,141,Garrett Whitlock,1.0,Rogers Centre,2.0,676477,3.13,7.39,8.81,1.01,0.219,0.25,0.25,0.0,0.25,0.2,0.333,True
