,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,5361,Freddie Freeman,LAD,32,0.324,0.4,0.523,0.8270000000000001,518692,119,Kyle Freeland,0,Coors Field,1,607536,4.84,9.89,6.50,1.41,.280,0.2,0.0,0.333,0.5,0.333,0.0,True
1,13510,Jose Ramirez,CLE,29,0.285,0.355,0.551,0.879,608070,114,Corey Kluber,0,Tropicana Field,21,446372,4.40,9.41,7.95,1.19,.268,0.5,0.5,0.25,0.0,0.333,0.5,True
2,11493,Manny Machado,SDP,29,0.296,0.365,0.519,0.7759999999999999,592518,135,Sonny Gray,1,Petco Park,31,543243,3.33,7.64,8.50,1.16,.228,0.37,0.25,0.0,0.4,0.0,0.6,True
3,12916,Francisco Lindor,NYM,28,0.27,0.348,0.462,0.7909999999999999,596019,121,Nick Neidert,0,loanDepot park,20,663734,3.60,9.00,5.40,1.00,.250,0.5,0.5,0.333,0.5,0.4,0.25,True
4,19556,Yordan Alvarez,HOU,25,0.296,0.401,0.63,0.799,670541,117,Chris Flexen,1,Minute Maid Park,32,623167,3.86,8.92,6.28,1.39,.255,0.333,1.0,0.333,0.5,0.667,0.0,False
5,13611,Mookie Betts,LAD,29,0.272,0.344,0.53,0.8640000000000001,605141,119,Kyle Freeland,0,Coors Field,1,607536,4.84,9.89,6.50,1.41,.280,0.217,0.333,0.333,0.667,0.2,0.0,False
6,16252,Trea Turner,LAD,29,0.309,0.348,0.503,0.758,607208,119,Kyle Freeland,0,Coors Field,1,607536,4.84,9.89,6.50,1.41,.280,0.19,0.2,0.75,0.25,0.5,0.5,True
7,19950,Andres Gimenez,CLE,23,0.303,0.368,0.479,0.746,665926,114,Corey Kluber,0,Tropicana Field,21,446372,4.40,9.41,7.95,1.19,.268,1.0,0.25,0.0,0.0,0.0,0.333,True
8,5417,Jose Altuve,HOU,32,0.28,0.367,0.503,0.852,514888,117,Chris Flexen,1,Minute Maid Park,32,623167,3.86,8.92,6.28,1.39,.255,0.25,0.0,0.25,0.0,0.0,0.2,True
9,14161,Byron Buxton,MIN,28,0.223,0.303,0.545,0.685,621439,142,Joe Musgrove,0,Petco Park,31,605397,2.91,7.16,8.79,1.02,.216,0.5,0.333,0.0,0.4,0.0,0.25,True
10,11739,J.T. Realmuto,PHI,31,0.263,0.332,0.445,0.779,592663,143,Mitch Keller,0,PNC Park,10,656605,4.25,9.53,7.29,1.41,.274,0.5,0.0,0.5,0.333,0.25,0.25,True
11,19197,Will Smith,LAD,27,0.274,0.361,0.474,0.831,669257,119,Kyle Freeland,0,Coors Field,1,607536,4.84,9.89,6.50,1.41,.280,0.3,0.667,0.4,0.0,0.0,0.0,True
12,15362,Jeff McNeil,NYM,30,0.306,0.36,0.446,0.853,643446,121,Nick Neidert,0,loanDepot park,20,663734,3.60,9.00,5.40,1.00,.250,0.5,0.2,0.0,0.25,0.0,0.0,True
13,12927,Brandon Nimmo,NYM,29,0.267,0.352,0.417,0.828,607043,121,Nick Neidert,0,loanDepot park,20,663734,3.60,9.00,5.40,1.00,.250,0.333,0.4,0.2,0.0,0.2,0.25,True
14,15676,Jose Abreu,CHW,35,0.296,0.373,0.46,0.79,547989,145,Paul Blackburn,1,Guaranteed Rate Field,23,621112,4.28,8.89,7.19,1.26,.255,0.333,0.25,0.25,0.0,0.25,0.0,True
15,19352,Sean Murphy,OAK,27,0.243,0.321,0.424,0.775,669221,133,Johnny Cueto,0,Guaranteed Rate Field,23,456501,2.91,9.00,6.00,1.23,.266,0.0,0.0,0.0,0.25,0.667,0.333,True
16,19251,Pete Alonso,NYM,27,0.281,0.361,0.54,0.778,624413,121,Nick Neidert,0,loanDepot park,20,663734,3.60,9.00,5.40,1.00,.250,0.0,0.0,0.333,1.0,0.667,0.75,False
17,18345,Kyle Tucker,HOU,25,0.249,0.336,0.466,0.8079999999999999,663656,117,Chris Flexen,1,Minute Maid Park,32,623167,3.86,8.92,6.28,1.39,.255,0.313,0.25,0.0,0.0,0.5,0.2,False
18,17678,Alex Bregman,HOU,28,0.255,0.364,0.43,0.861,608324,117,Chris Flexen,1,Minute Maid Park,32,623167,3.86,8.92,6.28,1.39,.255,0.308,0.5,0.5,0.25,0.0,0.2,True
20,19955,Gavin Lux,LAD,24,0.296,0.372,0.423,0.818,666158,119,Kyle Freeland,0,Coors Field,1,607536,4.84,9.89,6.50,1.41,.280,0.556,0.0,0.6,0.75,0.0,0.5,False
21,19611,Vladimir Guerrero Jr.,TOR,23,0.287,0.358,0.504,0.784,665489,141,Drew Hutchison,1,Rogers Centre,2,571800,4.45,9.05,5.64,1.47,.263,0.0,0.333,0.25,0.5,0.2,0.8,True
22,11609,Willson Contreras,CHC,30,0.25,0.362,0.457,0.711,575929,112,Jakob Junis,0,Oracle Park,9,596001,3.78,8.53,7.83,1.20,.245,0.5,0.0,0.0,0.25,0.333,0.25,True
23,10815,Jurickson Profar,SDP,29,0.254,0.345,0.416,0.831,595777,135,Sonny Gray,1,Petco Park,31,543243,3.33,7.64,8.50,1.16,.228,0.286,0.0,0.5,0.0,0.667,0.0,True
24,15986,Willy Adames,MIL,26,0.225,0.29,0.458,0.7240000000000001,642715,158,Nick Pivetta,0,Fenway Park,3,601713,4.51,8.68,8.61,1.33,.252,1.0,0.6,0.25,0.0,0.0,0.333,False
25,19918,Daulton Varsho,ARI,25,0.241,0.315,0.43,0.782,662139,109,Ian Anderson,0,Truist Park,12,666120,5.00,9.27,7.82,1.51,.264,0.0,0.5,0.0,0.0,0.333,0.0,True
