,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Tyler Wells,0,Oriole Park at Camden Yards,30,669330,3.9,7.8,6.46,1.11,0.232,0.0,0.0,0.25,0.5,0.25,0.0,True
1,1,1,1,1,1,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Adrian Houser,0,American Family Field,18,605288,4.72,9.67,6.72,1.48,0.271,0.25,0.667,0.25,0.25,0.25,1.0,True
2,2,2,2,2,2,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Adrian Houser,0,American Family Field,18,605288,4.72,9.67,6.72,1.48,0.271,0.286,0.2,0.0,0.0,0.25,0.25,False
3,3,3,3,3,3,3,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Anthony DeSclafani,1,Progressive Field,7,543101,6.63,16.11,8.05,2.0,0.4,0.0,0.333,0.75,0.6,0.25,0.75,True
4,4,4,4,4,4,4,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Nick Martinez,0,Petco Park,31,607259,3.35,8.53,8.1,1.32,0.248,1.0,0.0,0.0,0.0,0.333,0.0,True
5,5,5,5,5,5,6,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Zac Gallen,1,Citi Field,22,668678,3.12,6.62,8.67,1.02,0.203,0.333,0.667,0.25,0.25,0.25,0.333,False
6,6,6,6,6,6,7,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Sonny Gray,1,Fenway Park,3,543243,3.19,7.29,8.43,1.11,0.219,0.222,0.5,0.2,0.6,0.5,0.25,True
7,7,7,7,7,7,8,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,Sonny Gray,1,Fenway Park,3,543243,3.19,7.29,8.43,1.11,0.219,0.364,0.0,0.25,0.0,0.333,0.0,True
8,8,8,8,8,8,9,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Trevor Rogers,0,loanDepot park,20,669432,5.85,10.16,8.52,1.6,0.283,0.167,1.0,0.25,0.5,0.25,0.0,False
9,9,9,9,9,9,11,19470,Tommy Edman,STL,27,0.258,0.322,0.367,0.821,669242,138,Adrian Houser,0,American Family Field,18,605288,4.72,9.67,6.72,1.48,0.271,0.25,0.25,0.5,0.5,0.5,0.333,True
10,10,10,10,10,10,12,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Chris Flexen,0,T-Mobile Park,27,623167,3.92,9.0,6.23,1.37,0.257,0.375,0.0,0.4,0.0,0.0,0.25,True
11,11,11,11,11,11,13,13624,Corey Seager,TEX,28,0.25,0.329,0.475,0.7559999999999999,608369,140,Noah Syndergaard,1,Globe Life Field,14,592789,7.2,19.8,3.6,2.2,0.44,0.7,0.25,0.5,0.0,0.2,0.4,False
12,12,12,12,12,12,15,15362,Jeff McNeil,NYM,30,0.306,0.362,0.445,0.852,643446,121,Zac Gallen,1,Citi Field,22,668678,3.12,6.62,8.67,1.02,0.203,0.111,0.4,0.0,0.0,0.333,0.2,True
13,13,13,13,13,13,16,15676,Jose Abreu,CHW,35,0.297,0.375,0.464,0.794,547989,145,Corey Kluber,1,Guaranteed Rate Field,23,446372,4.05,9.08,8.03,1.15,0.26,0.34,0.0,0.0,0.0,0.333,0.5,True
14,14,14,14,14,14,17,19352,Sean Murphy,OAK,27,0.245,0.32,0.43,0.775,669221,133,Hyun Jin Ryu,0,Rogers Centre,2,547943,5.67,10.67,5.33,1.33,0.294,0.5,0.25,0.5,0.667,0.0,0.25,True
15,15,15,15,15,15,18,19251,Pete Alonso,NYM,27,0.278,0.357,0.541,0.777,624413,121,Zac Gallen,1,Citi Field,22,668678,3.12,6.62,8.67,1.02,0.203,0.143,0.0,0.6,0.333,0.0,0.0,False
16,16,16,16,16,16,19,11609,Willson Contreras,CHC,30,0.253,0.364,0.463,0.711,575929,112,Antonio Senzatela,0,Coors Field,1,622608,4.68,12.97,5.31,1.68,0.351,0.5,0.6,0.5,0.333,0.333,0.0,False
17,17,17,17,17,17,20,19611,Vladimir Guerrero Jr.,TOR,23,0.287,0.359,0.504,0.7829999999999999,665489,141,Paul Blackburn,1,Rogers Centre,2,621112,4.28,8.89,7.19,1.26,0.255,0.0,0.667,0.0,1.0,0.0,0.0,False
18,18,18,18,18,18,21,17678,Alex Bregman,HOU,28,0.251,0.356,0.422,0.86,608324,117,Chris Flexen,0,T-Mobile Park,27,623167,3.92,9.0,6.23,1.37,0.257,0.667,0.0,0.0,0.25,0.4,0.0,False
19,19,19,19,19,19,22,18345,Kyle Tucker,HOU,25,0.242,0.332,0.449,0.8059999999999999,663656,117,Chris Flexen,0,T-Mobile Park,27,623167,3.92,9.0,6.23,1.37,0.257,0.429,0.0,0.0,0.0,0.0,0.333,True
20,20,20,20,20,20,23,15986,Willy Adames,MIL,26,0.224,0.289,0.463,0.726,642715,158,Steven Matz,1,American Family Field,18,571927,5.7,9.91,10.76,1.31,0.269,0.0,0.0,0.0,0.0,0.5,0.0,True
21,21,21,21,21,21,24,17548,Taylor Ward,LAA,28,0.274,0.365,0.465,0.7829999999999999,621493,108,Taylor Hearn,0,Globe Life Field,14,621368,5.21,10.17,8.48,1.59,0.28,0.333,0.0,0.0,0.0,0.0,0.0,True
22,22,22,22,22,22,25,18577,Ke'Bryan Hayes,PIT,25,0.248,0.32,0.358,0.818,663647,134,Josh Rogers,1,PNC Park,10,642028,5.13,8.2,4.1,1.33,0.238,0.5,0.25,0.0,1.0,0.25,0.4,True
23,23,23,23,23,23,26,16472,Rhys Hoskins,PHI,29,0.253,0.344,0.496,0.7609999999999999,656555,143,Trevor Rogers,0,loanDepot park,20,669432,5.85,10.16,8.52,1.6,0.283,0.455,0.667,0.0,0.0,0.0,0.25,True
24,24,24,24,24,24,27,17919,Ian Happ,CHC,27,0.276,0.356,0.432,0.7490000000000001,664023,112,Antonio Senzatela,0,Coors Field,1,622608,4.68,12.97,5.31,1.68,0.351,0.8,0.25,0.25,0.0,0.667,0.667,False
25,25,25,25,25,25,28,12552,Eugenio Suarez,SEA,30,0.227,0.329,0.415,0.677,553993,136,Justin Verlander,1,T-Mobile Park,27,434378,1.73,6.09,8.79,0.85,0.188,0.0,0.25,0.0,0.333,0.5,0.25,False
26,26,26,26,26,26,29,18568,Luis Arraez,MIN,25,0.329,0.394,0.436,0.932,650333,142,Tanner Houck,0,Fenway Park,3,656557,3.15,7.35,8.4,1.18,0.226,0.5,0.5,0.0,0.0,0.75,0.25,True
27,27,27,27,27,27,30,12856,George Springer,TOR,32,0.251,0.331,0.464,0.733,543807,141,Paul Blackburn,1,Rogers Centre,2,621112,4.28,8.89,7.19,1.26,0.255,0.333,0.2,0.0,0.2,0.5,0.6,False
