,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Bryse Wilson,0,PNC Park,10,669060,5.86,11.18,6.41,1.52,0.305,0.4,0.0,0.0,0.0,0.5,0.0,True
1,1,1,1,2,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Zach Eflin,0,Citizens Bank Park,16,621107,4.37,8.74,7.41,1.19,0.251,0.133,0.0,0.6,0.25,0.75,0.25,False
2,2,2,2,3,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Sandy Alcantara,0,loanDepot park,20,645261,1.88,6.14,8.01,0.93,0.195,0.308,0.25,0.25,0.25,0.333,0.0,True
3,3,3,3,4,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Taylor Hearn,1,Minute Maid Park,32,621368,5.21,10.17,8.48,1.59,0.28,0.5,0.5,0.0,0.0,0.5,0.0,True
4,4,4,4,5,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Alex Wood,0,Oracle Park,9,622072,4.17,8.73,8.81,1.2,0.254,0.2,0.2,0.6,0.4,0.25,0.25,True
5,5,5,5,6,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Austin Gomber,0,Coors Field,1,596295,5.64,9.99,6.93,1.41,0.283,0.2,0.0,0.2,0.667,0.5,0.0,True
6,6,6,6,7,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Sandy Alcantara,0,loanDepot park,20,645261,1.88,6.14,8.01,0.93,0.195,0.091,0.0,0.0,0.4,0.0,0.25,False
7,7,7,7,8,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Zach Eflin,0,Citizens Bank Park,16,621107,4.37,8.74,7.41,1.19,0.251,0.333,0.75,0.2,0.25,0.0,0.75,True
8,8,8,8,9,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Logan Gilbert,1,Fenway Park,3,669302,3.47,8.57,8.3,1.23,0.248,0.0,0.75,0.0,0.2,0.667,0.75,True
9,9,9,9,10,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Zach Eflin,0,Citizens Bank Park,16,621107,4.37,8.74,7.41,1.19,0.251,0.286,0.2,0.5,0.25,0.5,0.25,True
