,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,15640,Aaron Judge,NYY,30,0.305,0.4,0.688,0.736,592450,147,Taijuan Walker,0,Citi Field,22,592836,3.43,8.24,6.93,1.20,.242,0.286,0.5,0.8,0.5,0.0,0.25,True
3,5361,Freddie Freeman,LAD,32,0.324,0.4,0.523,0.8270000000000001,518692,119,Josiah Gray,1,Dodger Stadium,17,680686,4.81,8.01,10.18,1.30,.235,0.0,0.0,0.4,0.333,0.5,0.5,True
4,12916,Francisco Lindor,NYM,28,0.27,0.348,0.462,0.7909999999999999,596019,121,Jordan Montgomery,1,Citi Field,22,656756,0.00,4.91,7.36,0.82,.158,0.556,0.4,0.25,0.0,0.5,0.25,True
5,19556,Yordan Alvarez,HOU,25,0.296,0.401,0.63,0.799,670541,117,Frankie Montas,0,Oakland Coliseum,19,593423,9.00,11.25,6.75,1.88,.313,0.133,0.0,0.0,0.5,0.5,0.0,True
6,18314,Dansby Swanson,ATL,28,0.292,0.345,0.46,0.7070000000000001,621020,144,Aaron Nola,0,Citizens Bank Park,16,605400,3.07,7.13,9.73,0.93,.215,0.2,0.0,0.2,0.5,0.0,0.667,True
7,18360,Austin Riley,ATL,25,0.297,0.357,0.589,0.741,663586,144,Aaron Nola,0,Citizens Bank Park,16,605400,3.07,7.13,9.73,0.93,.215,0.382,0.5,0.333,0.75,0.5,0.333,True
8,13611,Mookie Betts,LAD,29,0.272,0.344,0.53,0.8640000000000001,605141,119,Josiah Gray,1,Dodger Stadium,17,680686,4.81,8.01,10.18,1.30,.235,0.5,0.0,0.25,0.5,0.4,0.25,True
10,16252,Trea Turner,LAD,29,0.309,0.348,0.503,0.758,607208,119,Josiah Gray,1,Dodger Stadium,17,680686,4.81,8.01,10.18,1.30,.235,0.5,0.5,0.2,0.25,0.25,0.4,True
11,12161,Xander Bogaerts,BOS,29,0.307,0.378,0.448,0.763,593428,111,Bryan Shaw,1,Fenway Park,3,543766,5.10,8.08,7.65,1.39,.235,0.111,0.25,0.25,0.333,0.0,0.0,True
12,9874,DJ LeMahieu,NYY,33,0.282,0.385,0.422,0.882,518934,147,Taijuan Walker,0,Citi Field,22,592836,3.43,8.24,6.93,1.20,.242,0.28,0.2,0.4,0.333,0.333,1.0,False
13,5417,Jose Altuve,HOU,32,0.28,0.367,0.503,0.852,514888,117,Frankie Montas,0,Oakland Coliseum,19,593423,9.00,11.25,6.75,1.88,.313,0.273,0.2,0.4,0.25,0.6,0.0,False
14,19470,Tommy Edman,STL,27,0.255,0.317,0.362,0.82,669242,138,Jose Berrios,0,Rogers Centre,2,621244,5.61,10.18,7.97,1.39,.282,0.167,0.0,0.333,0.25,0.4,0.4,True
15,19197,Will Smith,LAD,27,0.274,0.361,0.474,0.831,669257,119,Josiah Gray,1,Dodger Stadium,17,680686,4.81,8.01,10.18,1.30,.235,0.5,0.0,0.333,0.0,0.0,0.0,False
16,15362,Jeff McNeil,NYM,30,0.306,0.36,0.446,0.853,643446,121,Jordan Montgomery,1,Citi Field,22,656756,0.00,4.91,7.36,0.82,.158,0.167,0.0,0.0,0.0,0.0,0.2,True
17,12927,Brandon Nimmo,NYM,29,0.267,0.352,0.417,0.828,607043,121,Jordan Montgomery,1,Citi Field,22,656756,0.00,4.91,7.36,0.82,.158,0.667,0.2,0.25,0.0,0.333,0.0,False
18,15676,Jose Abreu,CHW,35,0.296,0.373,0.46,0.79,547989,145,German Marquez,0,Coors Field,1,608566,5.08,9.66,7.33,1.42,.273,0.667,0.25,0.0,0.5,0.333,0.4,False
19,21479,Nico Hoerner,CHC,25,0.299,0.342,0.419,0.858,663538,112,Bryse Wilson,1,Wrigley Field,24,669060,5.93,11.10,6.06,1.51,.306,0.5,0.667,0.0,0.25,0.167,0.75,True
