,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Dallas Keuchel,1,Yankee Stadium,6,572971,9.64,13.02,8.68,1.82,0.329,0.308,0.333,0.0,0.8,0.0,0.333,True
1,1,1,1,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Jose Quintana,0,PNC Park,10,500779,1.5,1.5,10.5,0.5,0.056,0.154,0.0,0.0,0.5,0.0,0.0,False
2,2,2,2,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Jose Quintana,0,PNC Park,10,500779,1.5,1.5,10.5,0.5,0.056,0.571,0.25,0.75,0.2,0.6,0.25,True
3,3,3,3,3,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Aaron Nola,0,Citizens Bank Park,16,605400,3.17,7.28,9.77,0.95,0.219,0.238,0.6,0.25,0.25,0.75,0.5,False
4,4,4,4,4,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Elieser Hernandez,0,loanDepot park,20,622694,6.0,9.33,8.83,1.39,0.26,0.111,0.25,0.25,0.333,0.0,0.25,True
5,5,5,5,5,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Jon Gray,1,Minute Maid Park,32,592351,3.83,7.58,10.1,1.17,0.224,0.0,0.0,0.0,0.5,0.0,0.0,True
6,6,6,6,6,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Carlos Rodon,0,Oracle Park,9,607074,2.95,6.87,11.29,1.07,0.209,0.375,0.6,0.4,0.25,0.25,0.0,True
7,7,7,7,7,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,German Marquez,0,Coors Field,1,608566,5.18,9.54,7.25,1.41,0.27,0.143,0.667,0.5,0.0,0.25,0.25,True
8,8,8,8,8,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Elieser Hernandez,0,loanDepot park,20,622694,6.0,9.33,8.83,1.39,0.26,0.25,0.0,0.4,0.0,0.25,0.0,False
9,9,9,9,9,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Aaron Nola,0,Citizens Bank Park,16,605400,3.17,7.28,9.77,0.95,0.219,0.2,0.2,0.25,0.75,0.0,0.25,True
10,10,10,10,10,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Chris Flexen,1,Fenway Park,3,623167,3.92,9.0,6.23,1.37,0.257,0.333,0.0,0.2,0.667,0.75,0.25,True
11,11,11,11,11,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Aaron Nola,0,Citizens Bank Park,16,605400,3.17,7.28,9.77,0.95,0.219,0.19,0.5,0.25,0.25,0.5,0.333,True
12,12,12,12,12,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,Chris Flexen,1,Fenway Park,3,623167,3.92,9.0,6.23,1.37,0.257,0.333,0.0,0.2,0.25,0.0,0.5,True
13,13,13,13,13,9874,DJ LeMahieu,NYY,33,0.286,0.388,0.429,0.8809999999999999,518934,147,Dallas Keuchel,1,Yankee Stadium,6,572971,9.64,13.02,8.68,1.82,0.329,0.25,0.4,0.25,0.0,0.0,0.25,True
14,14,14,14,14,19470,Tommy Edman,STL,27,0.258,0.322,0.367,0.821,669242,138,Jose Quintana,0,PNC Park,10,500779,1.5,1.5,10.5,0.5,0.056,0.5,0.4,0.25,0.0,0.333,0.25,True
15,15,15,15,16,13624,Corey Seager,TEX,28,0.25,0.329,0.475,0.7559999999999999,608369,140,Justin Verlander,0,Minute Maid Park,32,434378,1.73,6.09,8.79,0.85,0.188,0.167,0.25,0.25,0.333,0.5,0.25,True
16,16,16,16,17,12927,Brandon Nimmo,NYM,29,0.271,0.355,0.425,0.83,607043,121,German Marquez,0,Coors Field,1,608566,5.18,9.54,7.25,1.41,0.27,0.375,0.2,0.25,0.0,0.25,0.4,True
