,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,15640,Aaron Judge,NYY,30,0.305,0.4,0.688,0.736,592450,147,Kris Bubic,1,Yankee Stadium,6,663460,5.02,9.52,7.64,1.56,.271,0.0,0.333,0.0,0.5,0.5,0.8,True
1,9777,Nolan Arenado,STL,31,0.303,0.37,0.57,0.812,571448,138,Anibal Sanchez,0,Nationals Park,29,434671,7.20,10.20,6.60,1.60,.286,0.4,0.0,0.6,0.4,0.0,0.5,False
2,9218,Paul Goldschmidt,STL,34,0.331,0.414,0.619,0.768,502671,138,Anibal Sanchez,0,Nationals Park,29,434671,7.20,10.20,6.60,1.60,.286,0.308,0.5,0.5,0.4,0.4,0.0,True
3,5361,Freddie Freeman,LAD,32,0.324,0.4,0.523,0.8270000000000001,518692,119,Chad Kuhl,0,Coors Field,1,641771,5.16,9.70,6.64,1.52,.273,0.111,0.333,0.5,0.333,0.0,0.4,False
4,12916,Francisco Lindor,NYM,28,0.27,0.348,0.462,0.7909999999999999,596019,121,Sandy Alcantara,0,loanDepot park,20,645261,2.01,6.29,7.86,0.95,.198,0.318,0.333,0.5,0.4,0.25,0.0,True
5,19556,Yordan Alvarez,HOU,25,0.296,0.401,0.63,0.799,670541,117,Robbie Ray,1,Minute Maid Park,32,592662,3.90,7.48,10.32,1.19,.225,0.0,0.333,0.5,0.667,0.0,0.0,True
6,18314,Dansby Swanson,ATL,28,0.292,0.345,0.46,0.7070000000000001,621020,144,Madison Bumgarner,1,Truist Park,12,518516,4.13,9.74,6.49,1.40,.272,0.111,0.5,0.6,0.0,0.2,0.5,True
7,18360,Austin Riley,ATL,25,0.297,0.357,0.589,0.741,663586,144,Madison Bumgarner,1,Truist Park,12,518516,4.13,9.74,6.49,1.40,.272,0.2,0.0,0.667,0.5,0.333,0.75,True
8,13611,Mookie Betts,LAD,29,0.272,0.344,0.53,0.8640000000000001,605141,119,Chad Kuhl,0,Coors Field,1,641771,5.16,9.70,6.64,1.52,.273,0.333,0.333,0.667,0.2,0.0,0.25,True
9,16252,Trea Turner,LAD,29,0.309,0.348,0.503,0.758,607208,119,Chad Kuhl,0,Coors Field,1,641771,5.16,9.70,6.64,1.52,.273,0.167,0.75,0.25,0.5,0.5,0.2,True
10,9874,DJ LeMahieu,NYY,33,0.282,0.385,0.422,0.882,518934,147,Kris Bubic,1,Yankee Stadium,6,663460,5.02,9.52,7.64,1.56,.271,0.25,0.5,0.0,0.2,0.4,0.333,False
12,5417,Jose Altuve,HOU,32,0.28,0.367,0.503,0.852,514888,117,Robbie Ray,1,Minute Maid Park,32,592662,3.90,7.48,10.32,1.19,.225,0.579,0.25,0.0,0.0,0.2,0.4,False
13,14161,Byron Buxton,MIN,28,0.223,0.303,0.545,0.685,621439,142,Blake Snell,0,Petco Park,31,605483,3.96,7.56,11.77,1.33,.226,0.0,0.0,0.4,0.0,0.25,0.667,True
14,11739,J.T. Realmuto,PHI,31,0.263,0.332,0.445,0.779,592663,143,Jose Quintana,0,PNC Park,10,500779,2.25,6.00,9.75,1.00,.195,0.2,0.5,0.333,0.25,0.25,0.5,False
15,19197,Will Smith,LAD,27,0.274,0.361,0.474,0.831,669257,119,Chad Kuhl,0,Coors Field,1,641771,5.16,9.70,6.64,1.52,.273,0.0,0.4,0.0,0.0,0.0,0.333,True
16,15362,Jeff McNeil,NYM,30,0.306,0.36,0.446,0.853,643446,121,Sandy Alcantara,0,loanDepot park,20,645261,2.01,6.29,7.86,0.95,.198,0.286,0.0,0.25,0.0,0.0,0.0,True
17,12927,Brandon Nimmo,NYM,29,0.267,0.352,0.417,0.828,607043,121,Sandy Alcantara,0,loanDepot park,20,645261,2.01,6.29,7.86,0.95,.198,0.115,0.2,0.0,0.2,0.25,0.0,True
18,15676,Jose Abreu,CHW,35,0.296,0.373,0.46,0.79,547989,145,James Kaprielian,1,Guaranteed Rate Field,23,621076,4.38,7.97,6.28,1.32,.235,0.0,0.25,0.0,0.25,0.0,0.5,True
19,19352,Sean Murphy,OAK,27,0.243,0.321,0.424,0.775,669221,133,Lance Lynn,0,Guaranteed Rate Field,23,458681,5.88,9.96,9.35,1.29,.269,0.0,0.0,0.25,0.667,0.333,0.333,False
20,19251,Pete Alonso,NYM,27,0.281,0.361,0.54,0.778,624413,121,Sandy Alcantara,0,loanDepot park,20,645261,2.01,6.29,7.86,0.95,.198,0.185,0.333,1.0,0.667,0.75,0.333,False
21,18345,Kyle Tucker,HOU,25,0.249,0.336,0.466,0.8079999999999999,663656,117,Robbie Ray,1,Minute Maid Park,32,592662,3.90,7.48,10.32,1.19,.225,0.571,0.0,0.0,0.5,0.2,0.25,True
22,17678,Alex Bregman,HOU,28,0.255,0.364,0.43,0.861,608324,117,Robbie Ray,1,Minute Maid Park,32,592662,3.90,7.48,10.32,1.19,.225,0.111,0.5,0.25,0.0,0.2,0.0,True
23,19955,Gavin Lux,LAD,24,0.296,0.372,0.423,0.818,666158,119,Chad Kuhl,0,Coors Field,1,641771,5.16,9.70,6.64,1.52,.273,0.667,0.6,0.75,0.0,0.5,0.5,False
