,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
43,43,43,48,11477,Christian Yelich,MIL,30,0.262,0.365,0.39,0.7829999999999999,592885,158,Miles Mikolas,0,Busch Stadium,15,571945,3.5,8.09,6.88,1.09,0.239,0.2,0.25,0.0,0.5,0.0,0.25,False
44,44,44,50,17273,Jorge Mateo,BAL,27,0.218,0.267,0.391,0.6970000000000001,622761,110,Nick Pivetta,0,Fenway Park,3,601713,4.51,8.73,8.66,1.33,0.253,0.25,0.25,0.2,0.0,0.25,0.0,True
45,45,45,51,16478,Kyle Schwarber,PHI,29,0.207,0.31,0.499,0.72,656941,143,Chris Bassitt,0,Citi Field,22,605135,3.39,7.75,8.93,1.12,0.23,0.5,0.0,0.0,0.0,0.0,0.333,False
46,46,46,52,13613,Ketel Marte,ARI,28,0.261,0.346,0.445,0.804,606466,109,Tyler Anderson,1,Chase Field,13,542881,2.72,7.21,7.14,1.0,0.219,0.45,0.25,0.2,0.25,0.5,0.5,True
47,47,47,53,14551,Anthony Santander,BAL,27,0.262,0.342,0.463,0.805,623993,110,Nick Pivetta,0,Fenway Park,3,601713,4.51,8.73,8.66,1.33,0.253,0.286,0.0,0.25,0.5,0.0,0.0,False
48,48,48,54,14162,Carlos Correa,MIN,27,0.265,0.342,0.431,0.7829999999999999,621043,142,Zack Greinke,1,Target Field,26,425844,4.58,10.04,5.07,1.33,0.28,0.133,0.6,0.2,0.4,0.4,0.333,False
49,49,49,55,11445,Mark Canha,NYM,33,0.266,0.366,0.37,0.7909999999999999,592192,121,Zack Wheeler,1,Citi Field,22,554430,2.63,7.25,9.73,1.03,0.218,0.0,0.25,0.25,0.4,0.4,0.25,False
50,50,50,57,17907,Brendan Rodgers,COL,25,0.284,0.334,0.432,0.785,663898,115,Josiah Gray,0,Nationals Park,29,680686,4.92,7.9,10.36,1.31,0.233,0.5,0.333,0.2,0.25,0.25,0.25,True
51,51,51,58,16997,Gleyber Torres,NYY,25,0.254,0.306,0.45,0.741,650402,147,Shane McClanahan,0,Tropicana Field,21,663556,2.24,5.89,11.29,0.83,0.184,0.571,0.0,0.25,0.0,0.333,0.4,True
52,52,52,59,15491,J.P. Crawford,SEA,27,0.255,0.331,0.354,0.875,641487,136,Luis Garcia,1,T-Mobile Park,27,472610,3.51,8.78,9.44,1.27,0.252,0.0,0.333,1.0,0.5,0.5,0.0,True
