,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Keegan Thompson,0.0,Wrigley Field,24.0,624522,3.36,8.36,7.82,1.24,0.247,0.25,0.75,0.5,0.0,0.0,0.0,True
1,1,1,1,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Keegan Thompson,0.0,Wrigley Field,24.0,624522,3.36,8.36,7.82,1.24,0.247,0.4,0.5,0.333,0.333,0.25,0.75,True
2,2,2,2,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Taijuan Walker,1.0,Dodger Stadium,17.0,592836,3.45,8.28,6.9,1.19,0.242,0.182,0.0,0.25,0.25,0.25,0.0,False
3,3,3,3,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Adrian Houser,0.0,American Family Field,18.0,605288,4.72,9.67,6.72,1.48,0.271,0.0,0.25,0.0,0.2,0.0,0.0,True
4,4,4,4,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Taijuan Walker,1.0,Dodger Stadium,17.0,592836,3.45,8.28,6.9,1.19,0.242,0.4,0.6,0.0,0.75,0.0,0.5,True
5,5,5,5,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Taijuan Walker,1.0,Dodger Stadium,17.0,592836,3.45,8.28,6.9,1.19,0.242,0.308,0.25,0.5,0.2,0.25,0.25,True
6,6,6,6,19470,Tommy Edman,STL,27,0.258,0.322,0.367,0.821,669242,138,Keegan Thompson,0.0,Wrigley Field,24.0,624522,3.36,8.36,7.82,1.24,0.247,0.333,0.0,0.4,0.25,0.2,0.0,True
7,7,7,8,19197,Will Smith,LAD,27,0.275,0.361,0.477,0.8290000000000001,669257,119,Taijuan Walker,1.0,Dodger Stadium,17.0,592836,3.45,8.28,6.9,1.19,0.242,0.333,0.0,0.0,0.333,0.0,0.0,False
8,8,8,9,15676,Jose Abreu,CHW,35,0.297,0.375,0.464,0.794,547989,145,Alek Manoah,0.0,Rogers Centre,2.0,666201,2.56,7.16,8.15,1.02,0.217,0.0,0.5,0.667,0.2,0.333,0.5,True
9,9,9,10,18036,Jake Cronenworth,SDP,28,0.237,0.34,0.388,0.846,630105,135,Adrian Houser,0.0,American Family Field,18.0,605288,4.72,9.67,6.72,1.48,0.271,0.0,0.25,0.0,0.5,0.0,0.2,False
10,10,10,11,16505,Matt Chapman,TOR,29,0.242,0.322,0.474,0.735,656305,141,Johnny Cueto,1.0,Rogers Centre,2.0,456501,2.91,8.62,6.0,1.19,0.256,0.222,0.333,0.25,0.25,0.5,0.5,True
