,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Bruce Zimmermann,0,Oriole Park at Camden Yards,30,669145,5.85,11.84,6.12,1.48,0.322,0.75,0.333,0.0,0.25,0.5,0.25,False
1,1,1,1,1,1,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Aaron Ashby,0,American Family Field,18,676879,4.32,8.86,10.86,1.46,0.251,0.0,0.333,0.667,0.25,0.25,0.25,True
2,2,2,2,2,2,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Aaron Ashby,0,American Family Field,18,676879,4.32,8.86,10.86,1.46,0.251,0.5,0.0,0.2,0.0,0.0,0.25,False
3,3,3,3,3,3,3,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Tyler Mahle,1,Dodger Stadium,17,641816,6.0,7.5,7.5,1.0,0.238,0.25,0.0,0.0,0.4,0.4,0.5,True
4,4,4,4,4,4,4,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Yu Darvish,0,Petco Park,31,506433,3.28,7.24,8.84,1.0,0.217,0.111,0.5,0.0,0.0,0.0,0.333,False
5,5,5,5,5,5,5,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Yu Darvish,0,Petco Park,31,506433,3.28,7.24,8.84,1.0,0.217,0.0,0.0,0.4,0.0,0.667,0.25,False
6,6,6,6,6,6,6,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Tyler Mahle,1,Dodger Stadium,17,641816,6.0,7.5,7.5,1.0,0.238,0.333,0.0,0.4,0.4,0.0,0.2,False
7,7,7,7,7,7,7,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Bailey Ober,1,Fenway Park,3,641927,4.01,9.62,7.75,1.28,0.273,0.0,0.25,0.5,0.2,0.6,0.5,True
8,8,8,8,8,8,8,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Tyler Mahle,1,Dodger Stadium,17,641816,6.0,7.5,7.5,1.0,0.238,0.25,0.75,0.5,0.4,0.333,0.2,False
9,9,9,9,9,9,9,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,Bailey Ober,1,Fenway Park,3,641927,4.01,9.62,7.75,1.28,0.273,0.0,0.25,0.0,0.25,0.0,0.333,True
10,10,10,10,10,10,10,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Elieser Hernandez,0,loanDepot park,20,622694,6.0,9.33,8.83,1.39,0.26,0.0,0.0,1.0,0.25,0.5,0.25,True
