,Unnamed: 0,Unnamed: 0.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Yusei Kikuchi,0,Rogers Centre,2,579328,5.13,8.2,10.03,1.49,0.244,0.214,0.0,0.4,0.0,0.333,0.0,True
1,1,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Nick Pivetta,0,Fenway Park,3,601713,4.51,8.73,8.66,1.33,0.253,0.6,0.5,0.667,0.25,0.0,0.0,False
2,2,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Nick Pivetta,0,Fenway Park,3,601713,4.51,8.73,8.66,1.33,0.253,0.5,0.4,0.2,0.25,0.5,1.0,True
3,3,3,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Shane Bieber,1,Dodger Stadium,17,669456,3.21,7.86,9.16,1.09,0.233,0.0,0.6,0.25,0.333,0.0,0.0,True
4,4,5,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Kyle Hendricks,0,Wrigley Field,24,543294,4.8,9.07,7.04,1.29,0.26,0.2,0.333,0.0,0.5,0.25,0.4,True
5,5,6,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Antonio Senzatela,0,Coors Field,1,622608,4.68,12.97,5.31,1.68,0.351,0.421,0.5,0.25,0.6,0.75,0.0,False
6,6,7,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Sandy Alcantara,1,Citi Field,22,645261,1.88,6.14,8.01,0.93,0.195,0.333,0.25,0.333,0.25,0.0,0.25,True
7,7,8,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Kyle Hendricks,0,Wrigley Field,24,543294,4.8,9.07,7.04,1.29,0.26,0.667,0.0,0.0,0.6,0.0,0.0,True
8,8,10,9874,DJ LeMahieu,NYY,33,0.286,0.388,0.429,0.8809999999999999,518934,147,Yusei Kikuchi,0,Rogers Centre,2,579328,5.13,8.2,10.03,1.49,0.244,0.412,0.0,0.6,0.0,0.0,0.25,True
9,9,11,19950,Andres Gimenez,CLE,23,0.302,0.365,0.484,0.743,665926,114,Andrew Heaney,0,Dodger Stadium,17,571760,0.64,5.79,11.89,1.0,0.175,0.0,0.0,0.5,0.5,0.25,0.333,True
10,10,12,12927,Brandon Nimmo,NYM,29,0.271,0.355,0.425,0.83,607043,121,Sandy Alcantara,1,Citi Field,22,645261,1.88,6.14,8.01,0.93,0.195,0.125,0.0,0.4,0.0,0.5,0.5,False
11,11,13,15362,Jeff McNeil,NYM,30,0.306,0.362,0.445,0.852,643446,121,Sandy Alcantara,1,Citi Field,22,645261,1.88,6.14,8.01,0.93,0.195,0.304,0.333,0.333,0.333,0.5,0.333,True
12,12,14,18036,Jake Cronenworth,SDP,28,0.237,0.34,0.388,0.846,630105,135,Antonio Senzatela,0,Coors Field,1,622608,4.68,12.97,5.31,1.68,0.351,0.455,0.5,0.667,0.333,0.5,0.75,True
